Ten,Dia chi,Loai,Lat,Lng,Tu khoa goc
Cục Quản Lý Xuất Nhập Cảnh TP. HCM,"337 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Phòng visa và hộ chiếu,10.7614574,106.6861867,Cục Quản lý Xuất nhập cảnh tại TPHCM
Phòng Quản Lý Xuất Nhập Cảnh TP. HCM,"196 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Phòng visa và hộ chiếu,10.7755057,106.6908911,Cục Quản lý Xuất nhập cảnh tại TPHCM
Phòng Quản Lý Xuất Nhập Cảnh,"17 Đường N3, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Việt Nam",Phòng visa và hộ chiếu,10.972114399999999,106.6616822,Phòng Quản lý Xuất nhập cảnh Công an TPHCM
Tổng Lãnh sự quán Đức tại Tp. Hồ Chí Minh,"33 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.782295999999999,106.7007338,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự quán Lào,"93 Pasteur, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7772391,106.6991053,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Úc,"Tòa nhà Vincom, 47 Lý Tự Trọng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7780495,106.7017714,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh sự quán Hoa Kỳ,"4 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7834782,106.7006011,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Vương Quốc Hà Lan,"29 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7826872,106.7011895,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Pháp,"27 Nguyễn Thị Minh Khai, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7832875,106.6986484,Danh sách Lãnh sự quán tại TPHCM
Tổng lãnh sự quán Indonesia tại TP Hồ Chí Minh,"18 Phùng Khắc Khoan, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính phủ,10.7852743,106.6973197,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự quán Bồ Đào Nha tại Tp. Hồ Chí Minh,"151 Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7818089,106.6922645,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự Quán Danh dự Áo,"118/40 Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,10.808749299999999,106.7269223,Danh sách Lãnh sự quán tại TPHCM
Tổng lãnh sự quán Trung Quốc,"175 Hai Bà Trưng, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7851161,106.6951675,Danh sách Lãnh sự quán tại TPHCM
Tổng lãnh sự quán Hàn Quốc,"107 Nguyễn Du, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7743367,106.6957231,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Thái Lan,"77 Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",Tòa lãnh sự nước ngoài,10.7815654,106.68758989999999,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh sự quán Liên bang Nga tại TP. Hồ Chí Minh,"40 Bà Huyện Thanh Quan, Phường 6, Quận 3, Thành phố Hồ Chí Minh 70215, Việt Nam",Tòa lãnh sự nước ngoài,10.7775505,106.6878981,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự Danh dự nước Cộng hòa Nam Phi,"19 Phùng Khắc Khoan, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,10.7847628,106.6975793,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Malaysia,"109 Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh 71107, Việt Nam",Tòa lãnh sự nước ngoài,10.8072085,106.7253595,Danh sách Lãnh sự quán tại TPHCM
Bệnh viện Quốc tế City,"3 Đường Số 17A, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh 700000, Việt Nam",Bệnh viện đa khoa,10.7410166,106.60912499999999,Bệnh viện quốc tế tại TPHCM
Bệnh viện Đa khoa Quốc tế Vinmec Central Park,"208 Nguyễn Hữu Cảnh, Vinhomes Tân Cảng, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Việt Nam",Bệnh viện đa khoa,10.7939771,106.72034819999999,Bệnh viện quốc tế tại TPHCM
Bệnh Viện Quốc Tế DNA,"1015 Trần Hưng Đạo, Phường An Đông, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam",Bệnh viện,10.7535654,106.67552409999999,Bệnh viện quốc tế tại TPHCM
Bệnh viện Quốc tế Thảo Điền,"95/3 Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh 700000, Việt Nam",Bệnh viện,10.8075735,106.7337172,Bệnh viện quốc tế tại TPHCM
Bệnh Viện Đa Khoa Quốc Tế Nam Sài Gòn,"88 Đường Số 8, Khu dân cư Trung Sơn, Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",Bệnh viện đa khoa,10.735866099999999,106.69086709999999,Bệnh viện quốc tế tại TPHCM
Bệnh Viện Quốc Tế Mỹ (AIH),"199 Nguyễn Hoàng, An Phú, Thủ Đức, Thành phố Hồ Chí Minh 70000, Việt Nam",Bệnh viện,10.7938414,106.74637639999999,Bệnh viện quốc tế tại TPHCM
Bệnh viện Quốc tế Minh Anh,"36 Đường số 1B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Bệnh viện tư nhân,10.747508999999999,106.6145533,Bệnh viện quốc tế tại TPHCM
