Ten,Dia chi,Loai,So dien thoai,Hinh anh,Link Anh Goc,Gioi thieu,Website,Lat,Lng,Tu khoa goc
Cục Quản Lý Xuất Nhập Cảnh TP. HCM,"337 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Phòng visa và hộ chiếu,+84 28 3920 1701,downloaded_images\c33085fecbfd960d4943453caa625a66.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4PzFj2q1rlIb3Fod6pFUDOXSNSLT0_2YSSopkW0TkOpd80sTtoWG3CNltPnrGNlqZYPFJ-u_wmw-ghExtVK-ZvasaVfBK9QRUAvgfMOsvBI190wtENSw5oHfbxyknvZP59cEW=w138-h92-k-no,Không có,https://hochieu.xuatnhapcanh.gov.vn/,10.7614574,106.6861867,Cục Quản lý Xuất nhập cảnh tại TPHCM
Phòng Quản Lý Xuất Nhập Cảnh TP. HCM,"196 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Phòng visa và hộ chiếu,+84 28 3829 9398,downloaded_images\4abfc19d925c06b393ce091c3bc1a24c.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzWps6wolFkTNVmpyrZMAMLvN74g-NJaOvVNCXM0mecAHzbvIt3quCy_W9h1sDsAdwgoW8XR5zhahyfSqAYh7pGJFbEF2JqWdeUJdQi6l_zuzbbrTpVEWcnS54jAt2eHhQi6H7-=w80-h142-k-no,Không có,https://xuatnhapcanh.gov.vn/en/tin-tuc-xnc-viet-nam,10.7756362,106.69112179999999,Cục Quản lý Xuất nhập cảnh tại TPHCM
Passport (Phòng cảnh sát môi trường),"196 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính phủ,Không có,downloaded_images\2542605d8dafc60f3cfcae5aa21c630b.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9fOHLo1g5h7QXwVGgMCUdjZ_Pk5rdzYfveVnbHQZBx4tXs2NIoleJ88GSjGyXVjsXPXApAWil8aLC8QIfTeQ0sukT353ctXMJaNVLk-J_v-tD_fKyNVAVu1aBh40XdkOj3IjB=w80-h106-k-no,Không có,Không có,10.7757677,106.690917,Phòng Quản lý Xuất nhập cảnh Công an TPHCM
Công an Thành phố Hồ Chí Minh,"268 Trần Hưng Đạo, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Đồn cảnh sát,+84 28 3920 1605,downloaded_images\2e6a447506c7636d7ba6c74081515825.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzTDduUGgKItZJ9ItHhSt3zF39RblN0rdI8-1xbkdU1yMpvjG0vD6DDBboGgZ6qhlBQFqRk9ystb1Vvbnodlae_-7c6wI9VvDUw63hu8jM7drra4qHzZ-wSvBnOcRgQKcmDlt0i=w80-h106-k-no,Không có,http://congan.hochiminhcity.gov.vn/,10.7588409,106.6869258,Phòng Quản lý Xuất nhập cảnh Công an TPHCM
Phòng Cảnh sát Giao thông PC08,,Sở cảnh sát ở Thành phố Hồ Chí Minh,Không có,Không có,,Không có,http://csgt-congan.hochiminhcity.gov.vn/wps/portal/Home/trang-chu,,,Phòng Cảnh sát giao thông đường bộ - đường sắt TPHCM
Sở Tư Pháp TP.HCM,"143 Pasteur, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Bộ phận tư pháp,+84 28 3829 7052,downloaded_images\0c77b617e7275083e971788f9540ef5b.jpg,https://lh3.googleusercontent.com/p/AF1QipPWcAlzj1bxAcb6F2Ua4o8RsiabFYVkbGbVCmKz=w219-h92-k-no,Không có,https://sotuphap.hochiminhcity.gov.vn/,10.7838014,106.6920622,Sở Tư pháp TPHCM
Phòng Tư Pháp Quận 6,"107 Đ. Cao Văn Lầu, Phường 1, Quận 6, Thành phố Hồ Chí Minh 70000, Việt Nam",Văn phòng chính phủ,Không có,downloaded_images\1b3105b4cc01626168c94077df9ae77b.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OOr9_aBz_3McijxtowCQyQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=256.5014&pitch=0&thumbfov=100,Không có,Không có,10.74625,106.649591,Sở Tư pháp TPHCM
Cục công tác phía Nam - Sở Tư pháp,"30 Trần Cao Vân, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Bộ phận tư pháp,Không có,downloaded_images\7d5b104e51cb905d94246e85f8fd1e19.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGXsVX8I1B4JYFCWWruTToxLIt8dmSkWobDpf15vV_t8Oev7XUB1tufG045WANP90YalBAX568FMJ-nZVB7CBG8EjimdkYR7JW3_i8J0SlMUfzeBA5t3gtvamwaAdS2LhXVvfz=w157-h92-k-no,Không có,Không có,10.7826724,106.6964538,Sở Tư pháp TPHCM
Phòng Tư Pháp Quận Tân Phú,"70A Thoại Ngọc Hầu, Hòa Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Bộ phận tư pháp,Không có,downloaded_images\0b0f25a9913eaaba1fe1b4c9481ed2e9.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CvqQWkX3mil0jTXwQ7svYA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=330.91016&pitch=0&thumbfov=100,Không có,Không có,10.7822347,106.6364663,Sở Tư pháp TPHCM
Phòng Tư Pháp Quận 5,"203 An Dương Vương, Phường 7, Quận 5, Thành phố Hồ Chí Minh 70000, Việt Nam",Văn phòng chính phủ,+84 28 3855 1203,downloaded_images\7888e310a574be5b43247f439a8b3ac3.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7_PWu0VFearhZU1jIV2Dmg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=178.94894&pitch=0&thumbfov=100,Không có,Không có,10.756316499999999,106.6686285,Sở Tư pháp TPHCM
