Ten dich vu,Gia (VND)
"Khám chuyên khoa (Nội, Ngoại, Sản...)",250.000 - 400.000
Khám Giáo sư / Chuyên gia đầu ngành,500.000 - 700.000
Tư vấn tâm lý người lớn,850.000
Tư vấn tâm lý trẻ em,650.000
Siêu âm tổng quát,300.000 - 500.000
Xét nghiệm máu tổng quát,200.000 - 600.000
Chụp X-quang kỹ thuật số,250.000 - 400.000
Chụp CT Scanner,1.200.000 - 2.500.000
Nội soi tiêu hóa,900.000 - 2.000.000
Sinh thường trọn gói (Tham khảo),15.000.000 - 20.000.000
Sinh mổ trọn gói (Tham khảo),20.000.000 - 28.000.000
Gói khám sức khỏe tổng quát cơ bản (Trung tâm Y khoa),1.900.000
Gói khám sức khỏe tổng quát (Nam),2.200.000 - 4.000.000
Gói khám sức khỏe tổng quát (Nữ),2.500.000 - 4.500.000
Gói Tầm soát Đột quỵ,4.655.000
Gói Tầm soát Ung thư Gan,1.040.000
Gói Tầm soát Ung thư Phổi,1.530.000
Gói Tầm soát Ung thư Đường Tiêu Hoá,4.500.000
Gói Tầm soát Ung thư Cổ Tử Cung,1.050.000
