Ten dich vu,Gia (VND)
"Bệnh viện hạng I","42100"
"Hội chẩn để xác định ca bệnh khó (chuyên gia/ca; Chỉ áp dụng đối với trường hợp mời chuyên gia đơn vị khác đến hội chẩn tại cơ sở khám, chữa bệnh).","230200"
"Khám cấp giấy chứng thương, giám định y khoa (không kể xét nghiệm, X-quang)","184200"
"Ngày điều trị Hồi sức tích cực (ICU)/ghép tạng hoặc ghép tủy hoặc ghép tế bào gốc","786300"
"Ngày giường bệnh Hồi sức cấp cứu","474700"
"Loại 1: Các khoa: Truyền nhiễm, Hô hấp, Huyết học, Ung thư, Tim mạch, Tâm thần, Thần kinh, Lão, Nhi, Tiêu hoá, Thận học, Nội tiết; Dị ứng (đối với bệnh nhân dị ứng thuốc nặng: Stevens Jonhson hoặc Lyell)","255300"
"Loại 2: Các Khoa: Cơ-Xương-Khớp, Da liễu, Dị ứng, Tai-Mũi-Họng, Mắt, Răng Hàm Mặt, Ngoại, Phụ -Sản không mổ; YHDT hoặc PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não.","229200"
"Loại 1: Sau các phẫu thuật loại đặc biệt; Bỏng độ 3-4 trên 70% diện tích cơ thể","339000"
"Loại 2: Sau các phẫu thuật loại 1; Bỏng độ 3-4 từ 25 -70% diện tích cơ thể","308500"
"Loại 3: Sau các phẫu thuật loại 2; Bỏng độ 2 trên 30% diện tích cơ thể, Bỏng độ 3-4 dưới 25% diện tích cơ thể","270500"
"Loại 4: Sau các phẫu thuật loại 3; Bỏng độ 1, độ 2 dưới 30% diện tích cơ thể","242100"
"Siêu âm","49300"
"Siêu âm Doppler màu tim hoặc mạch máu","233000"
"Chụp X-quang số hóa 1 phim","68300"
"Chụp X-quang số hóa 2 phim","100000"
"Chụp X-quang số hóa 3 phim","125000"
"Chụp tùy sống có thuốc cản quang số hóa","536000"
"Chụp X-quang số hóa đường dò, các tuyến có bơm thuốc cản quang trực tiếp","401000"
"Chụp CT Scanner đến 32 dãy không có thuốc cản quang","532000"
"Chụp CT Scanner đến 32 dãy có thuốc cản quang","643000"
"Chụp CT Scanner 64 dãy đến 128 dãy có thuốc cản quang","1712000"
"Chụp CT Scanner 64 dãy đến 128 dãy không có thuốc cản quang","1461000"
"Chụp CT Scanner toàn thân 64 dãy - 128 dãy có thuốc cản quang","3467000"
"Chụp CT Scanner toàn thân 64 dãy - 128 dãy không có thuốc cản quang","3154000"
"Chụp mạch máu số hóa xóa nền (DSA)","5686000"
"Chụp và can thiệp mạch chủ bụng hoặc ngực và mạch chi dưới DSA","9176000"
"Điều trị các tổn thương xương, khớp, cột sống và các tạng dưới DSA (đổ xi măng cột sống, điều trị các khối u tạng và giả u xương...)","3226000"
"Can thiệp vào lòng mạch trực tiếp qua da (đặt cổng truyền hóa chất, đốt giàn tĩnh mạch, sinh thiết trong lòng mạch) hoặc mở thông dạ dày qua da, dẫn lưu các ổ áp xe và tạng ổ bụng dưới DSA.","2213000"
"Can thiệp khác dưới hướng dẫn của CT Scanner","1206000"
"Điều trị các tổn thương xương, khớp, cột sống và các tạng dưới DSA (đổ xi măng cột sống, điều trị các khối u tạng và giả u xương...)","3226000"
"Chụp cộng hưởng từ (MRI) có thuốc cản quang","2227000"
"Chụp cộng hưởng từ (MRI) không có thuốc cản quang","1322000"
"Chụp cộng hưởng từ tưới máu - phổ - chức năng","3191000"
"Đo mật độ xương 1 vị trí","84800"
"Đo mật độ xương 2 vị trí","144000"
"Bơm rửa khoang màng phổi","227000"
"Cấp cứu ngừng tuần hoàn","498000"
"Cắt chỉ","35600"
"Chọc dò màng bụng hoặc màng phổi","143000"
