Ten dich vu,Gia (VND)
"Khám Da liễu","45000"
"Khám Mắt","45000"
"Khám Ngoại","45000"
"Khám Nhi","45000"
"Khám Nội","45000"
"Khám Phục hồi chức năng","45000"
"Khám Phụ sản","45000"
"Khám Răng hàm mặt","45000"
"Khám Tai mũi họng","45000"
"Khám YHCT","45000"
"Giường Hồi sức cấp cứu Hạng II - Khoa Hồi sức cấp cứu","418500"
"Giường Ngoại khoa loại 2 Hạng II - Khoa Chấn thương chỉnh hình","301600"
"Giường Ngoại khoa loại 2 Hạng II - Khoa Ngoại tổng hợp","301600"
"Giường Ngoại khoa loại 2 Hạng II - Khoa Phụ - Sản","301600"
"Giường Ngoại khoa loại 2 Hạng II - Khoa Tai - Mũi - Họng","301600"
"Giường Ngoại khoa loại 3 Hạng II - Khoa Chấn thương chỉnh hình","269200"
"Giường Ngoại khoa loại 3 Hạng II - Khoa Ngoại tổng hợp","269200"
"Giường Ngoại khoa loại 3 Hạng II - Khoa Phụ - Sản","269200"
"Giường Ngoại khoa loại 3 Hạng II - Khoa Tai - Mũi - Họng","269200"
"Giường Ngoại khoa loại 4 Hạng II - Khoa Chấn thương chỉnh hình","229200"
"Giường Ngoại khoa loại 4 Hạng II - Khoa Ngoại tổng hợp","229200"
"Giường Ngoại khoa loại 4 Hạng II - Khoa Phụ - Sản","229200"
"Giường Ngoại khoa loại 4 Hạng II - Khoa Tai - Mũi - Họng","229200"
"Giường Nội khoa loại 1 Hạng II - Khoa Hồi sức cấp cứu","257100"
"Giường Nội khoa loại 1 Hạng II - Khoa Nhi","257100"
"Giường Nội khoa loại 2 Hạng II - Khoa Chấn thương chỉnh hình","222300"
"Giường Nội khoa loại 2 Hạng II - Khoa Ngoại tổng hợp","222300"
"Giường Nội khoa loại 2 Hạng II - Khoa nội tổng hợp","222300"
"Giường Nội khoa loại 2 Hạng II - Khoa Phụ - Sản","222300"
"Giường Nội khoa loại 2 Hạng II - Khoa Tai - Mũi - Họng","222300"
"Chụp cắt lớp vi tính bụng - tiểu khung thường quy (từ 1-32 dãy) [có thuốc cản quang]","663400"
"Chụp cắt lớp vi tính bụng - tiểu khung thường quy (từ 1-32 dãy) [không có thuốc cản quang]","550100"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính động mạch chủ - chậu (từ 1-32 dãy)","663400"
"Chụp cắt lớp vi tính động mạch chủ - chậu (từ 1-32 dãy)","663400"
"Chụp cắt lớp vi tính động mạch phổi (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính gan có dựng hình đường mật (từ 1-32 dãy [có thuốc cản quang]","663400"
"Chụp cắt lớp vi tính hệ tiết niệu có khảo sát mạch thận và/hoặc dựng hình đường bài xuất (từ 1-32 dãy) [có thuốc cản quang]","663400"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 1- 32 dãy) [có thuốc cản quang]","663400"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 1- 32 dãy) [không có thuốc cản quang]","550100"
"Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính mạch máu chi dưới (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính mạch máu chi trên (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính nội soi ảo cây phế quản (từ 1- 32 dãy) [không có thuốc cản quang]","550100"
"Chụp cắt lớp vi tính phổi độ phân giải cao (từ 1- 32 dãy) [không có thuốc cản quang]","550100"
"Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (bao gồm mạch: gan, tụy, lách và mạch khối u) (từ 1-32 dãy) [có thuốc cản quang]","663400"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp cắt lớp vi tính gan - mật, tụy, lách, dạ dày - tá tràng.v.v.) (từ 1-32 dãy) [có thuốc cản quang]","663400"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp cắt lớp vi tính gan - mật, tụy, lách, dạ dày - tá tràng.v.v.) (từ 1-32 dãy) [không có thuốc cản quang]","550100"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung - buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 1-32 dãy) [có thuốc cản quang]","663400"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung - buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 1-32 dãy) [không có thuốc cản quang]","550100"
"Chụp cắt lớp vi tính tính điểm vôi hóa mạch vành (từ 1- 32 dãy) [không có thuốc cản quang]","550100"
"Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp CLVT hàm mặt có dựng hình 3D (từ 1-32 dãy) [không có thuốc cản quang]","550100"
"Chụp CLVT hàm - mặt có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT hàm mặt có ứng dụng phần mềm nha khoa (từ 1-32 dãy) [không có thuốc cản quang]","550100"
"Chụp CLVT hàm - mặt không tiêm thuốc cản quang (từ 1-32 dãy)","550100"
"Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT hốc mắt (từ 1-32 dãy)","643000"
"Chụp CLVT hốc mắt (từ 1-32 dãy) [không có thuốc cản quang]","550100"
"Chụp CLVT mạch máu não (từ 1-32 dãy)","663400"
"Chụp CLVT sọ não có dựng hình 3D (từ 1-32 dãy) [có thuốc cản quang]","663400"
"Chụp CLVT sọ não có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT sọ não không tiêm thuốc cản quang (từ 1-32 dãy)","550100"
"Chụp CLVT tai - xương đá có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT tai - xương đá không tiêm thuốc (từ 1- 32 dãy)","550100"
"Chụp cộng hưởng từ cột sống cổ (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ cột sống cổ có tiêm tương phản (0.2-1.5T)","2214000"
"Chụp cộng hưởng từ cột sống ngực (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ cột sống thắt lưng - cùng (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ hốc mắt và thần kinh thị giác (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ khớp (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ não- mạch não không tiêm chất tương phản (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ phần mềm chi (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ sọ não (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ vùng mặt – cổ (0.2-1.5T)","1311000"
"Chụp cộng hưởng từ xương và tủy xương (0.2-1.5T)","1311000"
"Siêu âm các tuyến nước bọt","58600"
"Siêu âm các tuyến nước bọt","58600"
"Siêu âm cơ phần mềm vùng cổ mặt","58600"
"Siêu âm dẫn đường đặt catheter tĩnh mạch cấp cứu","58600"
"Siêu âm Doppler động mạch, tĩnh mạch chi dưới","252300"
"Siêu âm Doppler mạch máu","252300"
"Siêu âm Doppler thai nhi (thai, nhau thai, dây rốn, động mạch tử cung)","89300"
"Siêu âm Doppler tim","252300"
"Siêu âm Doppler tử cung, buồng trứng qua đường âm đạo","252300"
