Ten dich vu,Gia (VND)
Khám cấp cứu,250000
Khám nội,150000
Khám Ngoại,150000
Khám sản - phụ khoa,150000
Khám Nhi,150000
Khám hô hấp,150000
Khám da liễu,150000
Khám mắt,150000
Khám nội tiết,150000
Khám răng hàm mặt,150000
Khám tai mũi họng,150000
Khám thần kinh,150000
Khám tiêu hoá - gan mật,150000
Khám tim mạch,150000
Khám tuyến vú,150000
Khám xương khớp,150000
Khám dị ứng - miễn dịch lâm sàng,250000
Khám lồng ngực,150000
Khám tâm thần kinh,300000
Khám xử trí cấp cứu (PK),100000
Khám tư vấn tiêm ngừa,100000
Khám chuyên gia,800000
Khám chấn thương - chỉnh hình,150000
HỘI CHẨN BÁC SĨ BỆNH VIỆN,150000
Tham vấn và trị liệu tâm lý (gói 30 phút),600000
Xử trí cấp cứu tăng huyết áp,50000
Chụp cắt lớp vi tính bụng-tiểu khung thường quy,1900000
Chụp cắt lớp vi tính bụng-tiểu khung thường quy có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),2210000
Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang,1150000
Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang,1150000
Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang,1150000
Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),1390000
Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang,1150000
Chụp cắt lớp vi tính tính điểm vôi hóa mạch vành,1950000
Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),2470000
Chụp cắt lớp vi tính động mạch chủ ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),2520000
Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (mạc treo) (chưa bao gồm thuốc cản quang),2420000
Chụp CLVT mạch máu não + sọ não có thuốc cản quang (chưa bao gồm thuốc cản quang),2470000
Chụp cắt lớp vi tính động mạch phổi (chưa bao gồm thuốc cản quang),2880000
"Chụp cắt lớp vi tính động mạch vành, tim (chưa bao gồm thuốc cản quang)",2620000
Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang,1900000
Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),2210000
"Đọc, xem, ghi chép hồ sơ bệnh án (> 6 chuyên khoa)",130000
