Ten dich vu,Gia (VND)
"Điều trị viêm loét niêm mạc miệng trẻ em","136120"
"Nhổ răng sữa","122020"
"Nhổ chân răng sữa","122020"
"Lấy cao răng (một hàm)","189500"
"Điều trị răng sữa sâu ngà phục hồi bằng Glassionomer Cement(GiC)","199900"
"Nhổ răng vĩnh viễn lung lay","351800"
"Nắn sai khớp thái dương hàm","187400"
"Lấy cao răng (hai hàm)","272600"
"Chích rạch áp xe nhỏ [RHM]","348400"
"Nhổ chân răng vĩnh viễn","346000"
"Nhổ răng thừa.","506800"
"Trám bít hố rãnh với Composite quang trùng hợp.","393600"
"Trám bít hố rãnh bằng Glassionomer Cement (GiC)","393600"
"Điều trị sâu ngà răng phục hồi bằng Composite.","473800"
"Cắt phanh lưỡi (gây tê)","549000"
"Phẫu thuật cắt phanh môi (không gây mê)","1663000"
"Phẫu thuật cắt phanh má (không gây mê)","1663000"
"Phẫu thuật nhổ răng lạc chỗ","624000"
"Điều trị tuỷ răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội có sử dụng châm xoay cầm tay (Điều trị tuỷ răng số 1, 2, 3)","793800"
"Cấy lại răng bị bật khỏi ổ răng.","987000"
"Điều trị tuỷ răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội có sử dụng châm xoay cầm tay (Điều trị tuỷ răng số 4, 5)","1076000"
"Điều trị tuỷ răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội có sử dụng châm xoay cầm tay (Điều trị tuỷ răng số 6,7 hàm dưới)","1568000"
"Điều trị tuỷ răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội có sử dụng châm xoay cầm tay (Điều trị tuỷ răng số 6,7 hàm trên)","1620000"
"Siêu âm điều trị","46700"
"Siêu âm ổ bụng tại giường cấp cứu.","49300"
"Kỹ thuật đánh giá huyết động cấp cứu không xâm nhập bằng USCOM","233000"
"Lập trình máy tạo nhịp tim","84800"
"Siêu âm Doppler xuyên sọ cấp cứu tại giường","233000"
"Siêu âm tim qua thực quản cấp cứu","816000"
"Siêu âm tim cấp cứu tại giường","233000"
"Siêu âm Doppler mạch máu cấp cứu","233000"
"Siêu âm màng ngoài tim cấp cứu","49300"
"Siêu âm tim tại giường","233000"
"Siêu âm tim Doppler tại giường","233000"
"Siêu âm tim qua đường thực quản","816000"
"Siêu âm tim thai qua đường âm đạo","186000"
"Siêu âm đàn hồi nhu mô tuyến giáp","84800"
"Siêu âm Doppler u tuyến, hạch vùng cổ","84800"
"Siêu âm Doppler gan lách","84800"
"Siêu âm Doppler tử cung phần phụ","84800"
"Siêu âm tim, màng tim qua thực quản","816000"
"Siêu âm tim, mạch máu có cản âm","268000"
"Siêu âm 3D/4D tim [Chỉ áp dụng trong trường hợp chỉ định để thực hiện các phẫu thuật hoặc can thiệp tim mạch]","468000"
"Siêu âm Doppler tuyến vú","84800"
"Siêu âm đàn hồi mô vú","84800"
"Siêu âm Doppler tinh hoàn, mào tinh hoàn hai bên","84800"
"Siêu âm Doppler dương vật","84800"
"Chụp bàng quang chẩn đoán trào ngược bàng quang niệu quản","221000"
"Chụp Xquang thực quản dạ dày","119000"
"Chụp Xquang cột sống cổ động, nghiêng 3 tư thế","125000"
"Chụp Xquang khớp cùng chậu thẳng chếch hai bên (3 phim)","125000"
"Chụp Xquang toàn bộ chi dưới thẳng","125000"
"Chụp Xquang đại tràng","159000"
"Chụp Xquang bàng quang trên xương mu có cản quang","221000"
"Chụp Xquang thực quản dạ dày có cản quang","239000"
"Chụp Xquang ruột non có cản quang","239000"
"Chụp Xquang đường mật qua Kehr","255000"
"Chụp Xquang đại tràng có thuốc cản quang số hóa","279000"
"Chụp Xquang tuyến nước bọt","401000"
"Chụp Xquang đường dò","421000"
"Chụp Xquang niệu đạo bàng quang ngược dòng","579000"
"Chụp Xquang thực quản cổ nghiêng","239000"
"Đóng các lỗ rò động mạch, tĩnh mạch (Chưa bao gồm bóng nong, stent, các vật liệu nút mạch, các vi ống thông, vi dây dẫn, các vòng xoắn kim loại, dụng cụ lấy dị vật, bộ dụng cụ lấy huyết khối)","6926000"
"Phá vách liên nhĩ (chưa bao gồm các vật tư khác...)","6926000"
"Nong hẹp nhánh động mạch phổi","6926000"
"Đặt stent hẹp eo động mạch chủ (chưa bao gồm các vật tư khác....)","9176000"
"Đóng lỗ rò động mạch vành","6926000"
"Tách van động mạch phổi trong teo van động mạch phổi bằng sóng cao tần và bóng qua da (chưa bao gồm các vật tư khác...)","9176000"
