Ten dich vu,Gia (VND)
"Hội chẩn ca bệnh khó chuyên ngành Bỏng","200000"
"Hội chẩn ca bệnh khó chuyên ngành Da liễu","200000"
"Khám 1 điểm dừng (bao gồm phí dịch vụ)","300000"
"Khám 102","50600"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 1-32 dãy) [có cản quang]","663400"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 1-32 dãy) [không cản quang]","550100"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy)","1732400"
"Cell bloc (khối tế bào)","271700"
"Chẩn đoán mô bệnh học bệnh phẩm phẫu thuật","388800"
"Chụp cộng hưởng từ bạch mạch có tiêm tương phản đặc hiệu (1.5T)","2250800"
"Chụp cộng hưởng từ bìu, dương vật (0.2-1.5T)","1341500"
"Siêu âm các khối u phổi ngoại vi","58600"
"Siêu âm Doppler mạch cấp cứu tại giường","252300"
"Đo các thể tích phổi - Lung Volumes","2899200"
"Định lượng Anti Xa","272900"
"Định lượng CEA (Carcino Embryonic Antigen) [Máu]","89700"
"Điện giải đồ (Na, K, Cl) [Máu]","30200"
"Bơm rửa phế quản","1508100"
"Nội soi phế quản - đặt stent khí, phế quản","7740800"
"Rửa phổi toàn bộ","8858800"
"Cắt 2 thuỳ phổi 2 bên lồng ngực trong một phẫu thuật","9583300"
"Cắt các u ác tuyến giáp","6955600"
"Giường Nội khoa loại 1 Hạng I - Khoa Hồi sức cấp cứu","305500"
