Ten dich vu,Gia (VND)
"Khám đặt kính áp tròng","300000"
"Khám và thăm dò chức năng trước phẫu thuật Khúc xạ","1200000"
"Khám sau phẫu thuật khúc xạ","300000"
"Khám lẻ ngoài giờ","300000"
"Đo khúc xạ ngoài giờ","100000"
"Khám mắt ngoài giờ/ khám mắt dịch vụ/Khám tư vấn nhi/ Khám mắt sau 19h","300000"
"Khám mắt chuyên gia","500000"
"Đặt nút điểm lệ","150000"
"Y chứng, tóm lược bệnh án, in thêm kết quả các kỹ thuật chẩn đoán hình ảnh","70000"
"Phẫu thuật bong võng mạc, cắt dịch kính có hoặc không laser nội nhãn, có hoặc không dùng dầu/khí nội nhãn (Cắt dịch kính (Vitrectomy) BVM + bóc màng + Laser + Gas/SO)","6726000"
"Cắt dịch kính + Laser nội nhãn + Lấy dị vật nội nhãn","5720000"
"Cắt dịch kính lấy ấu trùng sán trong buồng dịch kính/ Cắt dịch kính điều trị viêm mủ nội nhãn/Cắt dịch kính điều trị tổ chức hóa dịch kính/ Cắt dịch kính điều trị tồn lưu dịch kính nguyên thủy/Cắt dịch kính có hoặc không laser nội nhãn {Cắt dịch kính đơn thuần }","5720000"
"Phẫu thuật bong võng mạc theo phương pháp kinh điển (Ấn Độn)","5000000"
"Cắt dịch kính, bóc màng trước võng mạc/Cắt dịch kính, khí nội nhãn điều trị lỗ hoàng điểm (Cắt dịch kính (Vitrectomy) + bóc màng)","6726000"
"Tháo dầu Silicon nội nhãn","2997000"
"Tiêm nội nhãn (kháng sinh, anti VEGF, corticoid...) (Tiêm Avastin)","725000"
"Tiêm nội nhãn (kháng sinh, anti VEGF, corticoid...)(Tiêm Lucentis/Orzudex)","725000"
"Phẫu thuật tán nhuyễn thể thủy tinh bằng siêu âm (Phaco) có hoặc không đặt IOL(Phẫu thuật phaco đặt kính đơn tiêu )","6694000"
"Phẫu thuật tán nhuyễn thể thủy tinh bằng siêu âm (Phaco) có hoặc không đặt IOL(Phẫu thuật phaco đặt kính đa tiêu )","6694000"
"Phẫu thuật tán nhuyễn thể thủy tinh bằng siêu âm (Phaco) có hoặc không đặt IOL (Phẫu thuật phaco đặt kính chỉnh loạn thị)","6694000"
"Phẫu thuật đặt thể thủy tinh nhân tạo (IOL) thì 2 (không cắt dịch kính) (IOL thứ phát/Thay IOL/IOL CM/IOL kẹp mống/ IOL chân mống )","5472000"
"Phẫu thuật cố định IOL thì hai + cắt dịch kính (IOL CM/IOL kẹp mống/ IOL chân mống )","5720000"
"Lấy thể thủy tinh sa, lệch trong bao phối hợp cắt dịch kính có hoặc không cố định IOL (Lấy TTT lệch + Cắt PLT trước + IOL CM/IOL kẹp mống/ IOL chân mống)","5745000"
"Laser excimer điều trị tật khúc xạ ( LASIK, Laser bề mặt) (Lasik) (1 mắt)","5888000"
"Laser excimer điều trị tật khúc xạ ( LASIK, Laser bề mặt) (Laser bề mặt) (1 mắt)","8200000"
"Laser excimer điều trị tật khúc xạ (Tạo vạt bằng Femtosecond)(FEMTO LASIK) ( 1 mắt)","17800000"
"Laser femtosecond điều trị tật khúc xạ (SMILE) ( 1 mắt)","23700000"
"Đặt IOL trên mắt cận thị (Phakic)","7750000"
"Phẫu thuật Cross Linking (1 mắt)","7200000"
"Phẫu thuật Lasik Xtra (1 mắt)","11700000"
"Điều trị sẹo giác mạc bằng Laser (PTK)","2000000"
"Phẫu thuật Laser bổ sung (lasik)","2130000"
"Khâu cò mi, tháo cò","2149000"
"Rạch áp xe túi lệ/ Rạch áp xe mi","896000"
"Cắt u da mi không ghép","3073000"
"Cắt u kết mạc có hoặc không u giác mạc không ghép","3243000"
"Phẫu thuật mộng có ghép (kết mạc tự thân, màng ối...) có hoặc không áp thuốc chống chuyển hóa /có hoặc không sử dụng keo dán sinh học (mộng ghép kết mạc/ màng ối)","3333000"
"Phẫu thuật mộng có ghép (kết mạc tự thân, màng ối...) có hoặc không áp thuốc chống chuyển hóa (mộng có ghép kết mạc áp 5FU (tái phát))","3333000"
"Cắt u da mi có trượt lông mi, vạt da, hay ghép da (Cắt u khâu da tận tận ( 1 cái))","5766000"
"Khâu phủ kết mạc (Phủ kết mạc (1 mắt) )","2520000"
"Phẫu thuật lác có chỉnh chỉ(Phẫu thuật lé chỉnh chỉ 1 mắt)","4285000"
"Phẫu thuật lác thông thường(Phẫu thuật lé 1 mắt)","4108000"
"Phẫu thuật lác phức tạp (di thực cơ, phẫu thuật cơ chéo, Faden...)(Lé liệt, lé tái phát 1 mắt)","3084000"
"Cắt cơ Muller","5030000"
"Khâu da mi đơn giản","2238000"
"Phẫu thuật rút ngắn cơ nâng mi trên điều trị sụp mi (Sụp mi tái phát (1 mắt))","5469000"
"Phẫu thuật treo mi - cơ trán (bằng Silicon, cân cơ đùi,...) điều trị sụp mi (Phẫu thuật sụp mi treo bằng cân cơ đùi/ cân cơ thái dương (1 mắt))","5765000"
"Phẫu thuật quặm(Phẫu thuật quặm đơn thuần (1 mi) )","2641000"
"Phẫu thuật quặm tái phát(1 mi)","2641000"
"Phẫu thuật quặm(Phẫu thuật quặm cuộn mi 1 mí)","3801000"
"Phẫu thuật tạo hình mi (Tạo hình mi ( Tạo hình góc trong hoặc góc ngoài) (1 mắt))","3010000"
