Ten dich vu,Gia (VND)
"Khám lâm sàng chung, khám chuyên khoa","100,000"
"Khám lâm sàng chung, khám chuyên khoa [ngoài giờ]","150,000"
Khám cấp cứu,"150,000"
Khám tiêm chủng,"60,000"
Khám Phụ sản,"120,000"
Khám Phụ sản [ngoài giờ],"150,000"
"Khám sức khỏe toàn diện lao động, lái xe, xin việc (không kể xét nghiệm, X-quang...)","150,000"
"Khám sức khỏe toàn diện lao động, lái xe, xin việc (không kể xét nghiệm, X-quang…) [ngoài giờ]","200,000"
Phụ thu giấy khám sức khỏe bổ sung (1 giấy),"10,000"
"Khám sức khỏe toàn diện cho người Việt đi học tập, xuất khẩu lao động nước ngoài (không kể xét nghiệm, X-quang…)","250,000"
Khám sức khỏe cấp giấy phép lao động cho người nước ngoài,"250,000"
"Khám sức khỏe tổng quát (gồm Nội, Ngoại, TMH, Mắt)","150,000"
"Hội chẩn để xác định ca bệnh khó (Chuyên gia/ca) [Chỉ áp dụng đối với trường hợp mời chuyên gia đơn vị khác đến hội chẩn tại cơ sở khám, chữa bệnh]","200,000"
Khám ngoại viện/tại nhà (chưa kể chi phí di chuyển),"300,000"
Phí cấp Giấy chứng nhận thương tích,"100,000"
Phí tóm tắt hồ sơ bệnh án,"200,000"
Phí sao y hồ sơ bệnh án giấy [công an],"200,000"
NGÀY GIƯỜNG BỆNH,
"Ngày giường điều trị Hồi sức tích cực (ICU)
[chưa bao gồm chi phí sử dụng máy thở nếu có]","500,000"
"Ngày giường bệnh Hồi sức cấp cứu 
[chưa bao gồm chi phí sử dụng máy thở]","480,000"
Ngày giường [Phòng Tiêu Chuẩn A],"1,700,000"
Ngày giường [Phòng Tiêu Chuẩn],"1,500,000"
Ngày giường [phòng 1 giường có điều hòa],"1,000,000"
Ngày giường [phòng 2 giường có điều hòa],"550,000"
Ngày giường [phòng 2 giường có điều hòa] [Khoa Sản],"550,000"
Ngày giường [phòng 3 giường có điều hòa],"450,000"
Ngày giường [phòng 3 giường có điều hòa] [Khoa Sản],"450,000"
Ngày giường [phòng 4 - 5 giường có điều hòa],"400,000"
Ngày giường [phòng 4 giường có điều hòa] [Khoa Sản],"400,000"
