Ten dich vu,Gia (VND)
"Khám theo yêu cầu [khu F]","250000"
"Bó thuốc","96000"
"Thủy châm","140000"
"Thuỷ châm điều trị hội chứng thắt lưng- hông","140000"
"Thuỷ châm điều trị đau đầu, đau nửa đầu","140000"
"Thuỷ châm điều trị liệt nửa người do tai biến mạch máu não","140000"
"Thuỷ châm điều trị đau vai gáy","140000"
"Nhĩ châm","106000"
"Điện nhĩ châm điều trị hội chứng tiền đình","106000"
"Điện nhĩ châm điều trị liệt dây VII ngoại biên","106000"
"Điện nhĩ châm điều trị sa tử cung","106000"
"Điện nhĩ châm điều trị rối loạn cảm giác nông","106000"
"Cứu","79000"
"Cứu điều trị đau lưng thế hàn","79000"
"Điện châm điều trị đau do thoái hóa khớp","107000"
"Cấy chỉ điều trị liệt nửa người do tai biến mạch máu não","816000"
"Cấy chỉ điều trị thất vận ngôn","816000"
"Xét nghiệm Khí máu [Máu]","316000"
"Định lượng proBNP (NT-proBNP) [Máu]","595000"
"Định lượng PSA toàn phần (Total prostate-Specific Antigen) [Máu]","151000"
"Định lượng ACTH (Adrenocorticotropic hormone) [Máu]","186000"
"Chụp X-quang khớp vai thẳng [số hóa 1 phim][TYC]","133000"
"Chụp X-quang xương bàn, ngón chân thẳng, nghiêng hoặc chếch [số hóa 1 phim][TYC]","133000"
"Veneer sứ toàn phần","5000000"
"Hàm giả tháo lắp toàn phần nền nhựa thường (14 răng Composite)","6500000"
"Hàm giả tháo lắp bán phần nền nhựa dẻo","700000"
"Phẫu thuật cắt nang do răng xương hàm trên có can thiệp xoang","3000000"
"Phẫu thuật cắt nang do răng xương hàm dưới","2000000"
"Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội [Răng hàm lớn dưới (6, 7)]","900000"
"Phẫu thuật nhổ răng khôn mọc lệch hàm trên","1000000"
"Bản sao giấy chứng tử","100000"
"Giấy chứng nhận thương tích","160000"
"In phim MRI","250000"
"In phim Xquang","40000"
