Ten dich vu,Gia (VND)
"Khám thai","350000"
"Khám phụ khoa, kế hoạch, khám mãn kinh, khám hậu sản","350000"
"Khám nhũ","400000"
"Khám cấp cứu","500000"
"Khám nhi","250000"
"VIP khám nhi","650000"
"VIP khám thai","1000000"
"Siêu âm bụng","350000"
"Siêu âm thai","350000"
"Siêu âm sản khoa 4D","700000"
"Chấm rốn, Chăm sóc rốn, Đốt chồi rốn","200000"
"Tầm soát tim bẩm sinh","850000"
"Adacel (3 in1)","750000"
"Gardasil 9 (ung thư cổ tử cung)","3400000"
"Infanrix Hexa (6 in 1)","1200000"
"Sanh thường","6000000"
"Mổ lấy thai","9000000"
"Nội soi chẩn đoán","16200000"
"Cấy que tránh thai (Implanon)","4500000"
"XQ bàn tay","350000"
"XQ nhũ ảnh KTS","650000"
"Ion đồ (Ka+, Na+, Ca2+)","480000"
"Cho total (Cholesterol)","150000"
"CTM (công thức máu)","150000"
"Beta HCG","380000"
"triSure","6000000"
"Phòng đơn: Có 1 giường đầy đủ tiện nghi","2550000"
"Phòng đặc biệt loại 1: Có 2 giường đầy đủ tiện nghi","4000000"
