Ten dich vu,Gia (VND)
"Phẫu thuật thăm dò ngoài màng tim hoặc thăm dò lồng ngực","2522000"
"Phẫu thuật u máu các vị trí","2247000"
"Phẫu thuật cắt ruột thừa","2116000"
"Phẫu thuật dẫn lưu trong (nối tắt) hoặc dẫn lưu ngoài","2206000"
"Phẫu thuật thăm dò ổ bụng hoặc mở thông dạ dày hoặc mở thông hồng tràng hoặc làm hậu môn nhân tạo","2169000"
"Phẫu thuật thoát vị bẹn hoặc thoát vị đùi hoặc thoát vị thành bụng","2655000"
"Phẫu thuật dẫn lưu áp xe trong ổ bụng","2236000"
"Phẫu thuật cắt trĩ hoặc điều trị nứt kẽ hậu môn hoặc điều trị áp xe rò hậu môn","2115000"
"Cắt bỏ âm hộ đơn thuần","2116000"
"Cắt u thành âm đạo","1577000"
"Khâu rách cùng đồ âm đạo","1429000"
"Khâu tử cung do nạo thủng","2303000"
"Khoét chóp hoặc cắt cụt cổ tử cung","2132000"
"Phẫu thuật bảo tồn tử cung do vỡ tử cung","3480000"
"Phẫu thuật lấy thai lần đầu","1600000"
"Khám bệnh hạng II","37500"
"Hội chẩn ca bệnh khó","200000"
"Ngày giường bệnh Nội khoa loại 1 Hạng II","212600"
"Siêu âm","49300"
"Siêu âm đầu dò âm đạo, trực tràng","186000"
"Siêu âm Doppler màu tim hoặc mạch máu","233000"
"Chụp X-quang phim ≤ 24x30 cm (1 tư thế)","53200"
"Cấp cứu ngừng tuần hoàn","498000"
"Cắt chỉ","35600"
"Lọc máu liên tục (01 lần)","2248000"
