Ten dich vu,Gia (VND)
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) [có thuốc cản quang]","1732400"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) [không có thuốc cản quang]","1486800"
"Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp cắt lớp vi tính động mạch chủ - chậu (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính động mạch chủ ngực (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính động mạch phổi (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính khớp thường quy có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp cắt lớp vi tính mạch máu chi dưới (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính mạch máu chi trên (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính tầm soát toàn thân (từ 64-128 dãy) [có thuốc cản quang]","3493600"
"Chụp cắt lớp vi tính tầm soát toàn thân (từ 64-128 dãy) [không có thuốc cản quang]","3201400"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp cắt lớp vi tính gan - mật, tụy, lách, dạ dày - tá tràng.v.v.) (từ 64-128 dãy) [có thuốc cản quang]","1732400"
"Chụp cắt lớp vi tính xương chi có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp CLVT hàm - mặt có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp CLVT hàm - mặt không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp CLVT hốc mắt (từ 64-128 dãy) [có thuốc cản quang]","1732400"
"Chụp CLVT hốc mắt (từ 64-128 dãy) [không có thuốc cản quang]","1486800"
"Chụp CLVT mạch máu não (từ 64-128 dãy)","1732400"
"Chụp CLVT sọ não có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp CLVT sọ não không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp CLVT tai - xương đá có tiêm thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp CLVT tai - xương đá không tiêm thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp CLVT tưới máu não (CT perfusion) (từ 64-128 dãy)","1732400"
"Chụp cộng hưởng từ cột sống cổ (0.2-1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ cột sống cổ có tiêm tương phản (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ cột sống ngực (0.2-1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ cột sống ngực có tiêm tương phản (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ cột sống thắt lưng - cùng (0.2-1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ cột sống thắt lưng - cùng có tiêm tương phản (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ động học sàn chậu, tống phân (defecography-MR) (0.2-1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ động mạch chi dưới (1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ động mạch chi dưới có tiêm tương phản (1.5T)","2250800"
"Chụp cộng hưởng từ động mạch chi trên (1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ động mạch chi trên có tiêm tương phản (1.5T)","2250800"
"Chụp cộng hưởng từ động mạch chủ - chậu (1.5T) [có chất tương phản]","2250800"
"Chụp cộng hưởng từ động mạch chủ - ngực (1.5T) [có chất tương phản]","2250800"
"Chụp cộng hưởng từ hệ mạch cổ có tiêm chất tương phản (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ hệ mạch cổ không tiêm chất tương phản (0.2-1.5T)","1341500"
"Chụp cộng hưởng từ khớp (0.2-1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ khớp có tiêm tương phản nội khớp (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ khớp có tiêm tương phản tĩnh mạch (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ não- mạch não có tiêm chất tương phản (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ não- mạch não không tiêm chất tương phản (0.2-1.5T)","1341500"
"Chụp cộng hưởng từ phần mềm chi (0.2-1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ phần mềm chi có tiêm tương phản (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ phổ não (spectrography) (0.2-1.5T)","3238400"
"Chụp cộng hưởng từ sọ não (0.2-1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ sọ não có tiêm chất tương phản (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ tầng bụng có tiêm chất tương phản (gồm: chụp cộng hưởng từ gan - mật, tụy, lách, thận, dạ dày - tá tràng...) (0.2-1.5T)","2250800"
"Chụp cộng hưởng từ tầng bụng không tiêm chất tương phản (gồm: chụp cộng hưởng từ gan - mật, tụy, lách, thận, dạ dày - tá tràng...) (0.2-1.5T)","1341500"
"Chụp cộng hưởng từ tầng trên ổ bụng có khảo sát mạch các tạng (bao gồm mạch: gan, tụy, lách và mạch khối u) (1.5T) [có chất tương phản]","2250800"
"Chụp cộng hưởng từ tuyến vú (0.2-1.5T) [không có chất tương phản]","1341500"
