Ten dich vu,Gia (VND),Ghi chu
Gói khám tổng quát cơ bản cho nữ,3617000,Giá gốc (chưa khuyến mãi)
Gói khám tổng quát nâng cao nữ độc thân,7085000,Giá gốc (chưa khuyến mãi)
Gói khám tổng quát nâng cao nữ có gia đình,8060000,Giá gốc (chưa khuyến mãi)
Khám tổng quát (Dịch vụ lẻ),150000,Phí khám lâm sàng
Khám chuyên khoa (Dịch vụ lẻ),200000,Phí khám lâm sàng
Khám sức khoẻ làm hồ sơ (Mẫu B/C),400000,Khám sức khỏe xin việc/đi học
MRI Sọ não (Dịch vụ lẻ),2500000,Không thuốc tương phản
Nội soi dạ dày (Dịch vụ lẻ),1000000,Giá tham khảo từ
Siêu âm (Dịch vụ lẻ),200000,Giá tham khảo từ
Gói khám tổng quát Nam / Tiền hôn nhân / Tầm soát ung thư,Liên hệ,Chưa có bảng giá gói niêm yết online chi tiết
