Ten dich vu,Gia (VND)
"Giá Khám bệnh","300000"
"Siêu âm màng phổi cấp cứu","97000"
"Siêu âm ổ bụng tại giường cấp cứu","97000"
"Siêu âm ổ bụng","97000"
"Siêu âm hệ tiết niệu (thận, tuyến thượng thận, bàng quang, tiền liệt tuyến)","97000"
"Siêu âm khớp (gối, háng, khuỷu, cổ tay….)","97000"
"Siêu âm tử cung buồng trứng qua đường âm đạo","250000"
"Siêu âm doppler mạch máu","438000"
"Siêu âm 3D/4D tim","578000"
"Chụp X-quang Blondeau [số hóa 1 phim]","112000"
"Chụp X-quang cột sống cổ C1-C2 [số hóa 2 phim]","148000"
"Chụp cắt lớp vi tính hàm mặt chùm tia hình nón hàm dưới (Cone-Beam CT) [không có thuốc cản quang]","649000"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) [có thuốc cản quang]","2754000"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) [không có thuốc cản quang]","2481000"
"Chụp cắt lớp vi tính tầm soát toàn thân (từ 64-128 dãy) [có thuốc cản quang]","4729000"
"Siêu âm doppler các khối u trong ổ bụng","252000"
"Chọc hút nang vú dưới hướng dẫn siêu âm","252000"
"Thủ thuật chọc hút tủy làm tủy đồ (bao gồm kim chọc tủy nhiều lần)","667000"
"Thủ thuật chọc hút tủy làm tủy đồ (sử dụng máy khoan cầm tay)","3966000"
"Nội soi thực quản - dạ dày - tá tràng có sinh thiết","671000"
"Nội soi dạ dày thực quản cấp cứu chẩn đoán và cầm máu","1014000"
"ANA 17 profile test","1284000"
"Định danh kháng thể kháng HLA bằng kỹ thuật luminex","4356000"
"Định lượng tế bào người cho ở người nhận sau ghép bằng kỹ thuật Real - Time PCR","6338000"
"Định type HLA độ phân giải cao cho 1 locus bằng kỹ thuật PCR-SSO","2327000"
"Xét nghiệm giải trình tự gen bằng kỹ thuật giải trình tự gen thế hệ 2","9370000"
"Lọc bạch cầu trong khối hồng cầu","703000"
"Tổng phân tích tế bào máu ngoại vi bằng hệ thống tự động hoàn toàn (có nhuộm tiêu bản tự động)","177000"
"Xét nghiệm xác định đột biến Thalassemia (phát hiện đồng thời 21 đột biến α-Thalassemia hoặc 22 đột biến β-Thalasemia)","5153000"
"Anti phospholipid IgG và IgM bằng kỹ thuật ELISA","721000"
"Định lượng Bilirubin gián tiếp [Máu]","41000"
"CMV đo tải lượng hệ thống tự động","2244000"
"HIV đo tải lượng hệ thống tự động","1138000"
"Enterovirus genotype giải trình tự gene","3022000"
"Điều chế và lưu trữ tế bào gốc từ máu cuống rốn (chưa bao gồm bộ kit xử lý tế bào gốc máu dây rốn)","16585000"
"Chiếu xạ chế phẩm máu","135000"
