Ten dich vu,Gia (VND)
"Khám cấp cứu","500000"
"Phụ thu khám cấp cứu (BN từ khoa khám bệnh chuyển qua khám cấp cứu)","150000"
"Khám Da liễu","300000"
"Khám chuyên khoa khác (Khám Da liễu)","300000"
"Khám Mắt","300000"
"Khám chuyên khoa khác (Khám Mắt)","300000"
"Khám Ngoại","300000"
"Khám chuyên khoa khác (Khám Ngoại)","300000"
"Khám chuyên khoa ngoại tiết niệu","300000"
"Khám Nhi","400000"
"Khám nhũ","300000"
"Khám Nội","300000"
"Khám chuyên khoa khác (Khám Nội)","300000"
"Khám Nội tiết","300000"
"Khám chuyên khoa khác (Khám Nội tiết)","300000"
"Khám Nội tim mạch","300000"
"Khám Phụ sản + Khám vú","450000"
"Khám Phụ sản","300000"
"Khám chuyên khoa khác (Khám Phụ sản - CG)","300000"
"Khám Răng hàm mặt","300000"
"Khám chuyên khoa khác (Khám Răng hàm mặt)","300000"
"Khám Tai mũi họng","300000"
"Khám chuyên khoa khác (Khám Tai mũi họng)","300000"
"Khám Ung bướu","300000"
"Khám chuyên khoa khác (Khám Ung bướu)","300000"
"Khám bệnh chuyên khoa CTCH","300000"
"Khám chuyên khoa khác (Khám bệnh chuyên khoa CTCH)","300000"
"Khám chuyên khoa khác (Khám Dinh dưỡng)","300000"
"Khám bệnh nghề nghiệp","300000"
"Khám sức khỏe đi học","300000"
"Khám sức khỏe đi làm","300000"
"Khám chuyên gia","300000500000"
"Khám chuyên gia ngoài giờ","1000000"
"Hội chẩn","800000"
"Hội chẩn chuyên gia","1300000"
"Hội chẩn GS, PGS","2300000"
"Khám bệnh nốt dầu","300000"
"KTV tham gia hội chẩn điều chỉnh máy tạo nhịp tim","500000"
"Khám tiền mê","150000"
"Khám tiền mê [Nội soi tiêu hóa]","150000"
"Dịch vụ khám tư vấn","300000"
"Định lượng Amylase (niệu)*","55000"
"Định lượng Cortisol (niệu)*","160000"
"Định lượng Ferritin","175000"
"Đạm niệu 24h*","70000"
"Micro Albumin niệu","90000"
"Định lượng Amoniac NH3*","105000"
"Định lượng Lactat (Acid Lactic)*","125000"
"Ceton*","85000"
"Định lượng Folate*","205000"
"Định lượng vitamin B12*","205000"
"Định lượng Catecholamin* (nước tiểu 24h +HCL)","805000"
"Điện giải (Na,K,Cl) Niệu*","130000"
"Định lượng BNP (B- Type Natriuretic Peptide)*","655000"
"Xét nghiệm AMH*","720000"
"Xét nghiệm Androgen*","125000"
"Độ bão hòa transferrin*","125000"
"Định lượng yếu tố đông máu nội sinh VIIIc* (VIII)","780000"
"Định lượng Glucose","45000"
"Định lượng HbA1c","185000"
"Định lượng Acid Uric","60000"
"Định lượng Urê (Urea/Serum)","55000"
