Ten dich vu,Gia (VND)
"Giá khám bệnh, hội chẩn","50600"
"Hội chẩn để xác định ca bệnh khó (chuyên gia/ca; Chỉ áp dụng đối với trường hợp mời chuyên gia đơn vị khác đến hội chẩn tại cơ sở khám, chữa bệnh).","200000"
"Khám cấp giấy chứng thương, giám định y khoa (không kể xét nghiệm, X-quang)","160000"
"Khám sức khỏe toàn diện lao động, lái xe, khám sức khỏe định kỳ (không kể xét nghiệm, X-quang)","160000"
"Khám sức khỏe toàn diện cho người đi xuất khẩu lao động (không kể xét nghiệm, X-quang)","450000"
"Khám cấp giấy chứng thương, giám định y khoa (không kể xét nghiệm, X-quang) [(01/01/25) Khám cấp giấy chứng thương]","160000"
"Khám cấp giấy chứng thương, giám định y khoa (không kể xét nghiệm, X-quang) [(01/01/25) Khám giám định y khoa]","160000"
"Khám sức khỏe toàn diện lao động, lái xe, khám sức khỏe định kỳ (không kể xét nghiệm, X-quang) [(01/01/25) Lao động]","160000"
"Khám sức khỏe toàn diện lao động, lái xe, khám sức khỏe định kỳ (không kể xét nghiệm, X-quang) [(01/01/25) Lái xe]","160000"
"Khám sức khỏe toàn diện lao động, lái xe, khám sức khỏe định kỳ (không kể xét nghiệm, X-quang) [(01/01/25) Định kỳ]","160000"
"Công khám chuyên khoa thứ 2 [(01/01/25) MẮT - NGOÀI GIỜ]","50600"
"Công khám chuyên khoa thứ 2 [(01/01/25) RHM - NGOÀI GIỜ]","50600"
"Hội chẩn ca bệnh khó chuyên ngành Bỏng [(01/01/25)]","200000"
"Khám Bỏng [(01/01/25) từ lần 2 đến lần 4]","15180"
"Khám Bỏng [(01/01/25)]","50600"
"Giường Hồi sức cấp cứu Hạng I - Khoa Bỏng [(01/01/25) BONG1 - H001]","558600"
"Giường Ngoại khoa loại 1 Hạng I - Khoa Bỏng [(01/01/25) BONG1 - GHÉP 2 - GB Ngoại khoa sau PTĐB, Bỏng > 70% DTCT - K001]","200200"
"AFB trực tiếp nhuộm Ziehl-Neelsen","74200"
"Điện giải đồ (Na, K, Cl) [Máu] [(01/01/25)]","30200"
"Chụp cắt lớp vi tính bụng - tiểu khung thường quy (từ 1-32 dãy) [(Chưa bao gồm thuốc cản quang.) (01/01/25) (BVAB)]","663400"
"Lọc máu cấp cứu ở người bệnh có mở thông động tĩnh mạch (FAV) [(Quả lọc dây máu dùng 1 lần; đã bao gồm catheter 2 nòng được tính bình quân là 0,25 lần cho 1 lần chạy thận.) - Gema 60mg - HIGHFLUX (01/01/25)]","1607000"
"Phẫu thuật đặt Catheter ổ bụng để lọc màng bụng chu kỳ [(Chưa bao gồm thuốc và oxy) - (P2) GÂY TÊ (01/01/25)]","7164500"
"Phẫu thuật lấy thai có kèm các kỹ thuật cầm máu (thắt động mạch tử cung, mũi khâu B-lynch...) [(Chưa bao gồm thuốc và oxy) - (P1) GÂY TÊ (01/01/25)]","3211000"
