Ten dich vu,Gia (VND)
"Khám bệnh","50600"
"Hội chẩn để xác định ca bệnh khó (chuyên gia/ca; Chỉ áp dụng đối với trường hợp mời chuyên gia đơn vị khác đến hội chẩn tại cơ sở khám, chữa bệnh).","200000"
"Khám cấp giấy chứng thương, giám định y khoa (không kể xét nghiệm, X-quang)","160000"
"Ngày điều trị Hồi sức tích cực (ICU)","928100"
"Ngày giường bệnh Hồi sức cấp cứu","558600"
"Loại 2: Tai-Mũi-Họng","273800"
"Loại 1: Sau các phẫu thuật loại đặc biệt","400400"
"Loại 2: Sau các phẫu thuật loại 1","364400"
"Loại 3: Sau các phẫu thuật loại 2","320700"
"Loại 4: Sau các phẫu thuật loại 3","286700"
"Ghi điện tim cấp cứu tại giường","39900"
"Đặt catheter tĩnh mạch ngoại biên","25100"
"Đặt catheter tĩnh mạch trung tâm 01 nòng","685500"
"Đặt catheter động mạch","1400500"
"Sốc điện ngoài lồng ngực cấp cứu","532400"
"Hồi phục nhịp xoang cho người bệnh loạn nhịp bằng máy sốc điện","532400"
"Đặt canuyn mũi hầu, miệng hầu","40300"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh không thở máy (một lần hút)","14100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh có thở máy (một lần hút)","14100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông kín (có thở máy) (một lần hút)","373600"
"Bóp bóng Ambu qua mặt nạ","248500"
"Đặt ống nội khí quản","600500"
"Đặt nội khí quản 2 nòng","600500"
"Đặt nội khí quản cấp cứu bằng Combitube","885800"
"Đặt mặt nạ thanh quản cấp cứu","885800"
"Đặt ống nội khí quản có cửa hút trên bóng chèn (Hi-low EVAC)","600500"
"Mở khí quản cấp cứu","759800"
"Mở khí quản qua màng nhẫn giáp","759800"
"Mở khí quản thường quy","759800"
"Mở khí quản qua da một thì cấp cứu ngạt thở","759800"
"Chăm sóc lỗ mở khí quản (một lần)","64300"
"Thay ống nội khí quản","600500"
"Thay canuyn mở khí quản","263700"
"Vận động trị liệu hô hấp","32900"
"Khi dùng thuốc cấp cứu (một lần)","27500"
"Khi dùng thuốc qua thở máy (một lần)","27500"
"Nội soi khí phế quản cấp cứu","1508100"
"Nội soi phế quản ống mềm chẩn đoán cấp cứu ở người bệnh có thở máy","2310600"
"Nội soi phế quản ống mềm điều trị cấp cứu ở người bệnh có thở máy","2310600"
"Nội soi khí phế quản lấy dị vật","3308100"
"Bơm rửa phế quản","1508100"
"Thông khí nhân tạo xâm nhập [giờ theo thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức VCV [giờ theo thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức PCV [giờ theo thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức A/C (VCV) [giờ theo thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức SIMV [giờ theo thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức PSV [giờ theo thực tế]","625000"
"Cấp cứu ngừng tuần hoàn hô hấp cơ bản","532500"
"Chọc dịch tủy sống","126900"
"Đặt ống thông dạ dày","101800"
"Thụt tháo","92400"
"Nội soi dạ dày thực quản cấp cứu chẩn đoán và cầm máu","798300"
"Thay băng cho các vết thương hoại tử rộng (một lần)","148600"
"Thay băng cho các vết thương hoại tử rộng (một lần)","193600"
"Thay băng cho các vết thương hoại tử rộng (một lần)","275600"
"Xét nghiệm đường máu mao mạch tại giường (một lần)","16000"
"Định nhóm máu tại giường","42100"
"Xét nghiệm đông máu nhanh tại giường","13600"
"Đo đa ký giấc ngủ","2343500"
"Điện tim thường","39900"
"Nội soi cầm máu mũi không sử dụng Meroxeo (i bên)","216500"
"Nội soi cầm máu mũi có sử dụng Meroxeo (i bên)","286500"
"Nội soi thanh quản treo cắt hạt xơ","321400"
"Nội soi mũi, họng có sinh thiết","545500"
"Nội soi mũi, họng có sinh thiết","1601900"
"Nội soi thanh quản ống mềm không sinh thiết","245500"
"Nội soi Mũi xoang","40000"
"Nội soi mũi họng cắt đốt bằng điện cao tần","489900"
"Nội soi mũi họng cắt đốt bằng điện cao tần","705500"
"Nội soi tai","40000"
"Nội soi mũi","40000"
"Nội soi họng","40000"
"Nội soi phế quản ống mềm","793800"
"Nội soi phế quản ống mềm","3308100"
"Nội soi phế quản ống mềm","1204300"
"Nội soi phế quản ống mềm","1508100"
"Nội soi phế quản vảy dị vật (ống cứng, ống mềm)","3308100"
"Nội soi phế quản qua ống nội khí quản","1508100"
"Cấy điện cực ốc tai","5530000"
"Phẫu thuật tạo hình tái tạo lại hệ thống truyền âm","6258000"
"Phẫu thuật phục hồi, tái tạo dây VII","8512000"
"Phẫu thuật giảm áp dây thần kinh VII","7551300"
"Thay thế xương bàn đạp","5530000"
"Khoét mê nhĩ","6572800"
"Phẫu thuật tạo hình tai giữa, tai ngoài do dị tật bẩm sinh","5530000"
"Phẫu thuật cắt dây thần kinh tiền đình","6572800"
"Phẫu thuật tại trong/u dây thần kinh VII/u dây thần kinh VIII","6572800"
"Phẫu thuật đính xương đá","4897800"
"Phẫu thuật tiệt căn xương chũm cải biên - chỉnh hình tai giữa","5537100"
"Phẫu thuật tai xương chũm trong viêm màng não","5537100"
"Phẫu thuật tai xương chũm trong viêm tắc tĩnh mạch bên","5537100"
"Phẫu thuật tiệt căn xương chũm","5537100"
"Phẫu thuật sào bào thượng nhĩ, và nhĩ","4058900"
"Vá nhĩ đơn thuần","4058900"
"Phẫu thuật tái tạo hệ thống truyền âm","6258000"
"Chỉnh hình tai giữa","5530000"
"Thông vòi nhĩ","98300"
"Lấy dị vật tai","530700"
"Lấy dị vật tai","70300"
"Lấy dị vật tai","170600"
