Ten dich vu,Gia (VND)
"Bấm mí (tiêu chuẩn Hàn Quốc)","17000000"
"Bấm mí kết hợp lấy túi mỡ","20000000"
"Phẫu thuật tạo mắt 2 mí= Cắt mắt","17000000"
"Cắt mắt hai mí cấu trúc mắt khó","35000000"
"Điều trị sụp mi (mí trên)","45000000"
"Điều trị sụp mi (mí trên) bằng chỉ silicon","50000000"
"PT điều trị sụp mi (1 bên)+ cắt mắt (1 bên)","35000000"
"Điều trị quặm mi mí trên","30000000"
"Lấy mỡ da thừa mí trên","17000000"
"Lấy mỡ da thừa mí trên+ nâng đuôi mí","20000000"
"Nâng cơ đuôi mắt","10000000"
"Phẫu thuật cắt mí mắt+ cấy mỡ hốc mắt sâu","40000000"
"PT cấy mỡ hốc mắt sâu (1 bên)+ cắt mắt (1 bên)","35000000"
"Phẫu thuật mắt to","45000000"
"Phẫu thuật mắt to (1 bên)+ cắt mắt (1 bên)","35000000"
"Tái phẫu thuật mí trên mổ lại lần 1","3000000040000000"
"Tái phẫu thuật mí trên mổ lại lần 2","4500000050000000"
"Tái phẫu thuật mí trên mổ lại lần 3","5500000060000000"
"Cắt u vàng (1 bên mí trên hoặc mí dưới)","7000000"
"Treo chân mày bằng chỉ Mint","30000000"
"Treo chân mày nội soi 4x","50000000"
"LMDTMD","15000000"
"Midface","35000000"
"Midface kết hợp căng da mặt bằng chỉ V-lift","65000000"
"Mở rộng góc mắt ngoài","10000000"
"Mở rộng góc mắt trong","10000000"
"Phẫu thuật điều trị lật mi dưới","35000000"
"Phẫu thuật điều trị lật mi dưới kết hợp căng chỉ","60000000"
"Điều trị lật mi mí dưới bằng chỉ","40000000"
"Ghép da điều trị lật mi mí dưới (ghép da sau tai)","4000000050000000"
"Nạo silicon/ filler mí dưới","20000000"
"Cấy mỡ vùng lõm mi dưới (sử dụng mỡ đùi hoặc bụng)","20000000"
"Cấy mỡ vùng lõm mi dưới (biểu bì mông)","30000000"
"Phẫu thuật tạo bọng mắt dễ thương","20000000"
"Phẫu thuật điều trị quặm mi mí dưới","30000000"
"Thu gọn cánh mũi","10000000"
"Nạo silicon mũi","30000000"
"Rút chỉ mũi (trường hợp đã nâng mũi bằng chỉ)","30000000"
"Bọc M đầu mũi – mổ hở","20000000"
"Bọc M đầu mũi – mổ kín","15000000"
"Nâng mũi Hàn Quốc","20000000"
"Nâng mũi Hàn Quốc (sử dụng sóng Megaderm)","35000000"
"Nâng mũi Hàn Quốc (sử dụng sóng Sugiform)","35000000"
"Nâng mũi Hàn Quốc+ bọc Megaderm đầu mũi","30000000"
"Nâng mũi bọc sụn vành tai","30000000"
"Nâng mũi bọc sụn vành tai kèm bọc Megaderm đầu mũi","40000000"
"Nâng mũi bọc sụn vành tai kèm bọc Megaderm sóng mũi","45000000"
"Nâng mũi S-Line","60000000"
"Nâng mũi S-Line tái phẫu thuật (mũi khó)","90000000100000000"
"Nâng mũi S-Line + cắt cánh mũi","70000000"
"Nâng mũi S-Line + chỉnh vách ngăn","70000000"
"Nâng mũi S-Line + chỉnh xương gồ","70000000"
"Nâng mũi S-Line + Hạ xương bè","70000000"
"Nâng mũi S-Line 3D","70000000"
"Nâng mũi S-Line 3D + chỉnh vách ngăn","80000000"
"Nâng mũi S-Line 3D + bọc Megaderm đầu mũi","80000000"
"Nâng mũi S-Line 3D + chỉnh xương gồ","80000000"
"Nâng mũi S-Line 3D + Hạ xương bè","80000000"
"Nâng mũi S-Line 3D+ cắt cánh mũi","80000000"
"Nâng mũi S-Line + sụn tự thân hoàn toàn (biểu bì mông)","80000000"
"Nâng mũi S-Line bọc Megaderm toàn bộ","80000000"
"Nâng mũi S-Line sử dụng sóng Surgiform","80000000"
"Nâng mũi S-Line Plus","80000000"
"Vách ngăn 3D","10000000"
"Nâng mũi S-Line Plus bọc Megaderm toàn bộ","90000000"
"Nâng mũi S-Line sụn sườn tự thân","100000000"
"Nâng mũi S-Line sụn tự thân hoàn toàn (biểu bì mông) + sụn sườn tự thân dựng trụ mũi","120000000"
"Nâng mũi S-Line Tutoplast","90000000"
"Phẫu thuật chỉnh mũi gồ không đặt sóng","25000000"
"Chỉnh vách ngăn không đặt sóng","35000000"
"Thu hẹp xương mũi không đặt sóng","25000000"
"PT điều trị cười hở lợi+ hạ cơ nâng môi","30000000"
"PT hàm hô (hàm trên)","80000000"
"PT hàm hô (hàm trên) + điều trị hở lợi","85000000"
"Phẫu thuật hàm hô (hai hàm)","140000000"
"Phẫu thuật hàm hô trên + trượt cằm","130000000"
"PT Lefort 1 hàm trên","90000000"
"Phẫu thuật vẩu hàm dưới BSSO","100000000"
"PT Lefort 1 hàm trên + BSSO hàm dưới","180000000"
"Độn gò má","30000000"
"Độn rãnh mũi má","30000000"
"Độn thái dương sụn mềm Hàn Quốc","30000000"
"Gọt góc hàm","80000000"
"Ghép xương góc hàm vào cằm","50000000"
"Gọt góc hàm + gọt cành ngang","90000000"
"Gọt góc hàm + gọt cành ngang + gọt góc cằm vuông","100000000"
"Gọt hàm + điều chỉnh trục xương cằm","120000000"
"Gọt mặt V-Line","80000000"
"Gọt mặt V-Line + điều chỉnh trục xương cằm","120000000"
"Gọt mặt V-Line + trượt cằm","120000000"
"Hạ xương gò má","70000000"
"Nâng xương gò má","100000000"
"Lấy túi mỡ má","20000000"
"Gọt cằm V-Line","30000000"
"Độn cằm bằng implant Hàn Quốc (không nẹp vít)","20000000"
"Gọt xương góc cằm","50000000"
"Cắt ngắn cằm","50000000"
"Gọt xương góc cằm kết hợp cắt ngắn xương cằm","70000000"
"Độn cằm nẹp vít cố định","30000000"
"Phẫu thuật trượt cằm","50000000"
"Nạo silicon vùng cằm","30000000"
"Tháo độn cằm","15000000"
"Tháo độn thái dương","20000000"
"Căng da mặt bằng chỉ Ultra V-lift Hàn Quốc","60000000"
"Căng da mặt bằng chỉ vàng 24k Hàn Quốc","200000000"
"Căng da mặt bằng chỉ Mesh Lift","85000000"
"Căng da mặt bán phần","80000000"
"Căng da mặt bán phần kết hợp căng da cổ","100000000"
"Căng da mặt bán phần + căng da thái dương","85000000"
"Căng da trán","40000000"
"Căng da thái dương","30000000"
"Căng da cổ",""
"Căng da mặt bằng chỉ Mint (2 sợi/1 bên)","40000000"
"Căng da vùng hố nách","40000000"
"Căng da nọng cằm","30000000"
"Căng da bụng mini","80000000"
"Căng da bụng mini kết hợp dời rốn trong","90000000"
"Căng da bụng toàn bộ – Cấp độ 1","95000000"
"Căng da bụng toàn bộ – Cấp độ 2","120000000"
"Căng da bụng toàn bộ – Cấp độ 3","120000000150000000"
"Căng da đùi","60000000"
"Điều trị thoát vị rốn","50000000"
"Nâng ngực túi Nano","90000000"
"Nâng ngực túi Nano Chip","100000000"
"Nâng ngực túi Nano Chip Demi","120000000"
"Nâng ngực Golden Line túi Nano chip Demi","180000000"
"Nâng ngực Golden Line túi Nano","140000000"
"Nâng ngực Golden Line túi Nano chip","150000000"
"Nâng ngực túi Mentor giọt nước","130000000"
"Nâng ngực túi Mentor tròn trơn","100000000"
"Thu gọn ngực phì đại","150000000"
"Thu gọn đầu ti","15000000"
"Thu gọn quầng ngực","20000000"
"Phẫu thuật chữa núm vú tụt","20000000"
"Chỉnh hình ngực xệ – Cấp độ 1","50000000"
"Chỉnh hình ngực xệ – Cấp độ 2","60000000"
"Chỉnh hình ngực xệ – Cấp độ 3","80000000"
"Chỉnh hình ngực xệ – Cấp độ 4","120000000150000000"
"Nâng mông túi Nano chip","120000000"
"Hút mỡ bắp tay","3000000040000000"
"Hút mỡ đùi","50000000"
"Hút mỡ bụng toàn bộ – Cấp độ 1","70000000"
"Hút mỡ bụng toàn bộ – Cấp độ 2","80000000"
"Hút mỡ bụng toàn bộ – Cấp độ 3","90000000"
"Hút mỡ nọng cằm","2000000025000000"
"Hút mỡ lưng","40000000"
"Hút mỡ vùng bả vai","1500000020000000"
"Hút mỡ hông","40000000"
"Hút mỡ vùng eo","3000000040000000"
"Hút mỡ vùng hố nách","30000000"
"Hút mỡ bắp chân","2000000030000000"
