Ten dich vu,Gia (VND)
"Công Khám Theo Yêu Cầu Trong giờ hành chính","104500"
"Công Khám Theo Yêu Cầu Ngoài giờ hành chính","154500"
"Công Khám Theo Yêu Cầu Trong giờ hành chính[ chuyên khoa thứ 2 trở lên]","80350"
"Công Khám Theo Yêu Cầu Ngoài giờ hành chính[ chuyên khoa thứ 2 trở lên]","130350"
"Khám tư vấn tiêm ngừa ( yêu cầu )","50000"
"Khám tư vấn dinh dưỡng","60000"
"Công khám bệnh nội tổng quát , bệnh mãn tính, chuyên khoa yêu cầu đích danh bác sĩ","100000"
"Công khám yêu cầu hẹn giờ","150000"
"Khám sức khỏe mầm non đi học","30000"
"Chuyển viện Nhân dân 115 (Yêu cầu)","600000"
"Chuyển viện 7A ( yêu cầu )","520000"
"Chuyển Viện Bệnh Viện An Bình ( Yêu Cầu )","520000"
"Chuyển viện Bệnh Viện Đa Khoa Sài Gòn ( yêu cầu)","720000"
"Chuyển viện Bệnh viện ĐH Y dược ( theo yêu cầu )","520000"
"Chuyển viện Bệnh viện Mắt TP HCM(Yêu cầu)","680000"
"Chuyển Viện Bệnh Viện Nhi Đồng Thành Phố ( yêu cầu )","140000"
"Chuyển viện Bệnh viện Tai Mũi Họng TP HCM(yêu cầu )","720000"
"Chuyển viện Bệnh viện Tâm Đức (yêu cầu)","680000"
"Chuyển viện Bình Dân (Yêu cầu)","680000"
"Chuyển viện Bình Tân (Yêu cầu)","300000"
"Chuyển viện Chợ Rẫy (Yêu cầu)","520000"
"Chuyển viện CT Chỉnh hình (Yêu cầu)","640000"
"Chuyển viện ĐHYD (Yêu cầu)","520000"
"Chuyển viện Gia Định (yêu cầu)","880000"
"Chuyển viện Hùng Vương (Yêu cầu)","520000"
"Chuyển viện Truyền Máu Huyết Học (Yêu cầu)","560000"
"Chuyển viện Truyền Máu Huyết Học CS2(Yêu cầu)","140000"
"Chuyển viện Nguyễn Trãi (Yêu cầu)","560000"
"Chuyển viện Nguyễn Tri Phương (Yêu cầu)","520000"
"Chuyển viện Nhi Đồng 1 (Yêu cầu)","560000"
"Chuyển viện Nhi Đồng 2 (yêu cầu)","800000"
"Chuyển viện Nhi Đồng TP (yêu cầu)","140000"
"Chuyển viện Nhiệt Đới (Yêu cầu)","600000"
"Chuyển viện Phạm Ngọc Thạch (Yêu cầu)","560000"
"Chuyển Viện răng hàm mặt ( yêu cầu )","520000"
"Chuyển viện Tâm Thần (Yêu cầu)","600000"
"Chuyển viện Tâm Thần LMX(Yêu cầu)","520000"
"Chuyển viện Thống Nhất (Yêu cầu)","600000"
"Chuyển viện Triều An (Yêu cầu)","300000"
"Chuyển viện Trưng Vương (Yêu cầu)","680000"
"Chuyển viện Từ Dũ (yêu cầu)","640000"
"Chuyển viện Ung Bướu (Yêu cầu)","920000"
"Chuyển viện Viện Tim TPHCM (Yêu cầu)","600000"
"Dịch vụ vận chuyển có bác sĩ, có điều dưỡng(<50km)(theo yêu cầu)","225000"
"Dịch vụ vận chuyển có bác sĩ, có điều dưỡng(>50km)(theo yêu cầu tối đa)","500000"
"Dịch vụ vận chuyển có bác sĩ, có điều dưỡng(>50km)(theo yêu cầu tối thiểu)","300000"
"Dịch vụ vận chuyển có bác sĩ, không có điều dưỡng(<50km)(theo yêu cầu tối thiểu)","150000"
"Dịch vụ vận chuyển có bác sĩ, không có điều dưỡng(>50km)(theo yêu cầu tối đa)","300000"
"Dịch vụ vận chuyển có bác sĩ, không có điều dưỡng(>50km)(theo yêu cầu tối thiểu)","200000"
"Dịch vụ vận chuyển có điều dưỡng, không có bác sĩ(>50km)(theo yêu cầu)","100000"
"Dịch vụ vận chuyển không có nhân viên y tế(theo yêu cầu)","16000"
"Tiền hỗ trợ BS đi ngoại viện <= 50 km","150000"
"Tiền hỗ trợ BS đi ngoại viện >50 km mức 1","200000"
"Tiền hỗ trợ BS đi ngoại viện >50 km mức 2","250000"
"Tiền hỗ trợ BS đi ngoại viện >50 km mức 2","300000"
"Tiền hỗ trợ điều dưỡng đi ngoại viện <= 50 km","75000"
"Tiền hỗ trợ điều dưỡng đi ngoại viện > 50 km","100000"
"Vận chuyển không có nhân viên y tế","20000"
"Xe hồng Cấp Cứu Ngoại viện 100km (theo yêu cầu)","1600000"
"Xe hồng Cấp Cứu Ngoại viện 10km ( theo yêu cầu)","160000"
"Xe hồng Cấp Cứu Ngoại viện 15km ( theo yêu cầu)","240000"
"Xe hồng Cấp Cứu Ngoại viện 1km ( theo yêu cầu)","16000"
"Xe hồng Cấp Cứu Ngoại viện 20km ( theo yêu cầu)","320000"
"Xe hồng Cấp Cứu Ngoại viện 30km ( theo yêu cầu)","480000"
"Xe hồng Cấp Cứu Ngoại viện 40km ( theo yêu cầu)","640000"
"Xe hồng Cấp Cứu Ngoại viện 50km (theo yêu cầu)","800000"
"Xe hồng Cấp Cứu Ngoại viện 60km (theo yêu cầu)","960000"
"Xe hồng Cấp Cứu Ngoại viện 70km (theo yêu cầu)","1120000"
"Xe hồng Cấp Cứu Ngoại viện 80km (theo yêu cầu)","1280000"
"Xe hồng Cấp Cứu Ngoại viện 90km (theo yêu cầu)","1440000"
"Xe hồng Cấp Cứu không có nhân viên y tế","20000"
"Cấp lại lần 2 giấy ra viện theo yêu cầu","30000"
"Dịch vụ tập huấn ATVSLĐ (theo yêu cầu)","3500000"
"Hợp đồng xe hồng hội thao, triển lãm...","3000000"
"In phim CT scanner lần 2","79200"
"In phim MRI lần 2","160600"
"In phim Xquang KTS 20*25 lần 2","32584"
"In phim Xquang KTS 26*36 lần 2","45100"
"In đĩa CT scaner","38444"
"Photo và sao y giấy Khám Sức Khỏe","5000"
"Sao y hồ sơ bệnh án","50000"
"Tóm tắt hồ sơ bệnh án theo yêu cầu","50000"
"Photo và sao y Hồ Sơ Bệnh Án Theo Yêu Cầu","50000"
"Dịch vụ cho thuê bình oxy 1 bình(kèm hướng dẫn sử dụng và bảo quản, chưa bao gồm chi phí vận chuyển)(theo yêu cầu)","250000"
"Dịch vụ cho thuê bình oxy 2 bình(kèm hướng dẫn sử dụng và bảo quản, chưa bao gồm chi phí vận chuyển)(theo yêu cầu)","400000"
"Dịch vụ cho thuê bình oxy 3 bình(kèm hướng dẫn sử dụng và bảo quản, chưa bao gồm chi phí vận chuyển)(theo yêu cầu)","600000"
"Giải phẫu bệnh (mẫu 1)","312000"
"Giải phẫu bệnh (mẫu 2)","220000"
"Đo Bilirubin qua da","50000"
"Chiếu đèn vàng da","10000"
"Tiêm Thuốc Theo Toa ( Yêu Cầu )","20000"
"Xét nghiệm Cobas HPV","550000"
"Xét nghiệm Path Tezt","500000"
"Xét nghiệm Cotesting( Path Tezt+ Cobas HPV)","1050000"
"Siêu âm tổng quát khu khám dịch vụ theo yêu cầu","99000"
"Đo điện tâm đồ theo yêu cầu","50000"
"Điện Châm (Yêu Cầu )","76000"
"Laser Châm","79000"
"Châm ( các phương pháp châm )","80000"
"Liệu pháp tăng cường oxy trong quá trình điều trị(theo yêu cầu)","80000"
"Massage toàn thân bằng tay(theo yêu cầu)","80000"
"Nắn, bó gãy xương cẳng chân bằng phương pháp y học cổ truyền","100000"
"Nắn, bó gãy xương cẳng tay bằng phương pháp y học cổ truyền","100000"
"Nắn, bó gãy xương cánh tay bằng phương pháp y học cổ truyền","100000"
"Kéo nắn cột sống cổ (theo yêu cầu)","30000"
"Bấm huyệt trị liệu(theo yêu cầu)","60000"
"Bó Farafin","50000"
"Chiếu đèn hồng ngoại trị liệu(theo yêu cầu)","20000"
"Cứu (Ngải cứu, túi chườm)","35000"
"Đặt thuốc y học cổ truyền","43000"
"Kéo cột sống thắt lưng bằng giường nằm(theo yêu cầu)","50000"
"Kéo nắn, kéo giãn cột sống các khớp","51000"
"Kỹ thuật tập luyện với dụng cụ chỉnh hình","44000"
"Ngâm thuốc y học cổ truyền","47000"
"Phụ thu phòng dịch vụ 7-9 giường","100000"
"Phụ thu phòng dịch vụ 5-7 giường","200000"
"Phụ thu phòng dịch vụ 3-4 giường","300000"
"Phụ thu phòng dịch vụ 2 giường","400000"
"Phụ thu phòng dịch vụ 1 giường( bao phòng)","800000"
"Cho thuê ghế bố","15000"
