Ten dich vu,Gia (VND)
"Thay băng điều trị vết bỏng từ 10% - 19% diện tích cơ thể ở người lớn","410000"
"Thay băng điều trị vết bỏng dưới 10% diện tích cơ thể ở người lớn","242000"
"Thay băng điều trị vết bỏng từ 10% - 19% diện tích cơ thể ở trẻ em","410000"
"Thay băng điều trị vết bỏng dưới 10% diện tích cơ thể ở trẻ em","242000"
"Thay băng điều trị vết thương mạn tính","246000"
"Đặt catheter tĩnh mạch trung tâm 01 nòng","653000"
"Đặt catheter tĩnh mạch trung tâm nhiều nòng","1126000"
"Tạo nhịp tim cấp cứu tạm thời với điện cực ngoài lồng ngực","989000"
"Chọc hút dịch màng ngoài tim dưới siêu âm","247000"
"Chọc dò màng ngoài tim cấp cứu","247000"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh không thở máy (một lần hút)","11100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh có thở máy (một lần hút)","11100"
"Mở khí quản cấp cứu","719000"
"Mở khí quản qua màng nhẫn giáp","719000"
"Mở khí quản thường quy","719000"
"Mở khí quản qua da một thì cấp cứu ngạt thở","719000"
"Thay canuyn mở khí quản","247000"
"Khí dung thuốc qua thở máy (một lần)","20400"
"Đặt canuyn mở khí quản 02 nòng","247000"
"Chọc hút dịch – khí màng phổi bằng kim hay catheter","143000"
"Dẫn lưu khí màng phổi áp lực thấp ≤ 8 giờ","185000"
"Dẫn lưu màng phổi liên tục ≤ 8 giờ","185000"
"Chọc hút dịch, khí trung thất","143000"
"Dẫn lưu trung thất liên tục ≤ 8 giờ","185000"
"Thông khí nhân tạo không xâm nhập [giờ theo thực tế]","559000"
"Cấp cứu ngừng tuần hoàn hô hấp cơ bản","479000"
"Đặt ống thông dẫn lưu bàng quang","90100"
"Đặt ống thông dẫn lưu bàng quang trên khớp vệ","373000"
"Mở thông bàng quang trên xương mu","373000"
"Thông bàng quang","90100"
"Rửa bàng quang lấy máu cục","198000"
"Thận nhân tạo cấp cứu","1541000"
"Chọc dịch tuỷ sống","107000"
"Đặt ống thông dạ dày","90100"
"Rửa dạ dày cấp cứu","119000"
"Rửa dạ dày loại bỏ chất độc bằng hệ thống kín","589000"
"Thụt tháo","82100"
"Thụt giữ","82100"
"Đặt ống thông hậu môn","82100"
"Chọc dò ổ bụng cấp cứu","137000"
"Thay băng cho các vết thương hoại tử rộng (một lần)[Thay băng vết thương/ mổ chiều dài < 30 cm nhiễm trùng]","134000"
"Thay băng cho các vết thương hoại tử rộng (một lần)[Thay băng vết thương/ mổ chiều dài từ 30 cm đến 50 cm nhiễm trùng]","179000"
"Thay băng cho các vết thương hoại tử rộng (một lần)[Thay băng vết thương/ mổ chiều dài > 50cm nhiễm trùng]","240000"
"Rửa bàng quang ở bệnh nhân hồi sức cấp cứu và chống độc","198000"
"Chọc hút dẫn lưu dịch ổ bụng dưới hướng dẫn của siêu âm trong điều trị viêm tuỵ cấp","176000"
"Chọc tháo dịch ổ bụng dưới hướng dẫn của siêu âm trong khoa hồi sức cấp cứu","176000"
"Cấp cứu ngừng tuần hoàn cho bệnh nhân ngộ độc","479000"
