Id,Ten,Dia chi,Loai,So dien thoai,Hinh anh,Link Anh Goc,Gioi thieu,Website,Lat,Lng,Tu khoa goc,,,
1913d55b,Bệnh viện Chợ Rẫy,"201B Nguyễn Chí Thanh, Phường 12, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam","['Bệnh viện đa khoa', 'Bệnh viện chính phủ']",+84 28 3855 4137,downloaded_images\ad4eaa3cce1c21711e7c87784e1df050.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzZjaNo2p3PbgQZF8cfKDAtLkP5Fu0yA_aPtHsCMofhGDWuwswBTSLY1-E85Jfi6VDsoeXrgnyOd8GXOA-FmSApZ7rCP9m-WyQiChaxbPPn-tbn_iUsYIgVyju4JDsPSa9nzkOy=w1080-h1080-no,Không có,/url?q=http://www.choray.vn/&opi=79508299&sa=U&ved=0ahUKEwjP-pP7ts6RAxUKhIkEHbDJCWEQ61gIFygS&usg=AOvVaw2ElBgGgGYTA0olEtIS5NBI,10.7578646,106.6595131,Bệnh viện Chợ Rẫy,,r,
004c710a,Bệnh viện Nhân Dân 115,"527 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Bệnh viện đa khoa,+84 28 3865 4139,downloaded_images\c9f390706d9a8d3b80cba37829c50fb6.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytrAYW9o8PHTKjmdieDnECgp9v3AUSckoySAo_UDLmgi4TuqEQKIgSYDWPc4DNzKjDbCMonF1aUf1-fTVB5ujq6U3cCh9tnuvaWdRKZnWM0ghURuJZKMs1atU4Sm5aDRl0vkJeCkDUTJ6K=w1080-h1080-no,Không có,https://benhvien115.com.vn/,10.773980199999999,106.6660284,Bệnh viện Nhân dân 115,,giá bộ y tế,
a0bb1f29,Bệnh viện Nhân dân Gia Định,"1 Nơ Trang Long, Phường 7, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","['Bệnh viện', 'Bác sĩ', 'Phòng khám']",+84 28 3841 2692,downloaded_images\1e4ff9a0d34d6a13755e7edf5945cfda.jpg,https://lh3.googleusercontent.com/p/AF1QipOtZhHK4PKv3qy5FX5Q4N5GkeeZu1IZGzjBgRuN=w1080-h1080-no,Không có,http://bvndgiadinh.org.vn/,10.803747099999999,106.69413879999999,Bệnh viện Nhân dân Gia Định,,r,
052fc7e2,Bệnh viện Đại học Y Dược TP.HCM,"Cơ sở 1, 215 Đ. Hồng Bàng, Phường 11, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam",Bệnh viện đại học,+84 28 3855 4269,downloaded_images\2c2c0d50f142a1b331874882c227cd59.jpg,https://lh3.googleusercontent.com/p/AF1QipPa70xZ4xzUuuk3e0K3nOgs0iTVX_0-XeRbBNG8=w1080-h1080-no,Không có,/url?q=https://www.bvdaihoc.com.vn/&opi=79508299&sa=U&ved=0ahUKEwieyP3duM6RAxWRI0QIHUgwEJ4Q61gIHigR&usg=AOvVaw3t1wfkkupqhw4dcRslrc-v,10.7553783,106.6644592,Bệnh viện Đại học Y Dược TP.HCM Cơ sở 1,,r,
bb44c167,Bệnh Viện Đại Học Y Dược - Cơ Sở 2,"201 Nguyễn Chí Thanh, Phường 12, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","['Bệnh viện đại học', 'Bệnh viện phụ sản', 'Bệnh viện đa khoa']",+84 28 3955 5548,downloaded_images\cc736c288810d65c79f4565731e3e097.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSws6DrnLi5dOg5ejcANMLPvQbfQ9mig5Q-lumLWh-r5z9ecw-44HbUFd1M9Jl0AtMdSR7PmW5NvzvN6kSLakSpFT-kaHBkN9uhDT7bmJ9apFvja9T84-_N1fU5dDfu4SiDMCSAZ=w1080-h1080-no,Không có,http://bvdaihoccoso2.com.vn/,10.758172199999999,106.6612578,Bệnh viện Đại học Y Dược TP.HCM Cơ sở 2,,r,r
6a267730,Cơ sở 3 - Bệnh viện Đại học Y Dược TPHCM,"221B Đ. Hoàng Văn Thụ, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh 700000, Việt Nam",['Bệnh viện'],+84 28 3844 4771,downloaded_images\71765e059db7e903a6e59c1a6723d1da.jpg,https://lh3.googleusercontent.com/p/AF1QipN4ZgIueWlPgVQ82nXUo937fF5qdItu7G_rxQKp=w1080-h1080-no,Không có,http://bvdaihoccoso3.com.vn/,10.799703899999999,106.6708297,Bệnh viện Đại học Y Dược TP.HCM Cơ sở 3,k,,
1d20652a,Bệnh viện Từ Dũ,"284 Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Nhà hộ sinh,+84 28 3952 6568,downloaded_images\691df934c796e191de2f13de04a92d20.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2PTsSzhEpRhXlkcrPuI6vM7l-3FYqU0TlwXfcx7WNZyvLtzsk6HyJkjzfgNZLptjWl044Ci1TB4E77-MoAgGSmku4fItaUdVrAQDDrjFxHMINr__hwDSICn9vsfPVeeeubowsfA=w1080-h1080-no,Không có,http://tudu.com.vn/,10.768483699999999,106.6853651,Bệnh viện Từ Dũ Cổng Cống Quỳnh,r,,
e1a6c5b2,Bệnh Viện Từ Dũ - Khu N,"191 Nguyễn Thị Minh Khai, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Khoa của bệnh viện,+84 28 5404 2829,downloaded_images\544db6b3a431975257ae0fd46c56e349.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSydQTj3n__XvcCGnotKa7JEdo0X4MRRF9ipkY_P56yfgQOo3NzWLcmBQG4gG-oGKBwWWQhB5IbxHQqPSqJRHcnBU0hY8v5fDjqotC0lMoRibxPsn84O8GfARhLdaoUTlHS86uWX=w1080-h1080-no,Không có,http://tudu.com.vn/,10.7694359,106.6860729,Bệnh viện Từ Dũ Cổng Nguyễn Thị Minh Khai,r,,
04ff4b2d,Bệnh viện Hùng Vương,"9 Đ. Lý Thường Kiệt, Phường 12, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Bệnh viện chuyên khoa,+84 28 3855 8532,downloaded_images\96719ff286f710383716e5f2bab455ec.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTQQe-D_TgxWO7X4r67gqvbN2L-am3atMWTu5gBbfSIGQBXENHRj3nijR6fbCAgOuQXdhRyHIGaBozwDzXJmRkihq7j4npuzbCdlPb8c8sfu_Ahe1RxTwBH5ddYM0We0VRr0RoXg=w1080-h1080-no,Không có,http://www.bvhungvuong.vn/,10.7565723,106.66182739999999,Bệnh viện Hùng Vương,r,,
da8130dd,Bệnh viện Nhi đồng 1,"341 Sư Vạn Hạnh, Phường 10, Quận 10, Thành phố Hồ Chí Minh 70000, Việt Nam",['Bệnh viện nhi'],+84 28 3927 1119,downloaded_images\98d3642d413d2284ae973a1fa3f4ee16.jpg,https://lh3.googleusercontent.com/p/AF1QipOCrPIFFfXc6bxbWIIUfUTaJq3F4BkkOHG9-xHJ=w1080-h1080-no,Không có,http://nhidong.org.vn/,10.769126199999999,106.6710121,Bệnh viện Nhi Đồng 1,r,,
139e46b3,Bệnh viện Nhi Đồng 2,"14 Lý Tự Trọng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","['Bệnh viện nhi', 'Bác sĩ']",+84 28 3829 5723,downloaded_images\0a1e58e37d5a1ec35a4bb4351e8efcb0.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSys0sANJbCVkzFxoXLoWguhnL5uS_Xj1Pf0gqABg1okONUGlwrnlD0zNvmaTqaLHBAqSAH-p1_hFUIKVZ6g3Tc2dirKngKEiromWsL1_-jnF0pyM1klDkk_oTPo2sgj4AHCqrac=w1080-h1080-no,Không có,/url?q=http://www.benhviennhi.org.vn/&opi=79508299&sa=U&ved=0ahUKEwjhkIGLt86RAxX2mokEHfTRLlAQ61gIFygS&usg=AOvVaw13P2danlunBsYC7GsxtmF-,10.780517399999999,106.70323669999999,Bệnh viện Nhi Đồng 2,r,,
