Ten dich vu,Gia (VND)
"Rửa rốn trẻ sơ sinh","90000"
"Khám chuyên khoa (Tai, mũi, họng)","150000"
"Khám chuyên khoa Mắt","150000"
"Khám chuyên khoa Mắt - NN","150000"
"Khám răng","150000"
"Chọn bác sĩ khám theo yêu cầu Sản Phụ Khoa (đặt lịch qua Điện thoại)","200000"
"Khám Phụ sản [Phụ khoa]","150000"
"Khám Phụ sản [Sản khoa]","150000"
"Chọn bác sĩ khám theo yêu cầu","150000"
"Chọn bác sĩ khám theo yêu cầu (đặt lịch qua điện thoại)","200000"
"Công khám bệnh và điều trị tại nhà ( BK 5km)","200000"
"Công khám bệnh và điều trị tại nhà ( BK trên 5km)","300000"
"Công khám cấp cứu và điều trị tại nhà","150000"
"Khám chuyên khoa Mắt - Tai mũi họng-NN","150000"
"Khám da liễu -NN","150000"
"Khám Đông y-NN","150000"
"Khám Ngoại CTCH-NN","150000"
"Khám Ngoại tổng hợp -NN","150000"
"Khám Nhi-NN","150000"
"Khám Nội thần kinh cơ xương khớp - NN","150000"
"Khám Nội tiết-NN","150000"
"Khám Nội tim mạch -NN","150000"
"Khám Nội tổng quát -NN","150000"
"Khám Phụ sản -NN","150000"
"Khám răng -NN","150000"
"Khám tổng quát-NN","150000"
"Khám truyền nhiễm -NN","150000"
"Khám viêm gan - NN","150000"
"Khám da liễu","150000"
"Khám Đông y","150000"
"Khám Ngoại CTCH","150000"
"Khám Ngoại tổng hợp","150000"
"Khám Nhi","150000"
"Khám Nội thần kinh cơ xương khớp","150000"
"Khám Nội tiết","150000"
"Khám Nội tim mạch","150000"
"Khám Nội tổng quát","150000"
"Khám tổng quát (KTQ)","150000"
"Khám truyền nhiễm","150000"
"Khám viêm gan","150000"
"Khám VLTL - PHCN","150000"
"Khám sức khỏe người dưới 18 tuổi (TT14)","160000"
"Khám sức khỏe giám định y khoa (GDYK)","250000"
"Khám sức khỏe định kỳ (TT14)","160000"
"Khám sức khỏe lái xe","160000"
"Khám sức khỏe toàn diện lao động cho người từ đủ 18 tuổi trở lên (TT14)","160000"
"Sao y Khám sức khỏe ( TT14)","50000"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 1-32 dãy)[Chưa bao gồm thuốc cản quang]","663400"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 1- 32 dãy)[Chưa bao gồm thuốc cản quang]","663400"
"Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 1- 32 dãy)[Chưa bao gồm thuốc cản quang]","663400"
"Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Doppler động mạch cảnh, Doppler xuyên sọ","370000"
"Siêu âm 3D/4D thai nhi","350000"
"Siêu âm bán phần trước","270000"
"Siêu âm bụng TQ.","131000"
"Bó thuốc","57600"
"Cấy chỉ","156400"
"Bơm rửa khoang màng phổi","280000"
"Phẫu thuật lấy hạch mạc treo trong ổ bụng do lao [Chưa bao gồm siêu âm hoặc dao hàn mô hoặc dao hàn mạch.]","4287100"
"Phẫu thuật lấy máu tụ dưới màng cứng mạn tính hai bên [Chưa bao gồm nẹp, ghim, vít, ốc, miếng vá khuyết sọ.]","5669600"
"Phẫu thuật lấy máu tụ dưới màng cứng mạn tính một bên [Chưa bao gồm nẹp, ghim, vít, ốc, miếng vá khuyết sọ.]","5669600"
