Ten dich vu,Gia (VND)
"Tập với máy tập Biofeedback để chẩn đoán [Chưa bao gồm đầu dò]","250000"
"Tập với máy tập Biofeedback để chẩn đoán [Thứ 7, Chủ nhật- Chưa bao gồm đầu dò]","300000"
"Tập với máy tập Biofeedback để điều trị [Chưa bao gồm đầu dò]","450000"
"Tập với máy tập Biofeedback để điều trị [Liệu trình 10 lần tập- Chưa bao gồm đầu dò]","4000000"
"Tập với máy tập Biofeedback để điều trị [Liệu trình 16 lần tập- Chưa bao gồm đầu dò]","6000000"
"Tập với máy tập Biofeedback để điều trị [Thứ 7, Chủ nhật- Chưa bao gồm đầu dò]","500000"
"Tập với máy tập Biofeedback để điều trị [Thứ 7, Chủ nhật- Liệu trình 10 lần tập- Chưa bao gồm đầu dò]","4500000"
"Tập với máy tập Biofeedback để điều trị [Thứ 7, Chủ nhật- Liệu trình 16 lần tập- Chưa bao gồm đầu dò]","6800000"
"Đo NST [Đa thai] (Theo dõi tim thai và cơn co tử cung bằng monitoring)","270000"
"Đo NST [Ngoại viện, hội chẩn] (Theo dõi tim thai và cơn co tử cung bằng monitoring)","251000"
"Vi nấm nuôi cấy và định danh hệ thống tự động","350000"
"Vi nấm kháng thuốc hệ thống tự động","1450000"
"Hồng cầu, bạch cầu trong phân soi tươi","45000"
"Chọc hút apxe vú","300000"
"Chọc hút apxe vú [Liệu trình 3 lần]","750000"
"Thinprep- Pap test [Tự động- Theo hẹn]","850000"
"Xét nghiệm tế bào học bằng phương pháp Liqui Prep [Bán tự động]","500000"
"Xét nghiệm tế bào học bằng phương pháp Liqui Prep [Bán tự động- Theo hẹn]","700000"
"Xét nghiệm tế bào học bằng phương pháp Cellprep [Theo hẹn]","820000"
"Nhuộm phiến đồ tế bào Theo Papanicolaou [Pap smear- Theo hẹn]","650000"
"Nhuộm phiến đồ tế bào Theo Papanicolaou [Tuyến vú- Theo hẹn]","650000"
"Nhuộm hai màu Hematoxyline- Eosin [Bệnh phẩm cổ tử cung- Theo hẹn]","700000"
"Nhuộm hai màu Hematoxyline- Eosin [Bệnh phẩm kênh cổ tử cung- Theo hẹn]","700000"
"Nhuộm hai màu Hematoxyline- Eosin [Bệnh phẩm lòng tử cung- Theo hẹn]","700000"
"Nhuộm hai màu Hematoxyline- Eosin [Bệnh phẩm ống dẫn trứng bên phải- Theo hẹn]","700000"
"Nhuộm hai màu Hematoxyline- Eosin [Bệnh phẩm ống dẫn trứng bên trái- Theo hẹn]","700000"
"Nhuộm hai màu Hematoxyline- Eosin [Bệnh phẩm sinh thiết lõi kim- Theo hẹn]","700000"
"Nhuộm hai màu Hematoxyline- Eosin [Bệnh phẩm Polyp cổ tử cung- Theo hẹn]","700000"
"Sàng lọc ung thư cổ tử cung bằng phương pháp phân tích hình ảnh cổ tử cung kết hợp trí tuệ nhân tạo sử dụng máy CerviCARE AI","320000"
"Xây dựng thực đơn [1 tuần]","200000"
"Xây dựng thực đơn [2 tuần]","350000"
"Xây dựng thực đơn [4 tuần]","650000"
"Tư vấn thực đơn và sức khỏe dinh dưỡng ở mẹ cho con bú [1 tuần]","500000"
"Tư vấn thực đơn và sức khỏe dinh dưỡng ở mẹ cho con bú [2 tuần]","600000"
"Tư vấn thực đơn và sức khỏe dinh dưỡng ở mẹ cho con bú [4 tuần]","700000"
"Sữa hiến tặng đã qua thanh trùng (1 ml)","1500"
"Gội đầu thảo dược","150000"
"Hội chẩn hồi sức cấp cứu nội khoa [BV ĐHYD]","550000"
"Tóm tắt bệnh án","150000"
"Cấp giấy chứng nhận sinh con tại bệnh viện Hùng Vương","50000"
"Tái cấp - chỉnh sửa giấy chứng sinh","50000"
"Trích lục và cấp lại giấy chứng nhận, sổ tiêm ngừa (thời gian trích lục trước năm 2014)","200000"
"Trích lục và cấp lại giấy chứng nhận, sổ tiêm ngừa (thời gian trích lục từ 2014 trở về sau)","100000"
"Tái cấp giấy xuất viện, giấy chứng nhận phẫu thuật","50000"
