Ten dich vu,Gia (VND)
"Theo dõi SPO2 liên tục tại giường ≤ 8 giờ","20000"
"Đặt canuyn mũi hầu, miệng hầu","32000"
"Thở oxy qua mặt nạ không có túi (≤ 8 giờ)","100000"
"Thủ thuật Heimlich (lấy dị vật đường thở) cho người lớn và trẻ em","40600"
"Bóp bóng Ambu qua mặt nạ","212000"
"Khí dung thuốc cấp cứu (một lần)","19600"
"Cố định lồng ngực do chấn thương gãy xương sườn","49900"
"Cấp cứu ngừng tuần hoàn hô hấp cơ bản","479000"
"Đặt ống thông dẫn lưu bàng quang","88700"
"Đặt ống thông dạ dày","88700"
"Rửa dạ dày cấp cứu","119000"
"Lấy máu tĩnh mạch, tiêm thuốc tĩnh mạch (một lần chọc kim qua da)","11000"
"Truyền thuốc, dịch tĩnh mạch ≤ 8 giờ","21000"
"Xét nghiệm đường máu mao mạch tại giường (một lần)","15200"
"Xét nghiệm đông máu nhanh tại giường","25000"
"Bóp bóng Ambu qua mặt nạ","212000"
"Chăm sóc lỗ mở khí quản (một lần)","56800"
"Kỹ thuật ho có điều khiển","29700"
"Kỹ thuật tập thở cơ hoành","29700"
"Khí dung thuốc giãn phế quản","19600"
"Vận động trị liệu hô hấp","40000"
"Điện tim thường","32000"
"Đặt sonde bàng quang","86000"
"Thụt thuốc qua đường hậu môn","80900"
"Hút ổ viêm/ áp xe phần mềm","182000"
"Cắt chỉ khâu da","32900"
"Lấy dị vật kết mạc","64400"
"Khám mắt","29000"
"Điều trị sâu ngà răng phục hồi bằng GlassIonomer Cement (GIC) kết hợp Composite","400000"
"Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội (Tủy răng số 1, 2, 3)","500000"
"Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội (Tủy răng số 4, 5)","600000"
"Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội (Tủy răng số 6, 7 hàm dưới)","800000"
"Điều trị tủy răng và hàn kín hệ thống ống tủy bằng Gutta percha nguội (Tủy răng số 6, 7 hàm trên)","900000"
"Nhổ chân răng vĩnh viễn","190000"
"Điều trị sâu ngà răng phục hồi bằng GlassIonomer Cement (GIC)","95200"
"Điều trị sâu ngà răng phục hồi bằng Composite","400000"
"Trám bít hố rãnh với GlassIonomer Cement (GIC) hóa trùng hợp","208000"
"Trám bít hố rãnh với GlassIonomer Cement (GIC) quang trùng hợp","208000"
"Trám bít hố rãnh với Composite hóa trùng hợp","208000"
"Trám bít hố rãnh với Composite quang trùng hợp","208000"
"Điều trị răng sữa viêm tủy có hồi phục","334000"
"Điều trị tủy răng sữa (1 chân)","271000"
"Điều trị tủy răng sữa (nhiều chân)","382000"
"Điều trị đóng cuống răng bằng Ca(OH)2","456000"
"Dự phòng sâu răng bằng máng có Gel Fluor","541000"
"Trám bít hố rãnh bằng nhựa Sealant","212000"
"Điều trị răng sữa sâu ngà phục hồi bằng Amalgam","95200"
"Điều trị răng sữa sâu ngà phục hồi bằng Composite","95200"
"Trám bít hố rãnh bằng GlassIonomer Cement (GIC)","95200"
"Điều trị răng sữa sâu ngà phục hồi bằng GlassIonomer Cement (GIC)","95200"
"Nhổ răng sữa","37300"
"Nhổ chân răng sữa","37300"
"Chích Apxe lợi trẻ em","100000"
"Điều trị viêm lợi trẻ em","100000"
"Chích áp xe lợi","150000"
"Điều trị sâu ngà răng phục hồi bằng Eugenate","243000"
"Điều trị sâu ngà răng phục hồi bằng Amalgam","300000"
"Điều trị sâu ngà răng phục hồi bằng GlassIonomer Cement (GIC)","95200"
"Chụp nhựa","288000"
"Lấy cao răng 2 hàm (Các kỹ thuật)","134000"
"Lấy đáy tai (nút biểu bì)","62900"
"Khí dung mũi họng","20400"
"Tiêm trong da","11400"
"Tiêm dưới da","11400"
"Tiêm bắp thịt","11400"
"Tiêm tĩnh mạch","11400"
"Truyền tĩnh mạch","21400"
"Thay băng vết thương hoặc mổ chiều dài ≤ 15cm","57600"
"Thay băng vết thương chiều dài trên 15cm đến 30 cm","82400"
"Thay băng vết mổ chiều dài trên 15cm đến 30 cm","82400"
"Thay băng vết thương hoặc mổ chiều dài trên 30 cm đến 50 cm","112000"
"Thay băng vết thương hoặc mổ chiều dài từ trên 15 cm đến 30 cm nhiễm trùng","134000"
"Thay băng vết thương hoặc mổ chiều dài từ 30 cm đến 50 cm nhiễm trùng","179000"
"Thay băng vết thương hoặc mổ chiều dài > 50cm nhiễm trùng","240000"
"Chích rạch áp xe nhỏ","182000"
"Điều trị dày sừng da dầu bằng đốt điện","333000"
"Điều trị dày sừng ánh nắng bằng đốt điện","333000"
"Điều trị sẩn cục bằng đốt điện","333000"
"Điều trị bớt sùi bằng đốt điện","333000"
"Điều trị u mềm lây bằng nạo thương tổn","332000"
"Đắp mặt nạ điều trị một số bệnh da","195000"
"Test nhanh phát hiện chất opiats trong nước tiểu","43100"
"Test nhanh phát hiện chất gây nghiện trong nước tiểu","43100"
"Điều trị thay thế nghiện các chất dạng thuốc phiện bằng thuốc methadone","10000"
"Điện châm","74300"
"Cứu","35500"
"Điện châm điều trị hội chứng tiền đình","74300"
"Điện châm điều trị huyết áp thấp","74300"
"Điện châm điều trị thiểu năng tuần hoàn não mạn tính","74300"
"Điện châm điều trị hội chứng stress","74300"
"Điện châm điều trị cảm mạo","74300"
"Điện châm điều trị hội chứng tiền mãn kinh","74300"
"Điện châm điều trị liệt chi trên","74300"
"Điện châm điều trị rối loạn tiêu hóa","74300"
"Điện châm điều trị đau do thoái hóa khớp","74300"
"Điện châm điều trị ù tai","74300"
"Xoa bóp bấm huyệt điều trị liệt chi trên","65500"
"Xoa bóp bấm huyệt điều trị liệt chi dưới","65500"
"Xoa bóp bấm huyệt điều trị liệt nửa người do tai biến mạch máu não","65500"
"Xoa bóp bấm huyệt điều trị hội chứng thắt lưng- hông","65500"
"Xoa bóp bấm huyệt điều trị cứng khớp chi trên","65500"
"Xoa bóp bấm huyệt điều trị cứng khớp chi dưới","65500"
"Xoa bóp bấm huyệt điều trị chứng ù tai","65500"
"Xoa bóp bấm huyệt điều trị đau đầu, đau nửa đầu","65500"
"Xoa bóp bấm huyệt điều trị mất ngủ","65500"
"Xoa bóp bấm huyệt điều trị hội chứng stress","65500"
"Xoa bóp bấm huyệt điều trị thiểu năng tuần hoàn não mạn tính","65500"
"Xoa bóp bấm huyệt điều trị liệt dây thần kinh số VII ngoại biên","65500"
"Xoa bóp bấm huyệt điều trị hội chứng tiền đình","65500"
"Xoa bóp bấm huyệt hỗ trợ điều trị tăng huyết áp","65500"
"Xoa bóp bấm huyệt điều trị đau do thoái hóa khớp","65500"
