Ten dich vu,Gia (VND)
"Chụp Xquang cột sống thắt lưng chếch hai bên [Tại giường]","73300"
"Chụp Xquang cột sống thắt lưng thẳng nghiêng [Tại giường]","73300"
"Chụp Xquang cột sống ngực thẳng nghiêng hoặc chếch [Tại giường]","73300"
"Chụp Xquang cột sống cổ C1-C2 [Tại giường]","73300"
"Chụp Xquang cột sống cổ chếch hai bên [Tại giường]","73300"
"Chụp Xquang cột sống cổ thẳng nghiêng [Tại giường]","73300"
"Chụp Xquang hốc mắt thẳng nghiêng [Tại giường]","73300"
"Chụp Xquang mặt thẳng nghiêng [Tại giường]","73300"
"Chụp Xquang khớp vai nghiêng hoặc chếch [Tại giường]","73300"
"Chụp Xquang khớp vai thẳng [Tại giường]","73300"
"Chụp Xquang xương ức thẳng, nghiêng [Tại giường]","73300"
"Chụp Xquang xương gót thẳng nghiêng [Tại giường]","73300"
"Chụp Xquang xương bàn, ngón chân thẳng, nghiêng hoặc chếch [Tại giường]","73300"
"Chụp Xquang xương cổ chân thẳng, nghiêng hoặc chếch [Tại giường]","73300"
"Chụp Xquang xương cẳng chân thẳng nghiêng [Tại giường]","73300"
"Chụp Xquang xương bánh chè và khớp đùi bánh chè [Tại giường]","73300"
"Chụp Xquang khớp gối thẳng, nghiêng hoặc chếch [Tại giường]","73300"
"Chụp Xquang xương đùi thẳng nghiêng [số hóa 1 phim] [Tại giường]","73300"
"Chụp Xquang khớp khuỷu thẳng, nghiêng hoặc chếch [Tại giường]","73300"
"Chụp Xquang xương cổ tay thẳng, nghiêng hoặc chếch [Tại giường]","73300"
"Chụp Xquang xương bàn ngón tay thẳng, nghiêng hoặc chếch [Tại giường]","73300"
"Chụp Xquang sọ thẳng nghiêng [Tại giường]","105300"
"Chụp Xquang sọ thẳng/nghiêng [Tại giường]","73300"
"Chụp Xquang niệu đạo bàng quang ngược dòng [Tại giường]","604800"
"Chụp Xquang cột sống cổ động, nghiêng 3 tư thế [Tại giường]","130300"
"Chụp Xquang khớp cùng chậu thẳng chếch hai bên [Tại giường]","130300"
"Chụp Xquang toàn bộ chi dưới thẳng [Tại giường]","130300"
"Chụp Xquang cột sống thắt lưng chếch hai bên [Tại giường]","105300"
"Chụp Xquang cột sống thắt lưng thẳng nghiêng [Tại giường]","105300"
"Chụp Xquang cột sống cổ thẳng nghiêng [Tại giường]","105300"
"Chụp Xquang khớp vai thẳng [thẳng và nghiêng] [Tại giường]","105300"
"Chụp Xquang xương ức thẳng, nghiêng [Tại giường]","105300"
"Chụp Xquang xương bả vai thẳng nghiêng [Tại giường]","105300"
"Chụp Xquang khớp khuỷu thẳng, nghiêng hoặc chếch [Tại giường]","105300"
"Chụp Xquang xương cẳng tay thẳng nghiêng [Tại giường]","105300"
"Chụp Xquang xương bàn ngón tay thẳng, nghiêng hoặc chếch [Tại giường]","105300"
"Chụp Xquang xương đùi thẳng nghiêng [số hóa 2 phim] [Tại giường]","105300"
"Chụp Xquang khớp gối thẳng, nghiêng hoặc chếch [Tại giường]","105300"
"Chụp Xquang xương cổ chân thẳng, nghiêng hoặc chếch [Tại giường]","105300"
"Chụp Xquang xương gót thẳng nghiêng [Tại giường]","105300"
"Chụp Xquang xương bàn, ngón chân thẳng, nghiêng hoặc chếch [Tại giường]","105300"
"Chụp Xquang mặt thẳng nghiêng [Tại giường]","105300"
"Chụp Xquang xương cẳng chân thẳng nghiêng [Tại giường]","105300"
"Chụp Xquang bụng không chuẩn bị thẳng hoặc nghiêng [thẳng và nghiêng] [Tại giường]","105300"
"Chụp Xquang khớp háng nghiêng [Tại giường]","73300"
"Chụp Xquang khớp háng thẳng hai bên [Tại giường]","73300"
"Chụp Xquang khung chậu thẳng [Tại giường]","73300"
"Chụp Xquang xương đòn thẳng hoặc chếch [Tại giường]","73300"
"Chụp Xquang Hirtz [Tại giường]","73300"
"Chụp Xquang Blondeau [Tại giường]","73300"
"Chụp Xquang cột sống thắt lưng De Sèze [Tại giường]","73300"
