Ten dich vu,Gia (VND)
Dẫn lưu bể thận ngược dòng cấp cứu bằng nội soi ≤ 8 giờ,2550000
Tắm tẩy độc cho người bệnh,292000
Điều trị ngộ độc cấp ma túy nhóm opi,1365000
"Nội soi ống mềm phế quản siêu âm, sinh thiết xuyên thành phế quản",3400000
Nội soi trung thất,9019000
Nong đặt stent động mạch chủ,3734000
Nội soi can thiệp - nhuộm màu chẩn đoán ung thư sớm,356000
Đo thành phần cơ thể,57000
Mở màng giáp nhẫn cấp cứu,2077000
"Tập do liệt ngoại biên người bệnh liệt nửa người, liệt các chi, tổn thương hệ vận động",66000
Tập do liệt thần kinh trung ương,73000
Nội soi thanh quản cắt papilloma,561000
Phẫu thuật kết hợp xương điều trị gãy xương gò má bằng chỉ thép,7391000
Phẫu thuật kết hợp xương điều trị gãy xương gò má bằng nẹp vít hợp kim,6948000
Phẫu thuật kết hợp xương điều trị gãy xương gò má bằng nẹp vít tự tiêu,6948000
"Phẫu thuật lấy xương chết, nạo rò điều trị viêm xương hàm",726000
Phẫu thuật cấy máy trợ thính tai giữa,6395000
Phẫu thuật tạo hình vành tai bằng vật liệu tự thân hay tổng hợp,8730000
Phẫu thuật chỉnh hình lại hốc mổ tiệt căn xương chũm,5834000
Phẫu thuật kiểm tra xương chũm,5808000
"Tạo hình khuyết bộ phận vành tai, vạt da có cuống",11955000
Đặt ống thông khí hòm tai,1110000
"Phẫu thuật lấy dị vật trong xoang, ổ mắt",6454000
Phẫu thuật xoang trán,6250000
Khoan thăm dò xoang trán,4609000
Phẫu thuật nạo sàng hàm,5980000
"Phẫu thuật Caldwell-Luc, phẫu thuật xoang hàm lấy răng",6196000
Phẫu thuật nạo VA đặt ống thông khí,4995000
Phẫu thuật lỗ thông mũi xoang qua khe dưới,5424000
Nong hẹp thanh khí quản,3104000
Phẫu thuật đường rò bẩm sinh cổ bên,5330000
Phẫu thuật cắt dây thanh,9492000
Phẫu thuật dính thanh quản,9446000
"Phẫu thuật chữa ngáy (UPPP, CAUP, LAUP)",5076000
Phẫu thuật khâu lỗ thủng thực quản sau hóc xương,6238000
"Phẫu thuật chỉnh hình họng, màn hầu, lưỡi gà",6314000
Phẫu thuật chỉnh hình lỗ mở khí quản trong cắt thanh quản toàn phần,5688000
Khâu nối thần kinh ngoại biên,5678000
Phẫu thuật tái tạo vùng đầu-cổ bằng vạt da cân-cơ-xương,9547000
Cắt thanh quản hạ họng có tái tạo bằng vạt cân cơ,4738000
Cắt thanh quản bán phần bằng laser,4738000
Phẫu thuật đi vào vùng chân bướm hàm,7217000
Thắt động mạch bướm-khâu cái,4738000
Ghép vạt da cơ xương tự do trong tai mũi họng,5623000
Phẫu thuật đường rò bẩm sinh giáp móng,5750000
"Phẫu thuật lấy đường rò tai, cổ",5324000
Phẫu thuật tuyến dưới hàm,5096000
Khâu phục hồi thanh quản do chấn thương,4738000
Phẫu thuật chỉnh hình xương gò má,6174000
Nạo VA bằng coblator,2080000
Nút động mạch để điều trị u máu ở vùng đầu và hàm mặt,6552000
Mở đường dưới thái dương (Ugo-Fish) lấy khối u xơ vòm mũi họng,3725000
Cắt u xơ vòm mũi họng,2344000
Cắt u thành bên lan lên đáy sọ,3061000
Cắt ung thư tai-xương chũm và nạo vét hạch,2459000
Cắt toàn bộ thanh quản và một phần họng có vét hạch hệ thống,3320000
Cắt u bạch mạch vùng cổ,2659000
Cắt u máu vùng cổ,2971000
Tạo hình cánh mũi do ung thư,2635000
Cắt ung thư sàng hàm chưa lan rộng,4096000
Cắt u lành tính thanh quản,3339000
Cắt u thành sau họng,3005000
Cắt u thành bên họng,2920000
Cắt trực tràng giữ lại cơ tròn,11533000
"Cắt đoạn đại tràng ngang, đại tràng sigma nối ngay",11718000
Cắt u nang mạc nối lớn,12152000
"Cắt ung thư biểu mô vùng mặt + tạo hình vạt da, đóng khuyết da bằng phẫu thuật tạo hình thẩm mỹ đường kính dưới 5cm",5744000
Cắt u bạch mạch đường kính dưới 10 cm,6516000
Cắt gần toàn bộ tuyến giáp trong bệnh basedow,6657000
Cắt u lành tuyến tiền liệt đường bụng,12950000
Cắt bỏ tinh hoàn ung thư lạc chỗ có hoặc không vét hạch ổ bụng,5721000
Phẫu thuật tạo hình toàn bộ vành tai,23251000
Phẫu thuật cắt bỏ nốt ruồi đơn giản,914000
"Phẫu thuật chồng khớp sọ, hẹp hộp sọ",8467000
Nối mạch máu trong và ngoài hộp sọ,16210000
Rạch da đầu rộng trong máu tụ dưới da đầu,5505000
Dẫn lưu màng tim qua đường Marfan,2626000
Dẫn lưu màng tim qua đường cắt sụn sườn 5,8007000
Phẫu thuật triệt mạch Sugiura điều trị tăng áp lực tĩnh mạch cửa/xơ gan,10013000
Nông hóa đường dò động tĩnh mạch cánh tay để chạy thận nhân tạo,3028000
"Phẫu thuật Heller lỗ dò phế quản, lắp lỗ dò bằng cơ da",12000000
"Phẫu thuật phế quản phổi, trung thất ở trẻ em dưới 5 tuổi",41142000
Cắt dây thần kinh giao cảm ngực,8889000
Cắt một xương sườn trong viêm xương,5401000
phẫu thuật làm xẹp thành ngực từ sườn 4 trở xuống,12216000
"Mở lồng ngực trong tràn khí màng phổi, khâu lỗ thủng",7511000
Khâu kín vết thương thủng ngực,6244000
Kéo liên tục một màng sườn hay màng ức sườn,5281000
Khâu cơ hoành bị rách hay thủng do chấn thương qua đường bụng,6038000
Phẫu thuật thoát vị cơ hoành có kèm trào ngược,10262000
Phẫu thuật sa trực tràng không cắt ruột,7720000
Khâu lại bụng thành bụng đơn thuần,8207000
Tạo hình cổ bàng quang,10285000
Phẫu thuật di chứng bại liệt chi trên,10449000
Cắt dị tật bẩm sinh về bàn và ngón tay,9807000
Phẫu thuật viêm tấy phần mềm ở cơ quan vận động,8235000
Phẫu thuật nội soi lồng ngực sinh thiết chẩn đoán,12494000
Gây mê theo yêu cầu phục vụ nội soi,526000
Tư vấn quản lý điều trị sinh học,255000
Tư vấn quản lý điều trị loãng xương,235000
Tư vấn quản lý và truyền thuốc Endoxan,235000
Nội soi bàng quang chẩn đoán,1456000
Phẫu thuật lao cột sống thắt lưng-cùng,8044000
"Đốt nhân, nang tuyến giáp bằng RFA",2023000
"Đốt nhân, nang tuyến giáp bằng laser",2023000
"Đốt nhân, nang tuyến giáp bằng vi sóng",2023000
PTNS cắt bán phần 2 thuỳ tuyến giáp trong bướu giáp đa nhân bằng dao siêu âm,9302000
PTNS cắt gần toàn bộ tuyến giáp trong Basedow bằng dao siêu âm,9302000
PTNS cắt toàn bộ tuyến giáp trong ung thư tuyến giáp bằng dao siêu âm,9302000
PTNS cắt tuyến ức trong quá sản hoặc u tuyến ức bằng dao siêu âm,8136000
Các tiểu phẫu ở người bệnh Đái tháo đường (kiểm soát đường huyết kém) (danh từ tiểu phẫu cần ghi rõ),428000
Đặt cathether theo dõi áp lực oxy não,1714000
Phẫu thuật chọc hút áp xe não có sử dụng hệ thống định vị,6539000
Phẫu thuật bóc áp xe não có sử dụng hệ thống định vị,7675000
Dẫn lưu não thất Dẫn lưu dịch não tủy thắt lưng,1151000
"Phẫu thuật chồng khớp sọ, hẹp hộp sọ (có sử dụng vật liệu nhân tạo)",8557000
Phẫu thuật thoát vị não và màng não không có mảnh ghép nhân tạo,7964000
