Ten dich vu,Gia (VND)
Gói kiểm tra sức khỏe tổng quát tiêu chuẩn (Standard),4800000
Gói kiểm tra sức khỏe tổng quát mở rộng (Extensive),7800000
Gói kiểm tra sức khỏe tổng quát đặc biệt (Executive),16700000
Gói kiểm tra sức khỏe cao cấp (Wellness) - Nam,35105000
Gói kiểm tra sức khỏe cao cấp (Wellness) - Nữ,38165000
Gói khám niệu (Dành cho nam),2150000
Gói khám phụ khoa (Nữ từ 21-29 tuổi),2400000
Gói khám phụ khoa (Nữ từ 30-65 tuổi),4300000
Gói khám phụ khoa và tầm soát ung thư vú,6900000
Gói tầm soát viêm gan 1,770000
Gói tầm soát viêm gan 2,1310000
Gói tầm soát viêm gan 3,1730000
Gói tư vấn dinh dưỡng,1000000
Gói chăm sóc răng,1160000
Gói kiểm tra sức khỏe hậu COVID-19 tiêu chuẩn,9800000
Gói kiểm tra tim mạch và hệ thống mạch máu toàn diện,11160000
