Ten dich vu,Gia (VND)
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính hàm mặt chùm tia hình nón hàm dưới (Cone-Beam CT) (Từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính hàm mặt chùm tia hình nón hàm trên (Cone-Beam CT) (Từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính hàm mặt chùm tia hình nón hàm trên hàm dưới (Cone-Beam CT) (Từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy có thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) có thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung-buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung-buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 1-32 dãy)[có thuốc]","663400"
"Chụp CLVT hàm-mặt có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT hàm-mặt không tiêm thuốc cản quang (từ 1-32 dãy)","550100"
"Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT hốc mắt (từ 1-32 dãy)","550100"
"Chụp CLVT mạch máu não (từ 1-32 dãy)","663400"
"Chụp CLVT sọ não có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT sọ não không tiêm thuốc cản quang (từ 1-32 dãy)","550100"
"Chụp CLVT tai-xương đá có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT tai-xương đá không tiêm thuốc (từ 1-32 dãy)","550100"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy)","1486800"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy có thuốc cản quang (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 64- 128 dãy)","1486800"
"Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 64- 128 dãy)","1486800"
"Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 64- 128 dãy)","1486800"
"Chụp cắt lớp vi tính đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính động mạch chủ ngực (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính động mạch chủ-chậu (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính động mạch phổi (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính động mạch vành, tim (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính gan có dựng hình đường mật (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính hệ tiết niệu có khảo sát mạch thận và/hoặc dựng hình đường bài xuất (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 64-128 dãy)","1732400"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy có thuốc cản quang (từ 64-128 dãy)","1486800"
"Chụp cắt lớp vi tính khớp thường quy có tiêm thuốc cản quang (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 64- 128 dãy)","1486800"
"Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 64- 128 dãy)","1486800"
"Chụp cắt lớp vi tính mạch máu chi dưới (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính mạch máu chi dưới (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính mạch máu chi trên (từ 64- 128 dãy)","1732400"
"Chụp cắt lớp vi tính phổi độ phân giải cao (từ 64- 128 dãy)","1486800"
