Ten dich vu,Gia (VND)
Gói khám sức khỏe cơ bản,1500000
Gói khám sức khỏe nâng cao,2500000
Gói khám sức khỏe chuyên sâu,4000000
Gói khám sức khỏe VIP,4000000
Gói toàn diện đặc biệt,13000000
Gói khám tiền hôn nhân (mỗi người),2000000
Gói Khám Cơ Bản Thường Quy Nam/Nữ,1653000
Gói Tầm Soát Chuyên Sâu,3344000
Gói Tầm Soát Ung Thư Nam,4180000
Gói Tầm Soát Cơ Bản Và Ung Thư Nữ,3817000
Gói Tầm Soát Chuyên Sâu và Ung Thư Nữ,5474000
Gói Vip Bạc Dành Cho Nam,11879000
Gói Vip Bạc Dành Cho Nữ,12941000
Gói Vip Vàng Dành Cho Nam,17563000
Gói Vip Vàng Dành Cho Nữ,17698000
Gói Vip Kim Cương Dành Cho Nam,18189000
Gói Vip Kim Cương Dành Cho Nữ,19313000
Gói Tầm Soát Ung Thư Dạ Dày,2430000
Gói Tầm Soát Ung Thư Tiêu Hóa,5893000
Gói Tầm Soát Ung Thư Phổi,1648000
Gói Kiểm Tra Sức Khỏe Dành Cho Phụ Nữ,2293000
Gói khám tổng quát nam cơ bản,1290000
Gói khám tổng quát nam nâng cao,2190000
Gói khám tổng quát nam chuyên sâu,6490000
Gói khám tổng quát nữ nâng cao,2090000
Gói khám tổng quát nữ chuyên sâu,3090000
