Ten dich vu,Gia (VND)
"Hội chẩn Bác sĩ, Thạc sĩ, Bác sĩ chuyên khoa I (có biên bản hội chẩn)","200000"
"Hội chẩn Giáo sư, Phó giáo sư, Tiến sĩ, Bác sĩ chuyên khoa II (có biên bản hội chẩn)","500000"
"Khám Bỏng","150000"
"Khám Chấn thương chỉnh hình [DV]","150000"
"Khám Chấn thương chỉnh hình [Khám theo yêu cầu tại khoa]","300000"
"Khám cấp giấy chứng thương, giám định y khoa (không kể xét nghiệm, x-quang)","160000"
"Khám Da liễu [DV]","150000"
"Khám Da liễu [Khám theo yêu cầu tại khoa]","300000"
"Khám Dinh Dưỡng [Khám theo yêu cầu tại khoa]","300000"
"Khám Dị ứng - Miễn dịch lâm sàng [DV]","150000"
"Khám Hồi sức cấp cứu và chống độc [Khám theo yêu cầu tại khoa]","300000"
"Khám Mắt","150000"
"Khám Mắt [Khám theo yêu cầu tại khoa]","300000"
"Khám Ngoại gan - mật - tuỵ [DV]","150000"
"Khám Ngoại gan - mật - tuỵ [Khám theo yêu cầu tại khoa]","300000"
"Khám Ngoại lồng ngực [DV]","150000"
"Khám Ngoại lồng ngực [Khám theo yêu cầu tại khoa]","300000"
"Khám Ngoại thần kinh [DV]","150000"
"Khám Ngoại thần kinh [Khám theo yêu cầu tại khoa]","300000"
"Khám Ngoại thận - tiết niệu (Khám Bác sĩ cao cấp)","300000"
"Khám Ngoại thận - tiết niệu [DV]","150000"
"Khám Ngoại thận - tiết niệu [Khám theo yêu cầu tại khoa]","300000"
"Khám Ngoại tiêu hóa [DV]","150000"
"Khám Ngoại tiêu hóa [Khám theo yêu cầu tại khoa]","300000"
"Khám Ngoại tổng hợp [DV]","150000"
"Khám Ngoại tổng hợp [Khám theo yêu cầu tại khoa]","300000"
"Khám Nội [Khám theo yêu cầu tại khoa]","300000"
"Khám Nội cơ xương khớp [DV]","150000"
"Khám Nội cơ xương khớp [Khám theo yêu cầu tại khoa]","300000"
"Khám Nội Hô hấp [DV]","150000"
"Khám Nội Hô hấp [Khám theo yêu cầu tại khoa]","300000"
"Khám Nội thận - tiết niệu [DV]","150000"
"Khám Nội thận - tiết niệu [Khám theo yêu cầu tại khoa]","300000"
"Khám Nội Tim mạch [DV]","150000"
"Khám Nội Tim mạch [khám theo yêu cầu tại khoa]","300000"
"Khám Nội tiêu hóa [DV]","150000"
"Khám Nội tiêu hóa [Khám theo yêu cầu tại khoa]","300000"
"Khám Nội tiết [DV]","150000"
"Khám Nội tiết [Khám theo yêu cầu tại khoa]","300000"
"Khám Nội tổng hợp [DV]","150000"
"Khám Phụ sản","150000"
"Khám Phục hồi chức năng","150000"
"Khám Răng Hàm Mặt","150000"
"Khám Răng Hàm Mặt [Khám theo yêu cầu tại khoa]","300000"
"Khám sức khỏe toàn diện cho người đi xuất khẩu lao động (không kể xét nghiệm, x-quang)","450000"
"Khám sức khỏe toàn diện lao động, lái xe, khám sức khỏe định kỳ (không kể xét nghiệm, x-quang)","160000"
"Khám Tai Mũi Họng [DV]","150000"
"Khám Tai mũi họng [Khám theo yêu cầu tại khoa]","300000"
"Khám theo yêu cầu chọn bác sĩ (Giáo sư - nhà B3)","500000"
"Khám theo yêu cầu chọn bác sĩ (Phó giáo sư - nhà B3)","400000"
"Khám Thần kinh [DV]","150000"
"Khám Thần kinh [Khám theo yêu cầu tại khoa]","300000"
"Khám Truyền nhiễm [DV]","150000"
"Khám Truyền nhiễm [Khám theo yêu cầu tại khoa]","300000"
"Khám Ung bướu [DV]","150000"
"Khám Ung bướu [Khám theo yêu cầu tại khoa]","300000"
"Khám Y học cổ truyền [Khám theo yêu cầu tại khoa]","300000"
"Chụp Xquang bể thận-niệu quản xuôi dòng","945000"
"Chụp Xquang ngực thẳng","120000"
"Chụp Xquang thực quản cổ nghiêng","400000"
"Siêu âm ổ bụng","160000"
"Siêu âm tuyến giáp","160000"
"Chụp Xquang ngực nghiêng hoặc chếch mỗi bên","120000"
"Chụp Xquang khớp khuỷu thẳng, nghiêng hoặc chếch","200000"
"Siêu âm tuyến vú hai bên","160000"
"Chụp Xquang cột sống cổ thẳng nghiêng","200000"
"Chụp Xquang cột sống cổ chếch hai bên","200000"
"Chụp X-quang cột sống cổ C1-C2 [số hóa 2 phim]","200000"
"Chụp Xquang cột sống cùng cụt thẳng nghiêng","200000"
"Chụp Xquang khớp khuỷu gập (Jones hoặc Coyle)","130000"
"Chụp Xquang xương bả vai thẳng nghiêng","200000"
"Chụp Xquang khớp vai thẳng","120000"
"Chụp Xquang khớp vai nghiêng hoặc chếch","120000"
"Chụp Xquang xương cánh tay thẳng nghiêng","200000"
"Chụp X-quang hốc mắt thẳng nghiêng [số hóa 2 phim]","200000"
"Siêu âm Doppler mạch máu","400000"
"Chụp Xquang xương chính mũi nghiêng hoặc tiếp tuyến","120000"
"Chụp Xquang mặt thẳng nghiêng","200000"
"Chụp Xquang mỏm trâm","130000"
"Chụp Xquang khớp thái dương hàm","130000"
"Chụp Xquang Stenvers","130000"
"Chụp Xquang Schuller","130000"
"Chụp Xquang Chausse III","130000"
"Chụp X-quang hố yên thẳng hoặc nghiêng [số hóa 1 phim]","120000"
"Chụp Xquang hàm chếch một bên","120000"
"Chụp Xquang Blondeau [Blondeau + Hirtz số hóa 2 phim]","200000"
