Ten dich vu,Gia (VND)
AFB trực tiếp nhuộm Ziehl-Neelsen," 74,200   "
Angiostrogylus cantonensis (Giun tròn chuột) Ab miễn dịch bán tự động," 321,000   "
Bẻ cuốn mũi," 165,500   "
Bó bột ống trong gãy xương bánh chè," 167,000   "
Bó thuốc," 57,600   "
Bóc giả mạc," 99,400   "
Bóc nang tuyến Bartholin," 1,369,400   "
Bóc nhân xơ vú," 1,079,400   "
Bóc sợi giác mạc ," 99,400   "
"Bóc, cắt u bã đậu, u mỡ dưới da đầu đường kính dưới 10 cm"," 771,000   "
Bóp bóng ambu qua mặt nạ," 248,500   "
"Bóp bóng ambu, thổi ngạt sơ sinh"," 248,500   "
Bơm hơi /khí tiền phòng," 830,200   "
"Bơm rửa bàng quang, bơm hóa chất"," 230,500   "
Bơm rửa lệ đạo," 41,200   "
Bơm thông lệ đạo [hai mắt]," 105,800   "
Bơm thuốc thanh quản," 22,000   "
Các phẫu thuật ruột thừa khác," 2,815,900   "
Cặn Addis," 44,800   "
Cắt bè củng giác mạc (Trabeculectomy)," 1,202,600   "
Cắt bè sử dụng thuốc chống chuyển hóa hoặc chất antiVEGF," 1,344,100   "
Cắt bỏ bao da qui đầu do dính hoặc dài," 1,509,500   "
Cắt bỏ chắp có bọc," 85,500   "
Cắt bỏ hoại tử tiếp tuyến bỏng sâu dưới 3% diện tích cơ thể ở trẻ em," 2,566,900   "
Cắt bỏ hoại tử tiếp tuyến bỏng sâu dưới 5% diện tích cơ thể ở người lớn," 2,566,900   "
Cắt bỏ nhãn cầu có hoặc không cắt thị thần kinh dài," 830,200   "
Cắt bỏ tinh hoàn," 2,490,900   "
Cắt bỏ tinh hoàn lạc chỗ," 2,490,900   "
Cắt bỏ túi lệ," 930,200   "
Cắt bỏ u mạc nối lớn," 5,141,100   "
"Cắt các loại u vùng da đầu, cổ có đường kính 5 đến 10 cm"," 1,208,800   "
"Cắt các loại u vùng da đầu, cổ có đường kính dưới 5 cm"," 771,000   "
Cắt các u lành tuyến giáp," 2,140,700   "
Cắt cụt cổ tử cung," 3,019,800   "
Cắt chỉ khâu da," 40,300   "
Cắt chỉ khâu da mi đơn giản," 40,300   "
Cắt chỉ khâu giác mạc," 40,300   "
Cắt chỉ khâu kết mạc," 40,300   "
Cắt chỉ khâu vòng cổ tử cung," 139,000   "
Cắt chỉ sau phẫu thuật," 40,300   "
Cắt chỉ sau phẫu thuật lác," 40,300   "
Cắt chỉ sau phẫu thuật sụp mi," 40,300   "
Cắt dạ dày hình chêm," 3,993,400   "
"Cắt dây chằng, gỡ dính ruột"," 2,705,700   "
"Cắt dương vật không vét hạch, cắt một nửa dương vật"," 2,396,200   "
"Cắt đại tràng phải hoặc đại tràng trái, đưa 2 đầu ruột ra ngoài"," 4,941,100   "
"Cắt đoạn đại tràng, đóng đầu dưới, đưa đầu trên ra ngoài ổ bụng kiểu Hartmann"," 4,941,100   "
"Cắt đoạn đại tràng, đưa 2 đầu đại tràng ra ngoài"," 4,941,100   "
Cắt đoạn xương bàn chân trên người bệnh đái tháo đường," 3,226,900   "
Cắt hẹp bao quy đầu," 1,509,500   "
Cắt hoại tử toàn lớp - khâu kín dưới 3% diện tích cơ thể ở người lớn," 3,570,900   "
Cắt lách bán phần," 4,943,100   "
Cắt lách do chấn thương," 4,943,100   "
Cắt lọc tổ chức hoại tử hoặc cắt lọc vết thương đơn giản," 194,700   "
"Cắt lọc, khâu vết thương rách da đầu"," 2,767,900   "
"Cắt lọc, lấy bỏ tổ chức hoại tử cho các nhiễm trùng bàn chân vết loét khu trú ở ngón chân trên người bệnh đái tháo đường"," 279,500   "
"Cắt lọc, lấy bỏ tổ chức hoại tử cho các nhiễm trùng bàn chân vết loét rộng < ¼ bàn chân trên người bệnh đái tháo đường"," 452,800   "
"Cắt lọc, lấy bỏ tổ chức hoại tử cho các nhiễm trùng bàn chân vết loét rộng < ½ bàn chân trên người bệnh đái tháo đường"," 719,800   "
"Cắt lọc, lấy bỏ tổ chức hoại tử cho các nhiễm trùng bàn chân vết loét rộng lan tỏa cả bàn chân trên người bệnh đái tháo đường"," 719,800   "
"Cắt lọc, lấy bỏ tổ chức hoại tử cho các nhiễm trùng phần mềm trên người bệnh đái tháo đường"," 279,500   "
Cắt lợi trùm răng khôn hàm dưới," 178,900   "
Cắt mạc nối lớn," 5,141,100   "
"Cắt màng xuất tiết diện đồng tử, cắt màng đồng tử"," 1,032,600   "
Cắt nang răng đường kính dưới 2 cm," 3,228,100   "
Cắt nang thừng tinh hai bên," 3,300,700   "
Cắt nang thừng tinh một bên," 2,140,700   "
Cắt nang/polyp rốn," 1,509,500   "
Cắt polyp cổ tử cung," 2,104,900   "
Cắt polyp mũi," 705,900   "
Cắt polyp ống tai [gây mê]," 2,122,100   "
Cắt polyp trực tràng," 1,108,300   "
Cắt phanh lưỡi [gây mê]," 771,900   "
Cắt ruột non hình chêm," 3,993,400   "
Cắt ruột thừa đơn thuần," 2,815,900   "
"Cắt ruột thừa, dẫn lưu ổ áp xe"," 2,815,900   "
"Cắt ruột thừa, lau rửa ổ bụng"," 2,815,900   "
Cắt sẹo khâu kín," 3,683,600   "
Cắt túi thừa đại tràng," 3,993,400   "
Cắt u bàng quang tái phát qua nội soi," 5,030,900   "
Cắt u bao gân," 2,140,700   "
Cắt u buồng trứng qua nội soi," 5,503,300   "
"Cắt u da đầu lành, đường kính dưới 5 cm"," 771,000   "
"Cắt u da mi có trượt lông mi, vạt da, hay ghép da"," 1,322,100   "
Cắt u da mi không ghép," 812,100   "
