Ten dich vu,Gia (VND)
"CÔNG KHÁM","45000"
"NGÀY GIƯỜNG",""
"Ngày điều trị Hồi sức tích cực (ICU)/ghép tạng/ghép tủy /ghép tế bào gốc","799600"
"Ngày giường bệnh Hồi sức cấp cứu","418500"
"Ngày giường bệnh Nội khoa:",""
"Loại 1: Các khoa: Truyền nhiễm, Hô hấp, Huyết học, Ung thư, Tim mạch, Tâm thần, Thần kinh, Lão, Nhi, Tiêu hoá, Thận học; Nội tiết; Dị ứng (đối với bệnh nhân dị ứng thuốc nặng: Stevens Jonhson/ Lyell)","257100"
"Loại 2: Các khoa: Cơ-Xương-Khớp, Da liễu, Dị ứng, Tai-Mũi-Họng, Mắt, Răng Hàm Mặt, Ngoại, Phụ – Sản không mổ; YHDT/ PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não.","222300"
"Loại 3: Các khoa: YHDT, Phục hồi chức năng","177300"
"Ngày giường bệnh ngoại khoa, bỏng;",""
"Loại 1 : Sau các phẫu thuật loại đặc biệt; Bỏng độ 3-4 trên 70% diện tích cơ thể","341800"
"Loại 2 : Sau các phẫu thuật loại 1; Bỏng độ 3-4 từ 25 -70% diện tích cơ thể","301600"
"Loại 3 : Sau các phẫu thuật loại 2; Bỏng độ 2 trên 30% diện tích cơ thể, Bỏng độ 3-4 dưới 25% diện tích cơ thể","269200"
"Loại 4 : Sau các phẫu thuật loại 3; Bỏng độ 1, độ 2 dưới 30% diện tích cơ thể","229200"
"Ngày giường điều trị ban ngày","53190"
"DỊCH VỤ KỸ THUẬT",""
"Ghi điện tim cấp cứu tại giường","39900"
"Đặt catheter tĩnh mạch ngoại biên","25100"
"Đặt đường truyền vào xương (qua đường xương)","885800"
"Siêu âm tim cấp cứu tại giường","252300"
"Sốc điện ngoài lồng ngực cấp cứu","532400"
"Hồi phục nhịp xoang cho người bệnh loạn nhịp bằng máy sốc điện","532400"
"Tạo nhịp tim cấp cứu tạm thời với điện cực ngoài lồng ngực","1042500"
"Đặt canuyn mũi hầu, miệng hầu","40300"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh không thở máy (một lần hút)","14100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh có thở máy (một lần hút)","14100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông kín (có thở máy) (một lần hút)","373600"
"Bóp bóng ambu qua mặt nạ","248500"
"Đặt nội khí quản","600500"
"Đặt mặt nạ thanh quản cấp cứu","885800"
"Mở khí quản cấp cứu","759800"
"Mở khí quản qua màng nhẫn giáp","759800"
"Phẫu thuật cắt bỏ u xơ vú","3135800"
"Nối gân gấp","3302900"
"Nối gân duỗi","3302900"
"Khâu nối thần kinh không sử dụng vi phẫu thuật [tính 1 gân]","3302900"
