Ten dich vu,Gia (VND)
"11.0097.2035 -- Tắm điều trị người bệnh bỏng","270100"
"11.0137.1146 -- Tắm điều trị người bệnh hồi sức, cấp cứu bỏng","1207500"
"11.0017.1103 -- Cắt bỏ hoại tử tiếp tuyến bỏng sâu trên 10% diện tích cơ thể ở người lớn","4251300"
"11.0056.1119_GT -- Ghép da đồng loại dưới 10% diện tích cơ thể","1311100"
"01.0157.0508 -- Cố định lồng ngực do chấn thương gãy xương sườn","58400"
"02.0341.0086 -- Chọc hút tế bào xương bằng kim nhỏ","126700"
"02.0351.0112 -- Hút dịch khớp háng","129600"
"02.0379.0170 -- Sinh thiết xương dưới hướng dẫn của siêu âm","879400"
"02.0382.0213 -- Tiêm khớp háng","104400"
"02.0412.0214 -- Tiêm khớp háng dưới hướng dẫn của siêu âm","347300"
"03.3826.0075 -- Thay băng, cắt chỉ vết mổ","40300"
"03.3827.0216 -- Khâu vết thương phần mềm dài dưới 10 cm [tổn thương nông]","194700"
"03.4246.0198 -- Tháo bột các loại","61400"
"07.0233.0355 -- Gọt chai chân (gọt nốt chai) trên người bệnh đái tháo đường","292300"
"10.0991.0523 -- Nắn, bó bột trật khớp háng bẩm sinh [bột liền]","749600"
