Ten dich vu,Gia (VND)
"Khám Da liễu","50600"
"Khám Mắt","50600"
"Khám Ngoại","50600"
"Khám Nhi","50600"
"Khám Nội","50600"
"Khám Nội Tiết","50600"
"Khám Phụ Sản","50600"
"Khám Phục hồi chức năng","50600"
"Khám Răng Hàm Mặt","50600"
"Khám sức khỏe toàn diện lao động, lái xe, khám sức khỏe định kỳ (không kể xét nghiệm, X-quang)","160000"
"Khám Tai Mũi Họng","50600"
"Khám YHCT","50600"
"Hội chẩn để xác định ca bệnh khó (chuyên gia/ca)","200000"
"Giường Nội khoa loại 1 - Khoa Nội tổng hợp","305500"
"Giường Hồi sức cấp cứu - Khoa Nội tim mạch","558600"
"Giường Nội khoa loại 1 - Khoa Nội tim mạch","305500"
"Giường Nội khoa loại 1 - Khoa Nội tiêu hóa","305500"
"Giường Nội khoa loại 1 - Khoa Nội tiết","305500"
"Giường Nội khoa loại 1 - Khoa Truyền nhiễm","305500"
"Giường Nội khoa loại 1 - Khoa Thần kinh","305500"
"Giường Hồi sức cấp cứu - Khoa Nhi","558600"
"Giường Nội khoa loại 1 - Khoa Nhi","305500"
"Giường Ngoại khoa loại 1 - Khoa Ngoại tổng hợp","400400"
"Giường Ngoại khoa loại 2 - Khoa Ngoại tổng hợp","364400"
"Giường Ngoại khoa loại 3 - Khoa Ngoại tổng hợp","320700"
"Giường Ngoại khoa loại 4 - Khoa Ngoại tổng hợp","286700"
"Giường Nội khoa loại 2 - Khoa Ngoại tổng hợp","273800"
"Giường Ngoại khoa loại 1 - Khoa Ngoại thần kinh","400400"
"Giường Ngoại khoa loại 2 - Khoa Ngoại thần kinh","364400"
"Giường Ngoại khoa loại 3 - Khoa Ngoại thần kinh","320700"
"Giường Ngoại khoa loại 4 - Khoa Ngoại thần kinh","286700"
"Giường Nội khoa loại 2 - Khoa Ngoại thần kinh","273800"
"Giường Ngoại khoa loại 1 - Khoa Ngoại thận - tiết niệu","400400"
"Giường Ngoại khoa loại 2 - Khoa Ngoại thận - tiết niệu","364400"
"Giường Ngoại khoa loại 3 - Khoa Ngoại thận - tiết niệu","320700"
"Giường Ngoại khoa loại 4 - Khoa Ngoại thận - tiết niệu","286700"
"Giường Nội khoa loại 2 - Khoa Ngoại thận - tiết niệu","273800"
"Giường Ngoại khoa loại 1 - Khoa Chấn thương chỉnh hình","400400"
"Giường Ngoại khoa loại 2 - Khoa Chấn thương chỉnh hình","364400"
"Giường Ngoại khoa loại 3 - Khoa Chấn thương chỉnh hình","320700"
"Giường Ngoại khoa loại 4 - Khoa Chấn thương chỉnh hình","286700"
"Giường Nội khoa loại 2 - Khoa Chấn thương chỉnh hình","273800"
"Giường Ngoại khoa loại 1 - Khoa Phụ - Sản","400400"
"Giường Ngoại khoa loại 2 - Khoa Phụ - Sản","364400"
"Giường Ngoại khoa loại 3 - Khoa Phụ - Sản","320700"
"Giường Ngoại khoa loại 4 - Khoa Phụ - Sản","286700"
"Giường Nội khoa loại 2 - Khoa Phụ - Sản","273800"
"Giường Ngoại khoa loại 1 - Khoa Tai - Mũi - Họng","400400"
