Ten dich vu,Gia (VND)
"[NQ118] Khoa Điều trị chăm sóc giảm nhẹ- Giường Ngoại khoa loại 3 (Phòng 2 giường, máy lạnh, tủ lạnh, ti vi,...)","1000000"
"[NQ118] Khoa Điều trị chăm sóc giảm nhẹ - Giường Ngoại khoa loại 1 (Phòng 2 giường, máy lạnh, ti vi, tủ lạnh, máy nước nóng, tủ sắt,...)","1000000"
"[NQ118] Khoa Điều trị chăm sóc giảm nhẹ - Giường Ngoại khoa loại 2 (Phòng 2 giường, tủ lạnh, ti vi, máy lạnh,...)","1000000"
"[NQ118] DV Tạo hình thẩm mỹ - Giường Ngoại khoa loại 1 (Phòng máy lạnh, tivi)","600000"
"[NQ118] DV Tạo hình thẩm mỹ - Giường Ngoại khoa loại 1 (Phòng quạt trần, tivi)","400000"
"[NQ118] DV Tạo hình thẩm mỹ - Giường Ngoại khoa loại 2 (Phòng máy lạnh, tivi)","600000"
"[NQ118] DV Tạo hình thẩm mỹ - Giường Ngoại khoa loại 2 (Phòng quạt trần, tivi)","400000"
"[NQ118] DV Tạo hình thẩm mỹ - Giường Ngoại khoa loại 3 (Phòng máy lạnh, tivi)","600000"
"[NQ118] DV Tạo hình thẩm mỹ - Giường Ngoại khoa loại 3 (Phòng quạt trần, tivi)","400000"
"[NQ118] DV Tạo hình thẩm mỹ - Giường Ngoại khoa loại 4 (Phòng máy lạnh, tivi)","600000"
"[NQ118] DV Tạo hình thẩm mỹ - Giường Ngoại khoa loại 4 (Phòng quạt trần, tivi)","400000"
"[NQ118] Khoa Hồi sức tích cực - Giường Nội khoa loại 2 (2 giường, lớn)","650000"
"[NQ118] Khoa Hồi sức tích cực - Giường Nội khoa loại 2 (2 giường, nhỏ)","650000"
"[NQ118] Khoa Hồi sức tích cực - Giường Nội khoa loại 2 (nhiều giường)","550000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 1","1000000"
"[NQ118] Khoa Điều trị chăm sóc giảm nhẹ - Giường Ngoại khoa loại 1 (Giường đa năng, ML, TV, TL, Máy tắm nóng)","1200000"
"[NQ118] Khoa Điều trị chăm sóc giảm nhẹ - Giường Ngoại khoa loại 1 (ML, TV, 1 giường)","1000000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 1 (ML, TV, 2 giường)","600000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 1 (ML, TV, nhiều giường)","600000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 1 (ML, TV, TL, 1 giường)","1000000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 1 (ML, TV, TL, 2 giường)","650000"
"[NQ118] Khoa Điều trị chăm sóc giảm nhẹ (Phòng 1 giường)","1400000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 1 (Quạt trần, 1 giường)","400000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 1 (Quạt trần, 2 giường)","400000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 1 (Quạt trần, TV, nhiều giường)","450000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (Giường đa năng, ML,TV,TL,Máy tắm nóng) (Phòng số 6)","1200000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (ML, TV, 2 giường)","600000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (ML, TV, nhiều giường)","600000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (ML, TV, TL, 1 giường)","1000000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (ML, TV, TL, 2 giường)","650000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (ML, TV, TL, Máy tắm nóng, 1 giường) (Phòng 3,5,8,9,10)","1200000"
"[NQ118] Khoa Điều trị chăm sóc giảm nhẹ (Phòng 1 giường)","1400000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (Quạt trần, 1 giường)","400000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (Quạt trần, 2 giường)","400000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 2 (Quạt trần, TV, nhiều giường)","450000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 3 (Giường đa năng, ML,TV, TL, Máy tắm nóng) (Phòng số 6)","1200000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 3 (ML, TV, 2 giường)","600000"
"[NQ118] Khoa Ngoại CH - Giường Ngoại khoa loại 3 (ML, TV, nhiều giường)","600000"
