Ten dich vu,Gia (VND)
"Khám Mắt","50600"
"Khám Ngoại","50600"
"Khám Nhi","50600"
"Khám Nội","50600"
"Khám Nội Tiết","50600"
"Khám Phụ sản","50600"
"Khám Răng hàm mặt","50600"
"Khám Tai mũi họng","50600"
"Khám YHCT","50600"
"Chụp cắt lớp vi tính bụng - tiểu khung thường quy (từ 1-32 dãy) [có thuốc cản quang]","663400"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 1- 32 dãy)","663400"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 1- 32 dãy)","550100"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp cắt lớp vi tính gan - mật, tụy, lách, dạ dày - tá tràng.v.v.) (từ 1-32 dãy) [không có thuốc cản quang]","550100"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung - buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 1-32 dãy) [không có thuốc cản quang]","550100"
"Chụp CLVT hàm-mặt không tiêm thuốc cản quang (từ 1-32 dãy)","550100"
"Chụp CLVT sọ não có tiêm thuốc cản quang (từ 1-32 dãy)","663400"
"Chụp CLVT sọ não không tiêm thuốc cản quang (từ 1-32 dãy)","550100"
"Ghi điện não thường quy","75200"
"Điện tim thường quy","39900"
"Đo chức năng hô hấp","144300"
"Chụp cộng hưởng từ động mạch chi dưới (1.5T)","1341500"
"Chụp cộng hưởng từ động mạch chi trên (1.5T)","1341500"
"Chụp cộng hưởng từ khớp (0.2-1.5T) [không có chất tương phản]","1341500"
"Chụp cộng hưởng từ lồng ngực (0.2-1.5T)","1341500"
"Chụp cộng hưởng từ não- mạch não không tiêm chất tương phản (0.2-1.5T)","1341500"
"Chụp cộng hưởng từ sọ não (0.2-1.5T)","1341500"
"Chụp cộng hưởng từ tầng bụng không tiêm chất tương phản (gồm: chụp cộng hưởng từ gan-mật, tụy, lách, thận, dạ dày-tá tràng...) (0.2-1.5T)","1341500"
