Ten dich vu,Gia (VND)
"Công Phẫu thuật gẫy trật đốt sống cổ, mỏm nha","1100000025000000"
"Công Phẫu thuật cắt u não không dùng hệ thống định vị","1100000025000000"
"Công Phẫu thuật lấy dị vật trong não/tuỷ sống","1100000025000000"
"Công Ghép khuyết xương sọ","1100000025000000"
"Công Dẫn lưu não thất","1100000025000000"
"Công Phẫu thuật dẫn lưu não thất - màng bụng","1100000025000000"
"Công Phẫu thuật áp xe não","1100000025000000"
"Công Phẫu thuật tràn dịch não, nang nước trong hộp sọ","1100000025000000"
"Công Phẫu thuật viêm xương sọ","1100000025000000"
"Công Lấy máu tụ trong sọ, ngoài màng cứng, dưới màng cứng, trong não","1100000025000000"
"Công Phẫu thuật thoát vị não và màng não","1100000025000000"
"Công Phẫu thuật tràn dịch não, nang nước trong hộp sọ","1100000025000000"
"Công Phẫu thuật viêm xương sọ","1100000025000000"
"Công Phẫu thuật vết thương sọ não hở","1100000025000000"
"Công Mổ lấy khối máu tụ nội sọ do chấn thương sọ não phức tạp","1100000025000000"
"Công Phẫu thuật mở nắp sọ giải áp, lấy máu tụ và chùng màng cứng","1100000025000000"
"Công Phẫu thuật giải phóng chèn ép tủy","1100000025000000"
"Công Phẫu thuật thoát vị đĩa đệm","1100000025000000"
"Công Phẫu thuật thoát vị màng não tuỷ vùng lưng/cùng cụt chưa vỡ","1100000025000000"
"Công Rạch da đầu rộng trong máu tụ dưới da đầu đơn giản","500000010000000"
"Công Rạch da đầu rộng trong máu tụ dưới da đầu phức tạp","800000015000000"
"Công Cắt lọc, khâu vết thương rách da đầu","500000025000000"
"Công Đặt dẫn lưu khí, dịch màng phổi","600000015000000"
"Công Dẫn lưu áp xe phổi","500000015000000"
"Công Cắt dây thần kinh giao cảm ngực","1100000025000000"
"Công Phẫu thuật cố định mảng sườn di động bằng nẹp","1100000025000000"
"Công Cố định gãy xương sườn bằng băng dính to bản","400000010000000"
"Công thám sát thần kinh","1000000025000000"
"Công Nâng ngực / lõm ngực","1100000025000000"
