Ten dich vu,Gia (VND)
Khám chuyên khoa (Y học cổ truyền / Nội / Ngoại...),150.000
Khám sức khỏe tổng quát,200.000
Khám chuyên gia / VIP (Theo yêu cầu),300.000 - 500.000
Châm cứu (Điện châm),70.000 - 100.000
Thủy châm (Chưa bao gồm thuốc),50.000 - 80.000
Xoa bóp bấm huyệt (Vùng),100.000 - 200.000
Kéo giãn cột sống (Máy),100.000
Siêu âm trị liệu,120.000
Sóng xung kích trị liệu,300.000 - 500.000
Tập vận động thụ động / chủ động,100.000 - 150.000
Cấy chỉ (Catgut embedding),300.000 - 600.000
Chụp X-quang (1 vị trí),100.000 - 200.000
Siêu âm tổng quát,150.000 - 300.000
Xét nghiệm máu cơ bản (Công thức máu),80.000 - 100.000
Sắc thuốc thang (Đóng túi),20.000 - 30.000
Gói khám sức khỏe tổng quát cơ bản (Nam),1.900.000 - 2.500.000
Gói khám sức khỏe tổng quát cơ bản (Nữ),1.900.000 - 2.700.000
Gói tầm soát đau thắt ngực / Tim mạch,2.300.000
Gói tầm soát xương khớp / loãng xương,1.500.000 - 2.000.000
