Ten dich vu,Gia (VND)
Siêu âm,
Siêu âm,"38,000"
"Siêu âm đầu dò âm đạo, trực tràng","176,000"
Siêu âm Doppler màu tim hoặc mạch máu,"211,000"
Chụp X-quang thường,
Chụp X-quang phim  ≤ 24x30 cm (1 tư thế),"47,000"
Chụp X-quang phim  ≤ 24x30 cm (2 tư thế),"53,000"
Chụp X-quang phim > 24x30 cm (1 tư thế),"53,000"
Chụp X-quang phim > 24x30 cm (2 tư thế),"66,000"
Chụp X-quang ổ răng hoặc cận chóp,"12,000"
CÁC THỦ THUẬT VÀ DỊCH VỤ NỘI SOI,
Cấp cứu ngừng tuần hoàn,"458,000"
Cắt chỉ,"30,000"
Đặt nội khí quản,"555,000"
Đặt sonde dạ dày ,"85,400"
Hút đờm,"10,000"
Mở khí quản,"704,000"
Mở thông bàng quang (gây tê tại chỗ),"360,000"
Nong niệu đạo và đặt thông đái,"228,000"
Rửa bàng quang,"185,000"
Rửa dạ dày,"106,000"
Tạo nhịp cấp cứu ngoài lồng ngực,"968,000"
Tháo bột khác,"49,500"
Thay băng cắt lọc vết thương mạn tính,"233,000"
Thay băng vết thương hoặc mổ chiều dài  ≤ 15cm,"55,000"
Thay băng vết thương chiều dài trên 15cm đến 30 cm,"79,600"
Thay băng vết  mổ chiều dài trên 15cm đến 30 cm,"79,600"
Thay băng vết thương hoặc mổ chiều dài từ trên 30 cm đến 50 cm,"109,000"
Thay băng vết thương hoặc mổ chiều dài < 30 cm nhiễm trùng,"129,000"
Thay băng vết thương hoặc mổ chiều dài từ 30 cm đến 50 cm nhiễm trùng,"174,000"
Thay băng vết thương hoặc mổ chiều dài > 50cm nhiễm trùng,"227,000"
Thay canuyn mở khí quản,"241,000"
Thay rửa hệ thống dẫn lưu màng phổi,"89,500"
Thay transfer set ở bệnh nhân lọc màng bụng liên tục ngoại trú,"499,000"
Thở máy (01 ngày điều trị),"533,000"
Thông đái ,"85,400"
Thụt tháo phân hoặc Đặt sonde hậu môn,"78,000"
Tiêm (bắp hoặc dưới da hoặctĩnh mạch),"10,000"
Truyền tĩnh mạch,"20,000"
Khâu vết thương phần mềm tổn thương nông chiều dài < l0 cm ,"172,000"
Khâu vết thương phần mềm tổn thương nông chiều dài ≥ l0 cm ,"224,000"
Khâu vết thương phần mềm tổn thương sâu chiều dài < l0 cm ,"244,000"
Khâu vết thương phần mềm tổn thương sâu chiều dài ≥ l0 cm ,"286,000"
Y HỌC DÂN TỘC - PHỤC HỒI CHỨC NĂNG,
Bàn kéo,"43,800"
Bó Farafin,"50,000"
Bó thuốc,"47,700"
Châm (có kim dài),"68,000"
Châm (kim ngắn),"61,000"
Điện châm (có kim dài),"70,000"
Điện châm (kim ngắn),"63,000"
Điện phân,"44,000"
Điện từ trường,"37,000"
Điện vi dòng giảm đau,"28,000"
Điện xung,"40,000"
Giác hơi,"31,800"
Giao thoa,"28,000"
Hồng ngoại,"33,000"
"Kéo nắn, kéo dãn cột sống, các khớp","41,500"
Siêu âm điều trị,"44,400"
Tập do cứng khớp,"41,500"
Tập do liệt ngoại biên,"24,300"
Tập do liệt thần kinh trung ương,"38,000"
Tập dưỡng sinh,"20,000"
Tập vận động toàn thân,"42,000"
Xoa bóp bấm huyệt ,"61,300"
NGOẠI KHOA,
Tiêu hóa,
Phẫu thuật cắt trĩ hoặc điều trị nứt kẽ hậu môn hoặc điều trị áp xe rò hậu môn ,"2,461,000"
Cắt phymosis,"224,000"
"Chích rạch nhọt, Apxe nhỏ dẫn lưu ","173,000"
"Xương, cột sống, hàm mặt",
Cố định gãy xương sườn,"46,500"
Nắn trật khớp khuỷu tay hoặc khớp xương đòn hoặc khớp hàm (bột liền),"386,000"
"Nắn, bó bột bàn chân hoặc bàn tay (bột liền)","225,000"
"Nắn, bó bột gãy xương cẳng tay (bột liền)","320,000"
"Nắn, bó bột xương cẳng chân (bột liền)","320,000"
"Nắn, bó bột xương cánh tay (bột liền)","320,000"
"Nắn, bó bột xương đùi hoặc chậu hoặc cột sống (bột liền)","611,000"
"Nắn, bó gẫy xương gót","135,000"
Phẫu thuật nối gân hoặc kéo dài gân (tính 1 gân ),"2,828,000"
Rút đinh hoặc tháo phương tiện kết hợp xương ,"1,681,000"
"Phẫu thuật cắt lọc nạo viêm phần mềm hoặc sửa mỏm cụt ngón tay, chân hoặc cắt cụt ngón tay, chân (tính 1 ngón)","2,752,000"
PHỤ SẢN,
Bóc nang tuyến Bartholin,"1,237,000"
Cắt chỉ khâu vòng cổ tử cung,"109,000"
Chích áp xe tầng sinh môn,"781,000"
Chích áp xe tuyến Bartholin,"783,000"
Đỡ đẻ ngôi ngược,"927,000"
Đỡ đẻ thường ngôi chỏm,"675,000"
Forceps hoặc Giác hút sản khoa,"877,000"
Hút buồng tử cung do rong kinh rong huyết,"191,000"
Hút thai dưới siêu âm,"430,000"
"Khâu phục hồi rách cổ tử cung, âm đạo","1,525,000"
Khâu vòng cổ tử cung,"536,000"
Làm thuốc vết khâu tầng sinh môn nhiễm khuẩn,"82,100"
"Lấy khối máu tụ âm đạo, tầng sinh môn","2,147,000"
Phá thai đến hết 7 tuần bằng phương pháp hút chân không,"358,000"
Phá thai đến hết 7 tuần bằng thuốc,"177,000"
Phá thai từ tuần thứ 7 đến hết 12 tuần bằng phương pháp hút chân không,"383,000"
Phẫu thuật lấy thai lần đầu,"2,223,000"
MẮT,
Bơm rửa lệ đạo ,"35,000"
Chích chắp hoặc lẹo ,"75,600"
Đo nhãn áp ,"23,700"
Đốt lông xiêu,"45,700"
"Lấy dị vật giác mạc nông, một mắt (gây tê)","75,300"
Lấy dị vật kết mạc nông một mắt ,"61,600"
Lấy sạn vôi kết mạc,"33,000"
Nặn tuyến bờ mi,"33,000"
Rửa cùng đồ ,"39,000"
Thông lệ đạo hai mắt ,"89,900"
Thông lệ đạo một mắt ,"57,200"
TAI MŨI HỌNG,
Chọc hút dịch vành tai,"47,900"
Hút xoang dưới áp lực,"52,900"
Khí dung,"17,600"
Lấy dị vật họng,"40,000"
Lấy dị vật tai ngoài đơn giản,"60,000"
Lấy dị vật trong mũi không gây mê ,"187,000"
Lấy nút biểu bì ống tai,"60,000"
Nội soi Tai Mũi Họng,"100,000"
"Rửa tai, rửa mũi, xông họng","24,600"
 RĂNG - HÀM - MẶT ,
"Các kỹ thuật về răng, miệng",
Cắt lợi trùm ,"151,000"
Điều trị răng,
Điều trị răng sữa viêm tuỷ có hồi phục ,"316,000"
Điều trị tuỷ răng sữa một chân,"261,000"
Điều trị tuỷ răng sữa nhiều chân,"369,000"
Lấy cao răng và đánh bóng hai hàm ,"124,000"
Lấy cao răng và đánh bóng một vùng hoặc một hàm ,"70,900"
Nhổ chân răng,"180,000"
Nhổ răng đơn giản,"98,600"
Nhổ răng khó,"194,000"
Nhổ răng sữa hoặcchân răng sữa ,"33,600"
Răng sâu ngà,"234,000"
Răng viêm tuỷ hồi phục,"248,000"
Trám bít hố rãnh,"199,000"
Điều trị đóng cuống răng,"447,000"
BỎNG,
Thay băng cắt lọc vết bỏng diện tích dưới 10% diện tích cơ thể,"235,000"
XÉT NGHIỆM,
Huyết học,
Định lượng yếu tố I (fibrinogen),"54,800"
"Định nhóm máu hệ ABO bằng giấy định nhóm máu để truyền máu toàn phần: khối hồng cầu, khối bạch cầu","22,400"
Định nhóm máu hệ ABO bằng phương pháp ống nghiệm; trên phiến đá hoặc trên giấy,"38,000"
"Định nhóm máu hệ ABO, Rh(D)  trên máy tự động","36,900"
"Định nhóm máu hệ Rh(D) bằng phương pháp ống nghiệm, phiến đá","30,200"
Thời gian máu chảy/(phương pháp Duke),"12,300"
Thời gian máu đông,"12,300"
"Thời gian Prothrombin (PT,TQ) bằng máy bán tự động, tự động","61,600"
Thời gian thrombin (TT),"39,200"
Thời gian thromboplastin hoạt hoá từng phần (APTT),"39,200"
Tìm ký sinh trùng sốt rét trong máu bằng phương pháp thủ công,"35,800"
Tổng phân tích tế bào máu ngoại vi bằng máy đếm tự động,"39,200"
Hóa sinh,
Máu,
CRP hs,"53,000"
"Điện giải đồ (Na, K, CL)","28,600"
Định lượng Bilirubin toàn phần hoặc trực tiếp; các enzym: phosphataze kiềm hoặc GOT hoặc GPT…,"21,200"
"Định lượng các chất Albumine; Creatine; Globuline; Glucose; Phospho, Protein toàn phần, Ure, Axit Uric, Amylase,…","21,200"
Định lượng Tryglyceride hoặc Phospholipid hoặc Lipid toàn phần hoặc Cholesterol toàn phần hoặc HDL-Cholesterol hoặc LDL - Cholesterol ,"26,500"
Đường máu mao mạch,"15,000"
HbA1C,"99,600"
Phản ứng CRP,"21,200"
Nước tiểu,
Amylase niệu,"37,100"
Tế bào cặn nước tiểu hoặc cặn Adis ,"42,400"
Tổng phân tích nước tiểu ,"27,000"
Vi sinh,
Anti HAV-IgM bằng miễn dịch bán tự động/tự động,"103,000"
Anti-HIV (nhanh),"51,700"
Anti-HCV (nhanh),"51,700"
Dengue NS1Ag/IgM-IgG test nhanh,"126,000"
HBeAg test nhanh,"57,500"
HBsAg (nhanh),"51,700"
Helicobacter pylori Ag test nhanh,"150,800"
HIV Ag/Ab test nhanh,"94,600"
"Hồng cầu, bạch cầu trong phân soi trực tiếp","36,800"
Ký sinh trùng/ Vi nấm soi tươi,"40,200"
Vi khuẩn nhuộm soi ,"65,500"
Vi khuẩn/ virus/ vi nấm/ ký sinh trùng test nhanh,"230,000"
THĂM DÒ CHỨC NĂNG,
Điện tâm đồ,"30,000"
,
" Cần Giờ, ngày 15 tháng 07 năm 2018",
   GIÁM ĐỐC,
,
,
    Đoàn Ngọc Huệ,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
