Ten dich vu,Gia (VND)
"KHÁM BỆNH BHYT","45000"
"KHÁM BỆNH TRONG GIỜ","45000"
"KHÁM BỆNH NGOÀI GIỜ","120000"
"KHÁM BỆNH NGOÀI GIỜ BHYT","75000"
"KHÁM BỆNH THEO YÊU CẦU","200000"
"KHÁM BỆNH THEO YÊU CẦU [Lần 2]","150000"
"KHÁM BỆNH DỊCH VỤ NHANH","150000"
"KHÁM BỆNH DỊCH VỤ NHANH (SẢN)","150000"
"KHÁM BỆNH DỊCH VỤ NHANH (MẮT)","150000"
"KHÁM BỆNH DỊCH VỤ NHANH (TMH)","150000"
"KHÁM BỆNH HẸN GIỜ QUA ĐIỆN THOẠI","100000"
"KHÁM BỆNH CHỌN BÁC SỸ","200000"
"KHÁM BỆNH DỊCH VỤ NHANH PHÁT SINH SAU","105000"
"KHÁM VÀ TƯ VẤN BS GIA ĐÌNH","120000"
"KHÁM TƯ VẤN DINH DƯỠNG","100000"
"HỘI CHẨN CA BỆNH KHÓ CHUYÊN NGÀNH NỘI","200000"
"HỘI CHẨN CA BỆNH KHÓ CHUYÊN NGÀNH NGOẠI","200000"
"HỘI CHẨN CA BỆNH KHÓ CHUYÊN NGÀNH NHI","200000"
"HỘI CHẨN CA BỆNH KHÓ CHUYÊN NGÀNH PHỤ SẢN","200000"
"HỘI CHẨN CA BỆNH KHÓ CHUYÊN NGÀNH NỘI","200000"
"HỘI CHẨN CA BỆNH KHÓ CHUYÊN NGÀNH MẮT","200000"
"HỘI CHẨN CA BỆNH KHÓ CHUYÊN NGÀNH RĂNG HÀM MẶT","200000"
"HỘI CHẨN CA BỆNH KHÓ CHUYÊN NGÀNH TAI MŨI HỌNG","200000"
"KHÁM SỨC KHỎE XIN VIỆC LÀM","175000"
"KHÁM SỨC KHỎE LÁI XE","345000"
"KHÁM SỨC KHỎE LÁI XE ĐỊNH KỲ","435000"
"KHÁM SỨC KHỎE CHỨNG THƯƠNG","175000"
"KHÁM SỨC KHỎE GIÁM ĐỊNH Y KHOA","175000"
"KHÁM SỨC KHỎE THẺ XANH","370000"
"KHÁM SỨC KHỎE THẺ XANH (không XQuang)","240000"
"KHÁM SỨC KHỎE THẺ HỒNG (trọn gói)","765000"
"KHÁM SỨC KHỎE THẺ HỒNG (Không có HIV)","665000"
"KHÁM SỨC KHỎE THẺ HỒNG (Không có HIV & XQuang)","535000"
"THÈ XANH","5000"
"THÈ HỒNG","10000"
"KHÁM SỨC KHỎE THEO TT14","625000"
"KHÁM SỨC KHỎE NHI","75000"
"GÓI KHÁM SỨC KHỎE CƠ BẢN","1085000"
"GÓI KHÁM SỨC KHỎE THƯỜNG","1835000"
"GÓI XÉT NGHIỆM DẤU ÁN UNG THƯ [NAM]","945000"
"GÓI XÉT NGHIỆM DẤU ÁN UNG THƯ [NỮ]","1155000"
"THÊM GIẤY KSK","10000"
"TƯ VẤN VÀ ĐO CẢM GIÁC BÀN CHÂN","50000"
"TÓM TẮT HỒ SƠ BỆNH ÁN [Đ/V bệnh nhân]","200000"
"TÓM TẮT HỒ SƠ BỆNH ÁN [Đ/V công ty bảo hiểm]","300000"
"PHÍ CẤP BẢN PHOTO HỒ SƠ BỆNH ÁN","200000"
"GLUCOSE 5% 500 ml","85000"
"GLUCOSE 10% 500 ml","85000"
"LACTAT RINGER 500ml","85000"
"NATRI CLORID [NaCl] 0.9% 500 ml","85000"
"AMINOPLASMA 250ml","150000"
"SODIUM BICARBONATE 4.2% 10,5G/250 ml","120000"
"AMINOSTERIL N HEPA 8% 8% 500 ml","150000"
"NATRI CLORID 0,9% VÀ GLUCOSE 5% 500 ml","25000"
"GLUCOSE 30% 250ml","25000"
"GLUCOSE 5% 100ml","25000"
"LACTATED RINGER'S AND DEXTROSE 500ml","25000"
"LIPIDEM 250ml","250000"
"NATRI CLORID 0,9% 100ml","25000"
"NATRI CLORID 3% 100ml","25000"
"NEPHROSTERIL 7% 250ml","110000"
"NUTRIFLEX LIPID PERI 1250ml","870000"
"NUTRIFLEX PERI 40g; 80G 1000ml","430000"
"VOLUVEN 6% 6% (Trọng lượng phân tử 130.000 Da)","130000"
"DÂY TRUYỀN DỊCH + KIM BƯỚM","20000"
"DÂY TRUYỀN DỊCH","15000"
"KIM LUỒN","20000"
"VAT","20000"
"SAT : - Thuốc Nội","30000"
"SAT : - Thuốc Ngoại","50000"
"Tư vấn tiêm chủng [Tư vấn và khám sàng lọc trước tiêm chủng]","50000"
"Tiền công truyền dịch (đối với truyền dịch mang vào từ ngoài)","100000"
