Ten dich vu,Gia (VND)
Gói khám sức khỏe tổng quát cơ bản,1.500.000
Gói khám sức khỏe tổng quát VIP (Nam),5.036.800
Gói khám sức khỏe tổng quát VIP (Nữ),5.263.800
Gói khám sức khỏe Cao cấp VIP 5 sao,25.000.000
Khám chuyên khoa (Sản Phụ khoa),120.000
Khám chuyên khoa (Tai Mũi Họng),120.000
Khám chuyên khoa (Tiêu hóa),120.000
Khám chuyên khoa (Tim mạch),90.000
Khám Cấp cứu,210.000
Khám hội chẩn ngoại viện (Mời BS CKII),500.000
Giường phòng VIP Lớn,2.970.000
Giường phòng VIP Tiêu chuẩn,1.560.000
Giường phòng 2 giường,810.000
Giường phòng 3-7 giường,410.000 - 610.000
Thai sản trọn gói 'Hồng Ân' - Sinh thường,14.940.000
Thai sản trọn gói 'Hồng Ân' - Sinh mổ,22.800.000
Thai sản trọn gói 'Hồng Phúc' - Sinh thường,17.040.000
Thai sản trọn gói 'Hồng Phúc' - Sinh mổ,23.160.000
Thai sản trọn gói 'Hồng Đức' - Sinh thường,27.900.000
Thai sản trọn gói 'Hồng Đức' - Sinh mổ,30.340.000
