Ten dich vu,Gia (VND)
"[Thu phí]Chụp OCT bán phần trước nhãn cầu [TT loại 1]","300000"
"[Thu phí]Chụp OCT bán phần sau nhãn cầu [TT loại 1]","300000"
"Siêu âm Doppler xuyên sọ [TCD Nội thần kinh]","271000"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung-buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 64-128 dãy) [(BHYT64 Slice, không thuốc) Đánh giá giai đoạn, tái phát, di căn ung thư]","1927000"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung-buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 64-128 dãy) [Không thuốc cản quang]","1927000"
"Chụp cắt lớp vi tính đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo (từ 64-128 dãy) [có tiêm thuốc cản quang]","2556000"
"Chụp cắt lớp vi tính động mạch chủ-chậu (từ 64-128 dãy) [có tiêm thuốc cản quang]","2556000"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 64- 128 dãy) [Chụp CLVT vùng cổ]","1927000"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 64- 128 dãy)","1927000"
"Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 64- 128 dãy) [Chụp CLVT Vùng Cổ, có thuốc]","2556000"
"Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 64- 128 dãy)","2556000"
"Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 64- 128 dãy)","1927000"
"Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 64- 128 dãy)","2556000"
"Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 64- 128 dãy)","1927000"
"Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 64- 128 dãy)","2556000"
"Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 64- 128 dãy)","1927000"
"Chụp cắt lớp vi tính khớp thường quy có tiêm thuốc cản quang (từ 64- 128 dãy)","2556000"
"Chụp cắt lớp vi tính xương chi có tiêm thuốc cản quang (từ 64- 128 dãy) [BHYT64 Slice, có thuốc, Đánh giá giai đoạn, tái phát, di căn ung thư]","2556000"
"Chụp CLVT tai-xương đá có tiêm thuốc cản quang (từ 64-128 dãy) [TT loại 2]","2556000"
"Chụp CLVT hốc mắt (từ 64-128 dãy) [có tiêm thuốc cản quang]","2556000"
"Chụp CLVT hốc mắt (từ 64-128 dãy) [không tiêm thuốc cản quang]","1927000"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 64- 128 dãy)","1927000"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 64- 128 dãy) [BHYT64 Slice, không thuốc (Đánh giá giai đoạn, tái phát, di căn ung thư)]","1927000"
"Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 64- 128 dãy)","2556000"
"Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 64- 128 dãy) [BHYT64 Slice, có thuốc (Đánh giá giai đoạn, tái phát, di căn ung thư)]","2556000"
"Chụp cắt lớp vi tính động mạch phổi (từ 64- 128 dãy) [có tiêm thuốc cản quang]","2556000"
"Chụp cắt lớp vi tính động mạch chủ ngực (từ 64- 128 dãy) [có tiêm thuốc cản quang]","2556000"
"Chụp cắt lớp vi tính động mạch vành, tim (từ 64- 128 dãy) [có tiêm thuốc cản quang]","2556000"
"Chụp cắt lớp vi tính tính điểm vôi hóa mạch vành (từ 64- 128 dãy)","1927000"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 64-128 dãy) [Có thuốc cản quang]","2556000"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 64-128 dãy) [(BHYT64 Slice, có thuốc) Đánh giá giai đoạn, tái phát, di căn ung thư]","2556000"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 64-128 dãy) [Không thuốc cản quang]","1927000"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 64-128 dãy) [(BHYT64 Slice, không thuốc) Đánh giá giai đoạn, tái phát, di căn ung thư]","1927000"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung-buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 64-128 dãy) [(BHYT64 Slice, có thuốc) Đánh giá giai đoạn, tái phát, di căn ung thư]","2556000"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung-buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 64-128 dãy) [Có thuốc cản quang]","2556000"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 64- 128 dãy) [Có thuốc cản quang]","2556000"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 64- 128 dãy) [Không thuốc cản quang]","1927000"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 64- 128 dãy) [(BHYT64 Slice,Chụp CLVT Vùng Cổ, không thuốc) Đánh giá giai đoạn, tái phát, di căn ung thư]","1927000"
"Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 64- 128 dãy) [(BHYT64 Slice, Chụp CLVT Vùng Cổ, có thuốc) Đánh giá giai đoạn, tái phát, di căn ung thư]","2556000"
"Chụp CLVT sọ não không tiêm thuốc cản quang (từ 64-128 dãy) [(BHYT64 Slice, không thuốc)Đánh giá giai đoạn, tái phát, di căn ung thư]","1927000"
