Ten dich vu,Gia (VND)
"Giá Khám bệnh","50600"
"Hội chẩn để xác định ca bệnh khó (chuyên gia/ca; Chi áp dụng đối với trường hợp mời chuyên gia đơn vị khác đến hội chẩn tại cơ sở khám, chữa bệnh).","200000"
"Khám cấp giấy chứng thương, giám định y khoa (không kể xét nghiệm, X-quang)","160000"
"Ngày giường bệnh Hồi sức cấp cứu","558600"
"Ngày giường bệnh Nội khoa Răng Hàm Mặt không mổ (Loại 2)","273800"
"Loại 1: Sau các phẫu thuật loại đặc biệt","400400"
"Loại 2: Sau các phẫu thuật loại 1","364400"
"Loại 3: Sau các phẫu thuật loại 2","320700"
"Loại 4: Sau các phẫu thuật loại 3;","286700"
"Ghi điện tim cấp cứu tại giường","39900"
"Đặt catheter tĩnh mạch ngoại biên","25100"
"Đặt catheter tĩnh mạch trung tâm 1 nòng","685500"
"Đặt catheter động mạch","1400500"
"Đặt máy khử rung tự động","1879900"
"Bóp bóng ambu qua mặt nạ","248500"
"Mở khí quản cấp cứu","759800"
"Nội soi phế quản ống mềm chẩn đoán cấp cứu ở người bệnh có thở máy","2310600"
"Xét nghiệm đường máu mao mạch tại giường (một lần)","16000"
"Cấy lại răng bị bật khỏi ổ răng","601000"
"Phẫu thuật điều trị khe hở vòm","2888600"
"Lấy cao răng [hai hàm]","159100"
"Lấy cao răng [một vùng hoặc một hàm]","92500"
"Chụp X-quang sọ thẳng/nghiêng [<= 24x30 cm, 1 tư thế]","58300"
"Chụp X-quang răng cận chóp (Periapical)","16100"
"Chụp CLVT hàm - mặt không tiêm thuốc cản quang (từ 1-32 dãy)","550100"
"Thời gian thrombin (TT: Thrombin Time) bằng máy tự động","43500"
"Định lượng CRP (C-Reactive Protein)","56100"
"Phục hồi thân răng có sử dụng chốt chân răng bằng các vật liệu khác nhau","550300"
"Phục hồi thân răng sữa bằng chụp thép làm sẵn","325500"
"Phẫu thuật lấy dị vật vùng hàm mặt","2293500"
"Phẫu thuật ghép xương tự thân tức thì sau cắt đoạn xương hàm trên","4357800"
