Ten dich vu,Gia (VND)
"Khám Bệnh Khu 371 ĐBP","150000"
"Khám Bệnh Khu KTC","200000"
"Khám Bệnh chọn Giáo Sư, Tiến sĩ, Chuyên khoa II","250000"
"Khám bệnh ngoài giờ","250000"
"Khám bệnh tại khoa điều trị","200000"
"Tư vấn chuyên sâu","300000"
"Hội chẩn ca bệnh khó chuyên ngành Ung bướu","200000"
"Hội chẩn ca bệnh khó chuyên ngành Nội tiết","200000"
"Hội chẩn ca bệnh khó chuyên ngành Nội","200000"
"Hội chẩn ca bệnh khó chuyên ngành Nhi","200000"
"Hội chẩn ca bệnh khó chuyên ngành Lao","200000"
"Hội chẩn ca bệnh khó chuyên ngành Ngoại","200000"
"Siêu âm (bụng, tuyến giáp, cổ, tuyến vú, phần mềm...)","196000"
"Siêu âm đầu dò âm đạo, trực tràng","295000"
"Siêu âm Doppler màu tim hoặc mạch máu","380000"
"Siêu âm Doppler u tuyến, hạch vùng cổ","295000"
"Siêu âm Doppler các khối u trong ổ bụng","295000"
"Siêu âm Doppler gan lách","295000"
"Siêu âm Doppler tử cung, buồng trứng qua đường bụng","295000"
"Siêu âm Doppler tuyến vú","295000"
"Siêu âm Doppler tinh hoàn, mào tinh hoàn hai bên","295000"
"Siêu âm đàn hồi mô giáp","380000"
"Siêu âm đàn hồi mô vú","380000"
"Siêu âm đàn hồi tinh hoàn","380000"
"Chụp Xquang thực quản cổ nghiêng","260000"
"Chụp Xquang thực quản dạ dày","229000"
"Chụp Xquang ruột non","229000"
"Chụp Xquang đại tràng","295000"
"Chụp Xquang đường mật qua Kehr","825000"
"Chụp Xquang mật tụy ngược dòng qua nội soi","825000"
"Chụp Xquang bể thận-niệu quản xuôi dòng","825000"
"Chụp Xquang niệu quản-bể thận ngược dòng","921000"
"Chụp bàng quang chẩn đoán trào ngược bàng quang niệu quản","487000"
"Chụp Xquang bàng quang trên xương mu","487000"
"Chụp Xquang đường dò","693000"
"Chụp X-quang số hóa 1 phim","151000"
"Chụp X-quang số hóa 2 phim","227000"
"Chụp X-quang số hóa 3 phim","232000"
"Chụp hệ tiết niệu có tiêm thuốc cản quang (UIV) số hóa","825000"
"Chụp niệu quản - bể thận ngược dòng (UPR) số hóa","825000"
"Chụp Xquang niệu đạo bàng quang ngược dòng số hóa","2075000"
"Chụp bàng quang niệu đạo khi tiểu (VCUG) số hóa","2075000"
"Chụp thực quản có uống thuốc cản quang số hóa","532000"
"Chụp dạ dày-tá tràng có uống thuốc cản quang số hóa","532000"
