Ten dich vu,Gia (VND)
"Khám Nội","45000"
"Khám Nhi","45000"
"Khám YHCT","45000"
"Khám Ngoại","45000"
"Khám Phụ sản","45000"
"Khám Mắt","45000"
"Khám Tai mũi họng","45000"
"Khám Răng hàm mặt","45000"
"Khám Da liễu","45000"
"Hội chẩn ca bệnh khó chuyên ngành Nội","200000"
"Hội chẩn ca bệnh khó chuyên ngành Nhi","200000"
"Hội chẩn ca bệnh khó chuyên ngành YHCT","200000"
"Hội chẩn ca bệnh khó chuyên ngành Ngoại","200000"
"Hội chẩn ca bệnh khó chuyên ngành Phụ sản","200000"
"Hội chẩn ca bệnh khó chuyên ngành Mắt","200000"
"Hội chẩn ca bệnh khó chuyên ngành Tai mũi họng","200000"
"Hội chẩn ca bệnh khó chuyên ngành Răng hàm mặt","200000"
"Giường Hồi sức cấp cứu Hạng II - Khoa Hồi sức cấp cứu","418500"
"Giường Nội khoa loại 1 Hạng II - Khoa nội tổng hợp","257100"
"Giường Nội khoa loại 2 Hạng II - Khoa nội tổng hợp","222300"
"Giường Nội khoa loại 3 Hạng II - Khoa nội tổng hợp","177300"
"Giường Nội khoa loại 1 Hạng II - Khoa Nội tim mạch","257100"
"Giường Nội khoa loại 1 Hạng II - Khoa Truyền nhiễm","257100"
"Giường Nội khoa loại 1 Hạng II - Khoa Thần kinh","257100"
"Giường Nội khoa loại 1 Hạng II - Khoa Nhi","257100"
"Giường Nội khoa loại 2 Hạng II - Khoa Nhi","222300"
"Giường Nội khoa loại 3 Hạng II - Khoa Nhi","177300"
"Giường Nội khoa loại 1 Hạng II - Khoa Ngoại tổng hợp","257100"
"Giường Nội khoa loại 2 Hạng II - Khoa Ngoại tổng hợp","222300"
"Giường Ngoại khoa loại 1 Hạng II - Khoa Ngoại tổng hợp","341800"
"Giường Ngoại khoa loại 2 Hạng II - Khoa Ngoại tổng hợp","301600"
"Giường Ngoại khoa loại 3 Hạng II - Khoa Ngoại tổng hợp","269200"
"Giường Ngoại khoa loại 4 Hạng II - Khoa Ngoại tổng hợp","229200"
"Giường Nội khoa loại 2 Hạng II - Khoa Chấn thương chỉnh hình","222300"
"Giường Hồi sức tích cực Hạng II - Khoa Hồi sức tích cực","799600"
"Ghi điện tim cấp cứu tại giường","39900"
"Thông bàng quang","101800"
"Lọc máu hấp phụ phân tử tái tuần hoàn (gan nhân tạo - MARS)","2353500"
"Khai thông động mạch phổi bằng sử dụng thuốc tiêu sợi huyết trong điều trị tắc mạch phổi cấp","578500"
"Siêu âm can thiệp - chọc dịch ổ bụng xét nghiệm","195900"
"Phát hiện chất độc bằng sắc ký khí","1381900"
"Phẫu thuật nội soi chỉnh hình vách ngăn mũi","3526900"
"Siêu âm tim cấp cứu tại giường","252300"
