Ten dich vu,Gia (VND)
"KHÁM DA LIỄU (BHYT)","50600"
"AFB trực tiếp nhuộm Ziehl-Neelsen","74200"
"Định lượng Bilirubin toàn phần [Máu]","22400"
"Định lượng Bilirubin trực tiếp [Máu]","22400"
"CHLAMYDIA TEST NHANH","78300"
"Định lượng Cholesterol toàn phần (máu)","28000"
"Tổng phân tích tế bào máu ngoại vi (bằng máy đếm tổng trở)","43500"
"Điện giải đồ (Na, K, Cl) [Máu]","30200"
"Định nhóm máu hệ ABO (Kỹ thuật phiến đá)","42100"
"Định nhóm máu hệ Rh(D) (Kỹ thuật phiến đá)","33500"
"Định lượng Albumin [Máu]","22400"
"Định lượng Creatinin (máu)","22400"
"Định lượng Glucose [Máu]","21800"
"Định lượng Protein toàn phần [Máu]","22400"
"Định lượng Urê máu [Máu]","22400"
"Định lượng Acid Uric [Máu]","22400"
"Định nhóm máu tại giường","42100"
"Kháng thể kháng dsDNA (anti-dsDNA) bằng kỹ thuật ELISA","272900"
"Kháng thể kháng SS-A (kháng La) (anti SS-A) bằng kỹ thuật ELISA","454900"
"Kháng thể kháng SS-B (kháng Ro) (anti SS-B) bằng kỹ thuật ELISA","454900"
"Định lượng IgE đặc hiệu đối với dị nguyên hô hấp (đối với 1 dị nguyên)","589200"
"Định lượng IgE đặc hiệu đối với dị nguyên thức ăn (đối với 1 dị nguyên)","589200"
"Định lượng Pro-calcitonin [Máu]","414700"
"Xét nghiệm đường máu mao mạch tại giường (một lần)(Đường máu mao mạch)","16000"
"Đường máu mao mạch","16000"
"Fasciola (Sán lá gan lớn) Ab miễn dịch tự động","194700"
"Gnathostoma (Giun đầu gai) Ab miễn dịch tự động","321000"
"HBsAb định lượng","126400"
"HBsAg miễn dịch tự động","81700"
"Định lượng HDL-C (High density lipoprotein Cholesterol) [Máu]","28000"
"Máu lắng (bằng máy tự động)","37300"
"Mycobacterium leprae nhuộm soi","74200"
"Mycobacterium leprae mảnh sinh thiết","74200"
"Neisseria gonorrhoeae nhuộm soi","74200"
"Neisseria gonorrhoeae Real-time PCR","771700"
"Neisseria gonorrhoeae nuôi cấy, định danh và kháng thuốc","325200"
"Nhuộm xanh alcian","515800"
"Nhuộm Grocott","434200"
"Vi khuẩn nuôi cấy và định danh phương pháp thông thường","261000"
"Tổng phân tích nước tiểu (Bằng máy tự động)","28600"
"Phthirus pubis (Rận mu) soi tươi","45500"
"TREPONEMA PALLIDUM RPR ĐỊNH TÍNH VÀ ĐỊNH LƯỢNG","95100"
"Sarcoptes scabies hominis (Ghẻ) soi tươi","45500"
"Đo hoạt độ AST (GOT) [Máu]","22400"
"Đo hoạt độ ALT (GPT) [Máu]","22400"
"Vi khuẩn nhuộm soi","74200"
"Strongyloides stercoralis (Giun lươn) Ab miễn dịch tự động","321000"
"Thời gian máu chảy phương pháp Duke","13600"
"Thời gian prothrombin (PT: Prothrombin Time), (Các tên khác: TQ; Tỷ lệ Prothrombin) bằng máy bán tự động","68400"
"Thời gian thromboplastin một phần hoạt hóa (APTT: Activated Partial Thromboplastin Time) (Tên khác: TCK) bằng máy bán tự động.","43500"
"Thời gian thrombin (TT: Thrombin Time) bằng máy bán tự động","43500"
"Tìm tế bào Hargraves (37.1E01.1364)","66400"
"Tìm ký sinh trùng sốt rét trong máu (bằng phương pháp thủ công)","39700"
"Toxocara (Giun đũa chó, mèo) Ab miễn dịch tự động","321000"
"TREPONEMA PALLIDUM TPHA ĐỊNH TÍNH VÀ ĐỊNH LƯỢNG","58600"
"Trichomonas vaginalis soi tươi","45500"
"Định lượng Triglycerid (máu) [Máu]","28000"
"Vi khuẩn kháng thuốc định tính","213800"
"Vi khuẩn kháng thuốc định lượng (MIC) (cho 1 loại kháng sinh)","201800"
"Vi nấm soi tươi","45500"
"Vi nấm nuôi cấy và định danh phương pháp thông thường","261000"
"Nhuộm hai màu Hematoxyline- Eosin","388800"
"Nhuộm Periodic Acide Schiff (PAS)","99500"
"Nhuộm phiến đồ tế bào theo Papanicolaou","417200"
"Xét nghiệm sinh thiết tức thì bằng cắt lạnh","633700"
"Xét nghiệm mô bệnh học thường quy cố định, chuyển, đúc, cắt, nhuộm…các bệnh phẩm sinh thiết","388800"
"Nhuộm HE trên phiến đồ tế bào học","213800"
"Bóp bóng Ambu qua mặt nạ","248500"
"Điều trị sùi mào gà bằng Laser CO2 (mỗi lần 5 nốt)","889700"
"Cắt các loại u vùng mặt có đường kính dưới 5cm","729000"
"Cắt các loại u vùng mặt có đường kính 5 đến 10 cm","1156000"
"Chăm sóc bệnh nhân dị ứng thuốc nặng(Ghi chú : Áp dụng với người bệnh hội chứng Lyell, Steven Johnson).","181000"
"Chích áp xe nhỏ vùng đầu cổ","218500"
"Đắp mặt nạ điều trị một số bệnh da","231700"
"Đặt sonde dạ dày","101800"
"Điều trị hạt cơm bằng Laser CO2 (mụn cóc phẳng 1 nốt)","399000"
"Điều trị u mềm treo bằng Laser CO2 (Skintags 1 nốt)","399000"
"Điều trị sẩn cục bằng Laser CO2 (< 10mm)","399000"
"Điều trị hạt cơm bằng đốt điện (mụn cóc phẳng 1 nốt)","399000"
