Ten dich vu,Gia (VND)
"Khám Nội","39800"
"Khám Nhi","39800"
"Khám Lao","39800"
"Khám Da liễu","39800"
"Khám tâm thần","39800"
"Khám YHCT","39800"
"Khám Nội","39800"
"Khám Ngoại","39800"
"Khám Phụ sản","39800"
"Khám Mắt","39800"
"Khám Tai mũi họng","39800"
"Khám Răng hàm mặt","39800"
"Khám Phục hồi chức năng","39800"
"Khám sức khỏe toàn diện lao động, KSK định kỳ (không kể xét nghiệm, xquang)","90000"
"Khám sức khỏe lái xe (không kể xét nghiệm, xquang)","90000"
"Khám sức khoẻ trẻ em Cấp thêm giấy CN KSK 1 tờ","50000"
"Lấy dị vật tai","70300"
"Chọc hút dịch vành tai","64300"
"Trích nhọt ống tai ngoài","218500"
"Làm thuốc tai","22000"
"Lấy nút biểu bì ống tai ngoài","70300"
"Lấy dị vật họng miệng","43100"
"Khí dung mũi họng","27500"
"Trích áp xe nhỏ vùng đầu cổ","218500"
"Phẫu thuật cắt u bã đậu vùng tai, u bã đậu dái tai","1385400"
"Cầm máu mũi bằng Merocel (2 bên)","1385400"
"Nội soi tai","286500"
"Nội soi mũi","286500"
"Nội soi họng","286500"
"Khí dung mũi họng","27500"
"Cấp cứu ngừng tuần hoàn hô hấp cơ bản","532500"
"Khí dung thuốc giãn phế quản","27500"
"Hút đờm hầu họng","14100"
"Hút ổ viêm/áp xe phần mềm","126700"
"Ghi điện tim cấp cứu tại giường","39900"
"Thông tiểu","101800"
"Khâu da mi","1595200"
"Xử lý vết thương phần mềm, tổn thương nông vùng mặt","1043500"
"Trích chắp, lẹo, trích áp xe mi, kết mạc","85500"
"Rạch áp xe mi","218500"
"Cắt chỉ khâu da","40300"
"Điều trị viêm loét niêm mạc miệng trẻ em","36500"
"Thông vòi nhĩ","98300"
"Tiêm trong da","15100"
"Tiêm dưới da","15100"
"Tiêm bắp thịt","15100"
"Tiêm tĩnh mạch","25100"
"Truyền tĩnh mạch","218500"
"Trích áp xe phần mềm lớn","269500"
"Khâu vết thương phần mềm dài trên 10 cm","354200"
"Khâu vết thương phần mềm dài dưới 10 cm","194700"
"Thay băng, cắt chỉ vết mổ","40300"
"Khâu vết thương phần mềm dài dưới 10 cm","289500"
"Khâu vết thương phần mềm dài dưới 10 cm","434600"
"Nắn, bó bột gãy xương đòn","64300"
"Thay băng, cắt chỉ","89500"
"Thay băng, cắt chỉ","121400"
"Thay băng, cắt chỉ","148600"
"Thay băng, cắt chỉ","193600"
"Thay băng, cắt chỉ","275600"
"Thay băng, cắt chỉ","64300"
"Thay băng trên người bệnh đái tháo đường","89500"
"Thay băng trên người bệnh đái tháo đường","121400"
"Thay băng trên người bệnh đái tháo đường","148600"
"Thay băng trên người bệnh đái tháo đường","193600"
"Thay băng trên người bệnh đái tháo đường","275600"
"Thay băng trên người bệnh đái tháo đường","279500"
"Cắt lọc, lấy bỏ tổ chức hoại tử cho các nhiễm trùng bàn chân vết loét khu trú ở ngón chân trên người bệnh đái tháo đường","279500"
"Trích rạch, dẫn lưu ổ áp xe trên người bệnh đái tháo đường","218500"
"Khâu vết thương đơn giản vùng đầu, mặt, cổ","194700"
"Khâu vết thương đơn giản vùng đầu, mặt, cổ","269500"
"Khâu vết thương đơn giản vùng đầu, mặt, cổ","289500"
"Khâu vết thương đơn giản vùng đầu, mặt, cổ","354200"
"Cắt chỉ sau phẫu thuật","40300"
"Thay băng vết mổ","64300"
"Thay băng vết mổ","64300"
"Thay băng vết mổ","121400"
"Thay băng vết mổ","193600"
"Thay băng vết mổ","275600"
"Thay băng vết mổ","89500"
"Xét nghiệm đường máu mao mạch tại giường (một lần)","16000"
"Cố định lồng ngực do chấn thương gãy xương sườn","58400"
"Cắt u da đầu lành, đường kính dưới 5 cm","771000"
