Ten dich vu,Gia (VND)
"Giá Khám bệnh","50600"
"Hội chẩn để xác định ca bệnh khó (chuyên gia/ca; Chỉ áp dụng đối với trường hợp mời chuyên gia đơn vị khác đến hội chẩn tại cơ sở khám, chữa bệnh).","200000"
"Ngày điều trị Hồi sức tích cực (ICU)/ghép tạng/ghép tủy /ghép tế bào gốc","928100"
"Ngày giường bệnh Hồi sức cấp cứu","558600"
"Ngày giường bệnh Nội khoa: Loại 1: Các khoa: Truyền nhiễm, Hô hấp, Huyết học, Ung thư, Tim mạch, Tâm thần, Thần kinh, Nhi, Tiêu hoá, Thận học; Nội tiết; Dị ứng (đối với bệnh nhân dị ứng thuốc nặng: Stevens Jonhson/ Lyell)","327100"
"Ngày giường bệnh Nội khoa: Loại 2: Các Khoa: Cơ-Xương-Khớp, Da liễu, Dị ứng, Tai-Mũi-Họng, Mắt, Răng Hàm Mặt, Ngoại, Phụ -Sản không mổ; YHDT/ PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não.","295200"
"Ngày giường bệnh Nội khoa: Loại 3: Các khoa: YHDT, Phục hồi chức năng","251100"
"Ngày giường bệnh ngoại khoa, bỏng: Loại 1 : Sau các phẫu thuật loại đặc biệt; Bỏng độ 3-4 trên 70% diện tích cơ thể","440400"
"Ngày giường bệnh ngoại khoa, bỏng: Loại 2 : Sau các phẫu thuật loại 1; Bỏng độ 3-4 từ 25 -70% diện tích cơ thể","394800"
"Ngày giường bệnh ngoại khoa, bỏng: Loại 3 : Sau các phẫu thuật loại 2; Bỏng độ 2 trên 30% diện tích cơ thể, Bỏng độ 3-4 dưới 25% diện tích cơ thể","345800"
"Ngày giường bệnh ngoại khoa, bỏng: Loại 4 : Sau các phẫu thuật loại 3; Bỏng độ 1, độ 2 dưới 30% diện tích cơ thể","310300"
"Ngày giường điều trị ban ngày","03"
"Siêu âm cấp cứu tại giường bệnh","58600"
"Siêu âm dẫn đường đặt catheter động mạch cấp cứu","58600"
"Siêu âm dẫn đường đặt catheter tĩnh mạch cấp cứu","58600"
"Siêu âm màng phổi cấp cứu","58600"
"Siêu âm ổ bụng tại giường cấp cứu","58600"
"Siêu âm khớp (một vị trí)","58600"
"Siêu âm ổ bụng","58600"
"Siêu âm phần mềm (một vị trí)","58600"
"Siêu âm các khối u phổi ngoại vi","58600"
"Siêu âm các tuyến nước bọt","58600"
"Siêu âm cơ phần mềm vùng cổ mặt","58600"
"Siêu âm dương vật","58600"
"Siêu âm hạch vùng cổ","58600"
"Siêu âm hệ tiết niệu (thận, tuyến thượng thận, bàng quang, tiền liệt tuyến)","58600"
"Siêu âm hốc mắt","58600"
"Siêu âm khớp (gối, háng, khuỷu, cổ tay....)","58600"
"Siêu âm màng phổi","58600"
"Siêu âm nhãn cầu","58600"
"Siêu âm ổ bụng (gan mật, tụy, lách, thận, bàng quang)","58600"
"Siêu âm ống tiêu hóa (dạ dày, ruột non, đại tràng)","58600"
"Siêu âm phần mềm (da, tổ chức dưới da, cơ....)","58600"
"Siêu âm thai (thai, nhau thai, nước ối)","58600"
"Siêu âm thai nhi trong 3 tháng cuối","58600"
"Siêu âm thai nhi trong 3 tháng đầu","58600"
"Siêu âm thai nhi trong 3 tháng giữa","58600"
"Siêu âm thành ngực (cơ, phần mềm thành ngực)","58600"
"Siêu âm tinh hoàn hai bên","58600"
"Siêu âm tử cung buồng trứng qua đường bụng","58600"
"Siêu âm tử cung phần phụ","58600"
"Siêu âm tuyến giáp","58600"
"Siêu âm tuyến vú hai bên","58600"
"Siêu âm 3D/4D trực tràng","195600"
"Siêu âm tiền liệt tuyến qua trực tràng","195600"
"Siêu âm tử cung buồng trứng qua đường âm đạo","195600"
"Siêu âm doppler mạch cấp cứu tại giường","252300"
"Siêu âm tìm cấp cứu tại giường","252300"
"Siêu âm doppler mạch máu","252300"
"Siêu âm doppler mạch máu hệ tĩnh mạch cửa hoặc mạch máu ổ bụng","252300"
"Siêu âm doppler mạch máu khối u gan","252300"
"Siêu âm doppler tim","252300"
"Siêu âm tim cấp cứu tại giường","252300"
"doppler động mạch cảnh, doppler xuyên sọ","252300"
"Siêu âm cầu nối động mạch tĩnh mạch","252300"
