Ten dich vu,Gia (VND)
"Khám Mắt (Sáng)","190000"
"Khám Răng hàm mặt (Sáng)","190000"
"Khám Tim mạch (Sáng)","190000"
"Khám thai (Sáng)","250000"
"Khám Sản phụ khoa (Sáng)","250000"
"Khám vú (Sáng)","250000"
"Khám đánh giá chức năng sàn chậu (Sáng)","250000"
"Khám sơ sinh (Sáng)","190000"
"Khám nhi (Sáng)","250000"
"Khám Chấn thương chỉnh hình (Sáng)","190000"
"Khám Nội cơ xương khớp (Sáng)","190000"
"Khám Y học thể thao (Sáng)","190000"
"Khám Phục hồi chức năng (Sáng)","190000"
"Khám Nội tiêu hóa (Sáng)","190000"
"Khám Ngoại tổng quát (Sáng)","190000"
"Khám Nội thần kinh (Sáng)","190000"
"Khám Tai mũi họng (Sáng)","190000"
"Khám Ngoại niệu (Sáng)","190000"
"Khám Nam học (Sáng)","190000"
"Khám sàn chậu (chỉ định thêm) (Sáng)","250000"
"Khám Nội tổng quát (Sáng)","190000"
"Khám Nội tiết (Sáng)","190000"
"Khám da liễu (Sáng)","190000"
"Khám Mắt (Chiều)","160000"
"Khám Răng hàm mặt (Chiều)","160000"
"Khám Tim mạch (Chiều)","160000"
"Khám thai (Chiều)","200000"
"Khám Sản phụ khoa (Chiều)","200000"
"Khám vú (Chiều)","200000"
"Khám đánh giá chức năng sàn chậu (Chiều)","200000"
"Khám sơ sinh (Chiều)","160000"
"Khám nhi (Chiều)","200000"
"Khám Chấn thương chỉnh hình (Chiều)","160000"
"Khám Nội cơ xương khớp (Chiều)","160000"
"Khám Y học thể thao (Chiều)","160000"
"Khám Phục hồi chức năng (Chiều)","160000"
"Khám Nội tiêu hóa (Chiều)","160000"
"Khám Ngoại tổng quát (Chiều)","160000"
"Khám Nội thần kinh (Chiều)","160000"
"Khám Tai mũi họng (Chiều)","160000"
"Khám Ngoại niệu (Chiều)","160000"
"Khám Nam học (Chiều)","160000"
"Khám sàn chậu (chỉ định thêm) (Chiều)","200000"
"Khám Nội tổng quát (Chiều)","160000"
"Khám Nội tiết (Chiều)","160000"
"Khám da liễu (Chiều)","160000"
"Khám mắt sơ sinh non tháng để tầm soát bệnh lý võng mạc","1500000"
"Nội trú: BS sơ sinh đón bé ở phòng sinh/phòng mỗ","190000"
"Khám chuyên gia mắt sơ sinh","1500000"
"Khám cấp cứu đa khoa","400000"
"Phụ thu phí cấp cứu","240000"
"Khám sơ sinh (cấp cứu)","400000"
"Khám cấp cứu tại phòng khám Nhi (Khám Nhi)","300000"
"Phụ phí khám cấp cứu tại phòng khám Nhi","140000"
"Phụ phí khám cấp cứu ngày Lễ/Tết","800000"
"Phụ phí khám cấp cứu ngày chủ nhật","550000"
"Khám Cấp cứu (Khám Nội)","400000"
"Khám Cấp cứu (Khám Ngoại)","400000"
"Khám Cấp cứu (Khám Phụ Sản)","400000"
"Khám Cấp cứu (Khám Nhi)","400000"
"Khám cấp cứu ngày chủ nhật (Khám Phụ Sản)","800000"
"Khám cấp cứu ngày chủ nhật (Khám Nội)","800000"
"Khám cấp cứu ngày chủ nhật (Khám Ngoại)","800000"
"Khám cấp cứu ngày chủ nhật (Khám Nhi)","800000"
"Khám cấp cứu ngày Lễ, Tết (Khám Nội)","1200000"
"Khám cấp cứu ngày Lễ, Tết (Khám Ngoại)","1200000"
"Khám cấp cứu ngày Lễ, Tết (Khám Phụ Sản)","1200000"
"Khám cấp cứu ngày Lễ, Tết (Khám Nhi)","1200000"
"Khám cấp cứu - cách ly (Khám Nội)","1200000"
"Khám cấp cứu - cách ly (Khám Ngoại)","1200000"
"Khám cấp cứu - cách ly (Khám Phụ Sản)","1200000"
"Khám cấp cứu - cách ly (Khám Nhi)","1200000"
"Khám cấp cứu - cách ly- ngày chủ nhật (Khám Nội)","1700000"
"Khám cấp cứu - cách ly- ngày chủ nhật (Khám Ngoại)","1700000"
"Khám cấp cứu - cách ly- ngày chủ nhật (Khám Phụ Sản)","1700000"
"Khám cấp cứu - cách ly- ngày chủ nhật (Khám Nhi)","1700000"
"Khám cấp cứu - cách ly- ngày Lễ, Tết (Khám Nội)","2200000"
"Khám cấp cứu - cách ly- ngày Lễ, Tết (Khám Ngoại)","2200000"
"Khám cấp cứu - cách ly- ngày Lễ, Tết (Khám Phụ Sản)","2200000"
"Khám cấp cứu - cách ly- ngày Lễ, Tết (Khám Nhi)","2200000"
"Gói tầm soát ung thư tiền liệt tuyến tiêu chuẩn","1100000"
"Gói tầm soát ung thư tiền liệt tuyến nâng cao","4300000"
"Gói tầm soát ung thư tuyến giáp","1330000"
"Gói tầm soát ung thư tuyến vú [nữ < 40 tuổi]","850000"
"Gói tầm soát ung thư tuyến vú [nữ >= 40 tuổi]","2700000"
"Gói tầm soát ung thư dạ dày","3000000"
"Gói tầm soát ung thư đại tràng - trực tràng","4500000"
"Gói tầm soát ung thư dạ dày - đại tràng - trực tràng","6500000"
"Gói tầm soát ung thư gan tiêu chuẩn","1900000"
"Gói tầm soát ung thư gan nâng cao","11900000"
"Định lượng NGAL ( Neutrophil Gelatinase-Associated Lipocalin)","920000"
"Xét nghiệm đường máu mao mạch tại giường","66000"
"Dàn tiêu bản máu ngoại vi (Phết máu ngoại vi)","165000"
"Siêu âm đàn hồi mô gan","750000"
"Chụp cộng hưởng từ sọ não không tiêm chất tương phản [3T]","4490000"
"Chụp cắt lớp vi tính mạch máu chi dưới có tiêm thuốc cản quang 1975 lát cắt","5680000"
