Ten dich vu,Gia (VND)
"Khám bệnh tại khu dịch vụ ( nội, ngoại, sản, chuyên khoa )",180000
Khám bệnh nhi khoa tại khu dịch vụ,140000
Khám bệnh dịch vụ tại khoa nhi,180000
"Khám bệnh dịch vụ tại khoa điều trị ( nội, ngoại, sản, chuyên khoa )",230000
Khám chuyên gia,500000
Khám bệnh người nước ngoài,500000
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 64-128 dãy)[CT 2 mức năng lượng, thể tích gan] có thuốc cản quang",3022000
Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang [từ 64- 128 dãy],2368000
Chụp cắt lớp vi tính động mạch chủ bụng [64-128 lát ] có cản quang,3022000
Chụp CT Scanner toàn thân 64 dãy đến 128 dãy không thuốc cản quang,4181000
Chụp cắt lớp vi tính toàn thân có thuốc cản quang[từ 64-128dãy]- chưa bao gồm thuốc cản quang,5165000
Điện Cơ,534000
Điện não đồ,340000
Điện não đồ trong động kinh,340000
Điện tim thường,90000
Chụp cộng hưởng từ sọ não (0.2-1.5T) [không có thuốc cản quang],2624000
Chụp cộng hưởng từ sọ não có tiêm chất tương phản(0.2 1.5T).43,3701000
Chụp cộng hưởng từ não-mạch não có tiêm chất tương phản(0.2 1.5T).43,3701000
Nội soi tai,200000
Nội soi mũi xoang,200000
Nội soi tai mũi họng,200000
Siêu âm Doppler động mạch cảnh,380000
Siêu âm Doppler động mạch thận,380000
Siêu âm tĩnh mạch 2 chi trên[ doppler mạch máu],380000
Pro- Calcitonin,450000
Phát hiện kháng đông đường chung,90000
X.quang Sọ thẳng và nghiêng [số hóa 2 film ],222000
X. quang Sọ tiếp tuyến số hóa,146000
"Chọc dò, sinh thiết màng phổi dưới hướng dẫn của siêu âm",1878000
"Phẫu thuật tán nhuyễn thể thủy tinh bằng siêu âm (Phaco) có hoặc không đặt IOL(Chưa bao gồm thuỷ tinh thể nhân tạo; đã bao gồm casset dùng nhiều lần, dịch nhầy)",6752000
Phòng vip : 1 giường /phòng,3900000
Phòng vip ( nhỏ) : 1 giường /phòng,2200000
