Ten dich vu,Gia (VND)
Siêu âm,"43,900"
Siêu âm + đo trục nhãn cầu,"76,200"
"Siêu âm đầu dò âm đạo, trực tràng","181,000"
Siêu âm Doppler màu tim hoặc mạch máu,"222,000"
Siêu âm Doppler màu tim + cản âm,"257,000"
Siêu âm tim gắng sức,"587,000"
Siêu âm Doppler màu tim 4 D (3D REAL TIME),"457,000"
Siêu âm Doppler màu tim hoặc mạch máu qua thực quản,"805,000"
Siêu âm trong lòng mạch hoặc Đo dự trữ lưu lượng động mạch vành FFR ,"1,998,000"
Chụp X-quang thường,
Chụp X-quang phim  ≤ 24x30 cm (1 tư thế),"50,200"
Chụp X-quang phim  ≤ 24x30 cm (2 tư thế),"56,200"
Chụp X-quang phim > 24x30 cm (1 tư thế),"56,200"
Chụp X-quang phim > 24x30 cm (2 tư thế),"69,200"
Chụp X-quang ổ răng hoặc cận chóp,"13,100"
"Chụp sọ mặt chỉnh nha thường (Panorama, Cephalometric, cắt lớp lồi cầu)","64,200"
Chụp Angiography mắt,"214,000"
Chụp thực quản có uống thuốc cản quang ,"101,000"
Chụp dạ dày-tá tràng có uống thuốc cản quang ,"116,000"
Chụp khung đại tràng có thuốc cản quang,"156,000"
Chụp mật qua Kehr,"240,000"
Chụp hệ tiết niệu có tiêm thuốc cản quang (UIV),"539,000"
Chụp niệu quản - bể thận ngược dòng (UPR) có tiêm thuốc cản quang,"529,000"
Chụp bàng quang có bơm thuốc cản quang,"206,000"
Chụp tử cung-vòi trứng (bao gồm cả thuốc),"371,000"
Chụp X - quang vú định vị kim dây,"386,000"
Lỗ dò cản quang,"406,000"
Mammography (1 bên),"94,200"
Chụp tủy sống  có tiêm thuốc,"401,000"
Chụp X-quang số hóa,
Chụp X-quang số hóa 1 phim,"65,400"
Chụp X-quang số hóa 2 phim,"97,200"
Chụp X-quang số hóa 3 phim,"122,000"
Chụp Xquang số hóa ổ răng hoặc cận chóp,"18,900"
Chụp tử cung-vòi trứng bằng số hóa,"411,000"
Chụp hệ tiết niệu có tiêm thuốc cản quang (UIV) số hóa,"609,000"
