Ten dich vu,Gia (VND)
"Khám Nội","70000"
"Khám Nhi","70000"
"Khám Lao","70000"
"khám Da liễu","70000"
"khám Tâm Thần","70000"
"Khám YHCT","70000"
"Khám Ngoại","70000"
"Khám Bỏng","70000"
"Khám Ung Bướu","70000"
"khám Phụ Sản","70000"
"khám Mắt","70000"
"Khám Tai Mũi Họng","70000"
"khám Răng Hàm Mặt","70000"
"Hội chẩn ca bệnh khó Nội khoa (TT37)","200000"
"Khám sức khoẻ tuyển dụng, đi học","85000"
"Gói KSK Thẻ Xanh (TT32:CK, XN phân, XQ ngực, XN Glu,Crea, ASC, OT, PT,TPTTBM, Ure)","371500"
"Gói KSK Thẻ Xanh (DV) (TT32:CK, XN phân, XQ ngực, XN Glu,Crea, ASC, OT, PT,TPTTBM, Ure)","485000"
"Gói KSK TT32 (TT32:CK, XQ ngực, XN Glu, Crea, ASC, OT, PT, TPTTBM, Ure) thth","346500"
"Gói KSK TT32 (DV) (TT32:CK, XQ ngực, XN Glu, Crea, ASC, OT, PT, TPTTBM, Ure)","455000"
"Gói KSK Lái Xe (CK, XN ma túy tổng hợp 4 in 1, đo nồng độ cồn Ethanol)","304700"
"Gói KSK Lái Xe (DV) (CK, XN ma túy tổng hợp 4 in 1, đo nồng độ cồn Ethanol)","340000"
"Gói KSK Thi Bằng Lái A1 (CK,ECG, XN ma túy tổng hợp 4 in 1, đo nồng độ cồn Ethanol)","337500"
"Gói KSK Thi Đấu, Năng Khiếu (CK,ECG)","117800"
"Gói KSK Kết Hôn (CK, XQ ngực, XN ADRL, HBsAg, HIV)","307600"
"Gói KSK Thi Đấu, Năng Khiếu (DV) (CK, ECG)","135000"
"Siêu âm ổ bụng (gan mật, tụy, lách, thận, bàng quang)","70000"
"Đo công suất thể thuỷ tinh nhân tạo tự động bằng siêu âm","70000"
"Siêu âm tuyến giáp","70000"
"Siêu âm Doppler tim","320000"
"Siêu âm tim 3D/4D tim","468000"
"Điện tim thường","50000"
"Ghi điện tim cấp cứu tại giường","50000"
"Nội soi thanh quản ống mềm chẩn đoán","250000"
"Nội soi thực quản-dạ dày- tá tràng ống mềm không sinh thiết","300000"
"Máu lắng (bằng phương pháp thủ công)","30000"
"Phản ứng CRP","30000"
"Tổng phân tích nước tiểu (Bằng máy tự động)","45000"
"Giường Nội khoa loại 2 Hạng II - Tai - Mũi - Họng","182700"
"Giường Nội khoa loại 1 Hạng II - Khoa Hồi sức cấp cứu","212600"
"Chuyển Tâm Thần","225000"
"chuyển B/v 115","200000"
"Phẫu thuật cắt Amidan gây tê hoặc gây mê (nhi)","2500000"
"Cắt bỏ trĩ vòng","2800000"
"Sinh thiết hốc mũi","150000"
"Nội soi họng","100000"
"Sổ khám bệnh","5000"
