Ten dich vu,Gia (VND)
"Đặt catheter tĩnh mạch trung tâm 1 nòng","685500"
"Đặt canuyn mở khí quản 2 nòng","263700"
"Chọc dò màng ngoài tim cấp cứu","280500"
"Đặt nội khí quản","600500"
"Mở khí quản cấp cứu","759800"
"Mở khí quản thường quy","759800"
"Thay canuyn mở khí quản","263700"
"Cấp cứu ngừng tuần hoàn hô hấp cơ bản","532500"
"Mở thông bàng quang trên xương mu","405500"
"Chọc dịch tủy sống","126900"
"Đặt ống thông dạ dày","101800"
"Rửa dạ dày cấp cứu","152000"
"Rửa dạ dày loại bỏ chất độc bằng hệ thống kín","622500"
"Chọc tháo dịch màng phổi dưới hướng dẫn của siêu âm","195900"
"Chọc dò dịch màng phổi","153700"
"Chọc hút khí màng phổi","162900"
"Dẫn lưu màng phổi, ổ áp xe phổi dưới hướng dẫn của siêu âm","729400"
"Rút ống dẫn lưu màng phổi, ống dẫn lưu ổ áp xe","194700"
"Thay canuyn mở khí quản","263700"
"Hút đờm hầu họng","14100"
"Chọc dò dịch ổ bụng xét nghiệm","153700"
"Đặt ống thông dạ dày","101800"
"Nội soi hậu môn ống cứng can thiệp - tiêm xơ búi trĩ","283800"
"Chọc hút tế bào cơ bằng kim nhỏ","126700"
"Chọc hút tế bào phần mềm bằng kim nhỏ","126700"
"Hút dịch khớp gối","129600"
"Hút nang bao hoạt dịch","129600"
"Điều trị sùi mào gà bằng laser CO2","889700"
"Chọc hút dịch điều trị u nang giáp","178500"
"Chọc hút tế bào tuyến giáp","126700"
"Mở khí quản cấp cứu qua tổn thương bỏng","759800"
"Thay canuyn","263700"
"Sinh thiết gan dưới hướng dẫn siêu âm","1064900"
"Sinh thiết vú dưới hướng dẫn siêu âm","879400"
"Sinh thiết lách dưới hướng dẫn siêu âm","1064900"
"Sinh thiết thận dưới hướng dẫn siêu âm","1064900"
"Sinh thiết tuyến giáp dưới hướng dẫn siêu âm","170900"
"Chọc hút tế bào tuyến giáp dưới hướng dẫn siêu âm","170900"
"Thở máy không xâm nhập (thở CPAP, thở BiPAP) [theo giờ thực tế]","625000"
"Truyền tĩnh mạch","25100"
"Tiêm trong da; tiêm dưới da; tiêm bắp thịt","15100"
"Thông bàng quang","101800"
"Tiêm trong da","15100"
"Tiêm dưới da","15100"
"Tiêm bắp thịt","15100"
"Tiêm tĩnh mạch","15100"
"Tiêm tĩnh mạch, truyền tĩnh mạch","15100"
"Nội soi mũi hoặc vòm hoặc họng có sinh thiết","545500"
"Nội soi thanh quản ống mềm chẩn đoán","245500"
"Nội soi tai mũi họng","116100"
"Nội soi tai","40000"
"Nội soi mũi","40000"
"Nội soi họng","40000"
"Nội soi thực quản, dạ dày, tá tràng","276500"
"Nội soi can thiệp - làm Clo test chẩn đoán nhiễm H.Pylori","317000"
"Siêu âm tuyến giáp","58600"
"Siêu âm các tuyến nước bọt","58600"
"Siêu âm ổ bụng (gan mật, tụy, lách, thận, bàng quang)","58600"
"Siêu âm hệ tiết niệu (thận, tuyến thượng thận, bàng quang, tiền liệt tuyến)","58600"
"Siêu âm tử cung phần phụ","58600"
"Siêu âm thai (thai, nhau thai, nước ối)","58600"
"Siêu âm tử cung buồng trứng qua đường bụng","58600"
"Siêu âm tử cung buồng trứng qua đường âm đạo","195600"
"Siêu âm thai nhi trong 3 tháng đầu","58600"
"Siêu âm thai nhi trong 3 tháng giữa","58600"
"Siêu âm thai nhi trong 3 tháng cuối","58600"
"Siêu âm phần mềm (da, tổ chức dưới da, cơ....)","58600"
"Siêu âm doppler động mạch, tĩnh mạch chi dưới","252300"
"Siêu âm tim, màng tim qua thành ngực","252300"
"Siêu âm tuyến vú hai bên","58600"
"Siêu âm dương vật","58600"
"Điện tim thường","39900"
"Ghi điện não đồ thông thường","75200"
"Siêu âm doppler tim, van tim","252300"
"Chụp X-quang răng cận chóp (Periapical)","16100"
"Chụp X-quang sọ thẳng/nghiêng [số hóa 1 phim]","105300"
"Chụp X-quang sọ thẳng/nghiêng [số hóa 1 phim]","73300"
"Chụp X-quang mặt thẳng nghiêng [<= 24x30 cm, 2 tư thế]","105300"
"Chụp X-quang hốc mắt thẳng nghiêng [số hóa 1 phim]","105300"
"Chụp X-quang Blondeau [số hóa 2 phim]","73300"
"Chụp X-quang Hirtz [số hóa 1 phim]","73300"
"Chụp X-quang hàm chếch một bên [số hóa 1 phim]","73300"
"Chụp X-quang xương chính mũi nghiêng hoặc tiếp tuyến [số hóa 1 phim]","73300"
"Chụp X-quang Schuller [số hóa 1 phim]","73300"
"Chụp X-quang khớp thái dương hàm [số hóa 1 phim]","73300"
"Chụp X-quang cột sống cổ thẳng nghiêng [số hóa 1 phim]","105300"
"Chụp X-quang cột sống cổ chếch hai bên [<= 24x30 cm, 1 tư thế]","105300"
"Chụp X-quang cột sống cổ C1-C2 [số hóa 1 phim]","73300"
