Ten dich vu,Gia (VND)
"17.Khám bệnh hạng III: Y học cổ truyền (PHCN)","33200"
"17.Khám bệnh hạng III: Y học cổ truyền (YHCT)","33200"
"17.Khám bệnh hạng III: Răng hàm mặt","33200"
"17.Khám bệnh hạng III: Tai mũi họng","33200"
"17.Khám bệnh hạng III: Phụ sản","33200"
"17.Khám bệnh hạng III: Nội","33200"
"17.Khám bệnh hạng III: Ung bướu","33200"
"17.Khám bệnh hạng III: Ngoại","33200"
"17.Khám bệnh hạng III: Nhi","33200"
"17.Khám bệnh hạng III: Nội (BSGĐ)","33200"
"17.Khám bệnh hạng III: Mắt","33200"
"17.Khám bệnh hạng III: Nội tiết","33200"
"17.Khám bệnh hạng III: Da liễu","33200"
"17.Khám bệnh hạng III: Tâm thần","33200"
"17.Khám tư vấn và quản lý sức khỏe theo y học gia đình","33200"
"17.Khám sức khỏe theo TT32 (chưa tính xét nghiệm, X-quang)","160000"
"17.Khám sức khỏe lái xe theo TT24 (chưa tính xét nghiệm)","160000"
"17.Khám sức khỏe sổ hồng (chưa tính xét nghiệm, X-quang)","160000"
"Khám sức khỏe đi học, thi đấu (dưới 6 tuổi)","100000"
"17.Giường Hồi sức cấp cứu Hạng III","312200"
"17.Siêu âm các tuyến nước bọt","49300"
"17.Siêu âm Doppler mạch máu","233000"
"17.Chụp XQ số hóa 1 phim Hốc mắt thẳng nghiêng","68300"
"17.Chụp khung đại tràng có thuốc cản quang số hóa","279000"
"17.Điện tâm đồ","35400"
"17.Khâu vết thương phần mềm tổn thương sâu chiều dài < 10cm","268000"
"17.Truyền tĩnh mạch","22800"
"Vắc xin phòng Viêm gan siêu vi B (nhỏ) - ENGERIX 10mcg","146000"
"Vắc xin phòng Viêm gan siêu vi B - ENGERIX 20mcg","195000"
"Vắc xin phòng Viêm não Nhật Bản - JEVAX","128000"
"Vắc xin phòng Viêm não Nhật Bản - IMOJEV","673000"
"Khám bệnh (Cơ sở 2 và Cơ sở 3)","30100"
"Khám khởi liều (Cơ sở 2 và Cơ sở 3)","25000"
