Ten dich vu,Gia (VND)
"AFB trực tiếp nhuộm Ziehl-Neelsen","69900"
"Áp nitơ lỏng các khối u lành tính ngoài da","350000"
"Bẻ cuốn dưới","138000"
"Bẻ cuốn mũi","138000"
"BK/JC virus Real-time PCR","472000"
"Bó bột ống trong gãy xương bánh chè","152000"
"Bó bột ống trong gãy xương bánh chè","152000"
"Bó thuốc","53100"
"Bộc lộ tĩnh mạch ngoại vi để truyền dịch điều trị bệnh nhân bỏng","184000"
"Bóc nang tuyến Bartholin","1309000"
"Bóc nhân xơ vú","1019000"
"Bóc, cắt u bã đậu, u mỡ dưới da đầu đường kính dưới 10 cm","729000"
"Bơm rửa bàng quang, bơm hóa chất","209000"
"Bơm rửa lệ đạo","38300"
"Bơm thông lệ đạo [hai mắt]","98600"
"Bơm thông lệ đạo [một mắt]","61500"
"Bơm thuốc thanh quản","21100"
"Bóp bóng Ambu qua mặt nạ","227000"
"Bóp bóng Ambu, thổi ngạt sơ sinh","498000"
"Cầm máu điểm mạch mũi bằng hóa chất (Bạc Nitrat)","972000"
"Cầm máu đơn giản sau phẫu thuật cắt Amygdale, Nạo VA","124000"
"Cầm máu mũi bằng Merocel","211000"
"Cầm máu mũi bằng Meroxeo (2 bên)","279000"
"Cấp cứu ngừng tuần hoàn hô hấp cơ bản","498000"
"Cắt bán phần 1 thuỳ tuyến giáp trong bướu giáp nhân","2839000"
"Cắt bán phần 1 thuỳ tuyến giáp và lấy nhân thùy còn lại trong bướu giáp nhân","3446000"
"Cắt bán phần 1 thuỳ tuyến giáp và lấy nhân thùy còn lại trong bướu giáp nhân bằng dao siêu âm","4569000"
"Cắt bán phần hoặc gần toàn bộ dạ dày cực dưới do ung thư kèm vét hạch hệ thống Di hoặc D2","5125000"
"Cắt bè củng giác mạc (Trabeculectomy)","1128000"
"Cắt bỏ âm hộ đơn thuần","2838000"
"Cắt bỏ hoại tử tiếp tuyến bỏng sâu dưới 3% diện tích cơ thể ở trẻ em","2378000"
"Cắt bỏ hoại tử tiếp tuyến bỏng sâu dưới 5% diện tích cơ thể ở người lớn","2378000"
"Cắt bỏ hoại tử toàn lớp bỏng sâu dưới 1% diện tích cơ thể ở trẻ em","2407000"
"Cắt bỏ hoại tử toàn lớp bỏng sâu dưới 3% diện tích cơ thể ở người lớn","2407000"
"Cắt bỏ nang xương hàm dưới 2 cm","868000"
"Cắt bỏ nhãn cầu có hoặc không cắt thị thần kinh dài","772000"
"Cắt bỏ tinh hoàn","2332000"
"Cắt bỏ tinh hoàn lạc chỗ","2332000"
"Cắt bỏ túi lệ","872000"
"Cắt bỏ u lành tính vùng tuyến nước bọt mang tai hoặc dưới hàm từ2-5 cm","3236000"
"Cắt bỏ u mạc nối lớn","4842000"
"Cắt các loại u vùng da đầu, cổ có đường kính dưới 5 cm","729000"
"Cắt các u nang giáp móng","2190000"
"Cắt chỉ khâu da","35600"
"Cắt chỉ khâu da mi đơn giản","35600"
"Cắt chỉ khâu giác mạc","35600"
"Cắt chỉ khâu kết mạc","35600"
"Cắt chỉ khâu vòng cổ tử cung","125000"
"Cắt chỉ sau phẫu thuật sụp mi","35600"
"Cắt dạ dày do ung thư","7610000"
"Cắt lại đại tràng do ung thư","4642000"
"Cắt lọc tổ chức hoại tử hoặc cắt lọc vết thương đơn giản","184000"
"Cắt lọc, khâu vết thương rách da đầu","2660000"
"Cắt lợi trùm răng khôn hàm dưới","166000"
"Cắt nang răng đường kính dưới 2 cm","479000"
"Cắt phanh lưỡi","313000"
"Cắt phymosis","248000"
"Cắt polyp mũi","679000"
"Cắt polyp ống tai","2038000"
"Cắt polyp ống tai","2038000"
"Cắt polyp ống tai gây tê","613000"
"Cắt ruột non hình chêm","3730000"
"Cắt ruột thừa đơn thuần","2654000"
"Cắt ruột thừa, dẫn lưu ổ apxe","2654000"
"Cắt ruột thừa, lau rửa ổ bụng","2654000"
"Cắt sẹo khâu kín","3432000"
"Cắt thể thủy tinh, dịch kính có hoặc không cố định IOL","1260000"
"Cắt toàn bộ dạ dày do ung thư và vét hạch hệ thống","7610000"
"Cắt túi mật","4694000"
"Cắt u nang buồng trứng và phần phụ","3085000"
"Cắt u da đầu lành, đường kính dưới 5cm","729000"
"Cắt u kết mạc không vá","760000"
"Cắt u lành phần mềm đường kính dưới 10cm","1914000"
"Cắt u lành phần mềm đường kính trên 10cm","1914000"
"Cắt u lành tính ống hậu môn (u cơ, polyp…)","1340000"
"Cắt u mỡ, u bã đậu vùng hàm mặt đường kính dưới 5 cm","1353000"
"Cắt u nang bao hoạt dịch (cổ tay, khoeo chân, cổ chân)","1298000"
"Cắt u nang buồng trứng","3085000"
"Cắt u nang buồng trứng và phần phụ","3085000"
"Cắt u nang buồng trứng xoắn","3085000"
"Cắt u sau phúc mạc","5970000"
"Cắt u thành âm đạo","2128000"
"Cắt u trực tràng ống hậu môn đường dưới","7190000"
"Cắt u vú lành tính","2962000"
"Xoa bóp bấm huyệt phục hồi chức năng vận động ở trẻ bại não","69300"
"Xử lý vết thương phần mềm nông vùng mi mắt","968000"
"Xử lý vết thương phần mềm, tổn thương nông vùng mắt","968000"
