Ten dich vu,Gia (VND)
Khám chức năng hô hấp,150000
Khám da liễu,150000
Khám hậu môn-trực tràng,150000
Khám mắt,150000
Khám Tiết niệu,150000
Khám nội tiết,150000
Khám phổi,150000
Khám phụ khoa,150000
Khám tai mũi họng,150000
Khám thần kinh,150000
Khám tiêu hoá - gan mật,150000
Khám tim mạch,150000
Khám viêm gan,150000
Khám xương khớp,150000
Khám lồng ngực,150000
Khám Nhi,150000
Khám sức khỏe,200000
Khám tư vấn tiêm ngừa,100000
Khám tổng quát,150000
Khám nội thận,150000
Khám thai,150000
Khám tổng quát (VIP),600000
Khám nội cơ xương khớp,150000
Khám phục hồi chức năng,150000
"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Nội)",550000
"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Tai mũi họng)",550000
"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Phụ sản)",550000
"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Ngoại)",550000
"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Nội tiết)",550000
Hội chẩn để xác định ca bệnh khó,500000
Chụp CLVT hàm-mặt có tiêm thuốc cản quang (sọ + xoang) (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],1950000
Chụp CLVT sọ não không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],1000000
Chụp CLVT sọ não có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],1240000
Chụp CT-Scan vùng cổ [BHYT thanh toán theo đơn giá 1-32 dãy],1000000
Chụp CT-Scan vùng cổ có thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],1240000
Chụp CLVT hàm-mặt không tiêm thuốc cản quang (xoang) [BHYT thanh toán theo đơn giá 1-32 dãy],1000000
Chụp CLVT hàm-mặt có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],1240000
Chụp CLVT tai-xương đá không tiêm thuốc [BHYT thanh toán theo đơn giá 1-32 dãy],1000000
Chụp CLVT tai-xương đá có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],1240000
Chụp cắt lớp vi tính mạch máu chi trên có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),2350000
Chụp cắt lớp vi tính tạng khảo sát huyết động học khối u (CT perfusion) (chưa bao gồm thuốc cản quang),2580000
Chụp cắt lớp vi tính động mạch chủ ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),2250000
Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (mạc treo) (chưa bao gồm thuốc cản quang),2200000
Chụp cắt lớp vi tính động mạch phổi (chưa bao gồm thuốc cản quang),2100000
Chụp cắt lớp vi tính động mạch chủ-chậu (chưa bao gồm thuốc cản quang),2240000
"Chụp cắt lớp vi tính động mạch vành, tim (chưa bao gồm thuốc cản quang)",2450000
Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],1000000
Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],1000000
Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],1240000
Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],1240000
Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],1000000
"Siêu âm Doppler tinh hoàn, mào tinh hoàn hai bên",400000
Siêu âm ổ bụng,150000
Siêu âm cơ phần mềm vùng cổ,150000
"Siêu âm Doppler mạch máu ổ bụng (động mạch chủ, mạc treo tràng trên, thân tạng…)",400000
Siêu âm phần mềm,150000
"Siêu âm Doppler tử cung, buồng trứng qua đường âm đạo",400000
Siêu âm tuyến giáp,150000
Siêu âm các tuyến nước bọt (tuyến mang tai),150000
Siêu âm tuyến vú hai bên,150000
"Siêu âm thai (thai, nhau thai, nước ối)",200000
"Siêu âm Doppler thai nhi (thai, nhau thai, dây rốn, động mạch tử cung) (song thai trở lên)",600000
Siêu âm Doppler tim thai (sàng lọc),350000
Siêu âm Doppler tim thai (song thai trở lên) (sàng lọc),450000
Siêu âm Doppler tim,280000
Chụp X-quang bàn chân nghiêng số hóa 1 phim,100000
Chụp X-quang bàn chân thẳng số hóa 1 phim,100000
Chụp X-quang bàn chân thẳng-nghiêng số hóa 1 phim,130000
Chụp X-quang bản lề chẩm-cổ (C1-C2) T-N số hóa 1 phim,100000
Chụp X-quang Cẳng chân thẳng và nghiêng số hóa 1 phim,130000
Chụp X-quang Cổ chân thẳng-nghiêng số hóa 1 phim,130000
Chụp X-quang Cổ tay thẳng-nghiêng số hóa 1 phim,130000
Chụp X-quang Cột sống cổ (cúi - ngửa) số hóa 1 phim,130000
Chụp X-quang Cột sống ngực nghiêng số hóa 1 phim,100000
Chụp X-quang Cột sống thắt lưng (cúi - ngửa) số hóa 1 phim,130000
Chụp X-quang Cột sống thắt lưng T-N-Cúi số hóa 1 phim,180000
Chụp X-quang Cột sống thắt lưng-cùng T-N-C số hóa 1 phim,230000
Chụp X-quang Cung gò má số hóa 1 phim,100000
Chụp X-quang Dạ dày cản quang số hóa 1 phim,280000
Chụp X-quang đường rò cản quang số hóa 1 phim,880000
Chụp X-quang Hố yên thẳng (Worms-Bretton) số hóa 1 phim,100000
