Ten dich vu,Gia (VND)
"Giá khám bệnh, hội chẩn","50600"
"Hội chẩn để xác định cas bệnh khó","200000"
"Ngày giường bệnh Hồi sức cấp cứu","558600"
"Ngày giường bệnh YHDT/PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não","273800"
"Ngày giường bệnh nội khoa YHDT, phục hồi chức năng","232900"
"Ngày giường bệnh ngoại khoa sau phẫu thuật loại 1","364400"
"Ngày giường bệnh ngoại khoa sau phẫu thuật loại 2","320700"
"Ngày giường bệnh ngoại khoa sau phẫu thuật loại 3","286700"
"Ngày giường bệnh ban ngày","69870"
"Siêu âm hệ tiết niệu (thận, tuyên thượng thận, bàng quang, tiên liệt tuyến)","58600"
"Siêu âm khớp (gối, háng, khuỷu, cổ tay...)","58600"
"Siêu âm phần mềm (da, tổ chức dưới da, cơ...)","58600"
"Siêu âm đàn hồi nhu mô tuyến giáp","89300"
"Siêu âm đàn hồi mô vú","89300"
"Siêu âm Doppler động mạch cảnh, Doppler xuyên sọ","252300"
"Chụp Xquang phim <= 24x30cm (1 tư thế)","58300"
"Chụp Xquang phim <= 24x30cm (2 tư thế)","64300"
"Chụp Xquang phim > 24x30cm (1 tư thế)","64300"
"Chụp Xquang phim > 24x30cm (2 tư thế)","77300"
"Chụp dạ dày-tá tràng có uống thuốc cản quang","124300"
"Lỗ dò cản quang","446800"
"Chụp X-quang số hóa 1 phim","73300"
"Chụp X-quang số hóa 2 phim","105300"
"Chụp X-quang số hóa 3 phim","130300"
"Chụp thực quản có uống thuốc cản quang số hóa","264800"
"Chụp dạ dày-tá tràng có uống thuốc cản quang số hóa","264800"
"Chụp khung đại tràng có thuốc cản quang số hóa","304800"
"Đo mật độ xương bằng phương pháp DEXA (1 vị trí)","89300"
"Đo mật độ xương bằng phương pháp DEXA (2 vị trí)","148300"
"Đặt sonde dạ dày","101800"
"Bơm rửa niệu quản sau tán sỏi (ngoài cơ thể)","500500"
"Cấp cứu ngừng tuần hoàn","532500"
"Cắt chỉ","40300"
"Mở thông bàng quang (gây tê tại chỗ)","405500"
"Nội soi thực quản, dạ dày, tá tràng ống mềm không sinh thiết","276500"
"Nội soi trực tràng ống mềm không sinh thiết","215200"
"Nội soi hậu môn ống cứng can thiệp - tiêm xơ búi trĩ","283800"
"Nội soi hậu môn ống cứng can thiệp - thắt trĩ bằng vòng","283800"
"Nong niệu đạo và đặt thông đái","273500"
"Rửa bàng quang","230500"
"Rửa dạ dày","152000"
"Rửa dạ dày loại bỏ chất độc qua hệ thống kín","622500"
"Rửa ruột non toàn bộ loại bỏ chất độc qua đường tiêu hoá","880200"
"Soi trực tràng, tiêm hoặc thắt trĩ","283800"
"Tháo bột khác","61400"
"Thay băng vết thương hoặc mổ chiều dài <= 15cm","64300"
"Thay băng vết thương chiều dài trên 15cm đến 30cm","89500"
"Thay băng vết thương hoặc mổ chiều dài trên 15cm đến 30cm","89500"
"Thay băng vết thương hoặc mổ chiều dài từ trên 30cm đến 50cm","121400"
"Thay băng vết thương hoặc mổ chiều dài từ trên 15cm đến 30cm nhiễm trùng","148600"
"Thay băng vết thương hoặc mổ chiều dài từ trên 30cm đến 50cm nhiễm trùng","193600"
"Thay băng vết thương hoặc mổ chiều dài > 50cm nhiễm trùng","275600"
"Thay băng cắt lọc vết thương mạn tính","279500"
"Thông đái","101800"
"Thụt tháo phân hoặc Đặt sonde hậu môn","92400"
"Tiêm (bắp hoặc dưới da hoặc tĩnh mạch)","15100"
"Tiêm khớp","104400"
"Tiêm khớp dưới hướng dẫn của siêu âm","148700"
"Truyền tĩnh mạch","25100"
"Khâu vết thương phần mềm tổn thương nông chiều dài < 10 cm","194700"
"Khâu vết thương phần mềm tổn thương nông chiều dài >= 10 cm","269500"
"Khâu vết thương phần mềm tổn thương sâu chiều dài < 10 cm","289500"
"Khâu vết thương phần mềm tổn thương sâu chiều dài >= 10 cm","354200"
"Bó thuốc Y học cổ truyền","57600"
"Châm / chích lễ (kim ngắn)","76300"
"Chôn chỉ (cấy chỉ)","156400"
"Cứu (Ngải cứu, túi chườm)","37000"
"Điện châm (kim ngắn)","78300"
"Hồng ngoại","40900"
"Ngâm thuốc y học cổ truyền","54800"
"Thuỷ châm","77100"
"Bó Parafin","46000"
"Chườm lạnh","37000"
"Điện phân","48900"
"Điện từ trường","41900"
"Điện xung","44900"
"Siêu âm điều trị","48900"
"Kéo nắn, kéo dãn cột sống, các khớp","54800"
"Laser châm","52100"
"Nắn, bó gãy xương cẳng chân bằng phương pháp y học cổ truyền","119200"
"Nắn, bó gãy xương cẳng tay bằng phương pháp y học cổ truyền","119200"
"Nắn, bó gãy xương cánh tay bằng phương pháp y học cổ truyền","119200"
