Ten dich vu,Gia (VND)
"Chụp OCT bán phần trước nhãn cầu","500000"
"Chụp OCT bán phần sau nhãn cầu","500000"
"Chụp đáy mắt không huỳnh quang","300000"
"Chụp bàng quang chẩn đoán trào ngược bàng quang niệu quản","300000"
"Chụp ảnh màu tế bào qua kính hiển vi","60000"
"Chụp đáy mắt không huỳnh quang [2 mắt]","500000"
"Chụp CLVT sọ não không tiêm thuốc cản quang (từ 64-128 dãy)","1700000"
"Chụp CLVT hàm mặt có ứng dụng phần mềm nha khoa (từ 64-128 dãy) [không có thuốc cản quang]","1700000"
"Chụp CLVT hốc mắt (từ 64-128 dãy) [không có thuốc cản quang]","1700000"
"Chụp CLVT hàm mặt có dựng hình 3D (từ 64-128 dãy) [không có thuốc cản quang]","1700000"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) [không có thuốc cản quang]","1700000"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 64-128 dãy) [không có thuốc cản quang]","1700000"
"Chụp cắt lớp vi tính ruột non (entero-scan) không dùng sonde (từ 64-128 dãy) [không có thuốc cản quang]","1700000"
"Chụp CLVT sọ não có tiêm thuốc cản quang (từ 64-128 dãy) [Chưa bao gồm thuốc cản quang.]","2450000"
"Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ 64-128 dãy) [Chưa bao gồm thuốc cản quang.]","2450000"
"Chụp CLVT tưới máu não (CT perfusion) (từ 64-128 dãy) [Chưa bao gồm thuốc cản quang.]","2450000"
"Chụp CLVT mạch máu não (từ 64-128 dãy) [Chưa bao gồm thuốc cản quang.]","2450000"
"Chụp CLVT sọ não có dựng hình 3D (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chụp CLVT hốc mắt (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (bao gồm mạch: gan, tụy, lách và mạch khối u) (từ 64-128 dãy) [Chưa bao gồm thuốc cản quang.]","2450000"
"Chụp cắt lớp vi tính hệ tiết niệu có khảo sát mạch thận và/hoặc dựng hình đường bài xuất (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chụp cắt lớp vi tính gan có dựng hình đường mật (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chụp cắt lớp vi tính tạng khảo sát huyết động học khối u (CT perfusion) (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chụp cắt lớp vi tính ruột non (entero-scan) có dùng sonde (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chụp cắt lớp vi tính đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo (từ 64-128 dãy) [có thuốc cản quang]","2450000"
"Chọc hút ổ dịch/áp xe não dưới cắt lớp vi tính","1544000"
"Chọc hút ổ dịch, áp xe dưới hướng dẫn cắt lớp vi tính","952000"
"Chọc hút hạch hoặc u dưới hướng dẫn cắt lớp vi tính","952000"
"Dẫn lưu các ổ dịch trong ổ bụng dưới hướng dẫn cắt lớp vi tính","1544000"
"Dẫn lưu dịch, áp xe, nang dưới hướng dẫn cắt lớp vi tính","1544000"
"Đốt sóng cao tần điều trị u gan dưới hướng dẫn cắt lớp vi tính","2287000"
"Sinh thiết phổi/màng phổi dưới cắt lớp vi tính","2466000"
"Sinh thiết trung thất dưới cắt lớp vi tính","2466000"
"Sinh thiết gan dưới cắt lớp vi tính","2466000"
"Sinh thiết thận dưới cắt lớp vi tính","2210000"
"Sinh thiết lách dưới cắt lớp vi tính","2466000"
"Sinh thiết tụy dưới cắt lớp vi tính","2466000"
"Sinh thiết xương dưới cắt lớp vi tính","2466000"
"Sinh thiết tạng hay khối ổ bụng dưới cắt lớp vi tính","2210000"
"Chụp cắt lớp vi tính hàm mặt chùm tia hình nón hàm trên (Cone-Beam CT) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính hàm mặt chùm tia hình nón hàm dưới (Cone-Beam CT) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính hàm mặt chùm tia hình nón hàm trên hàm dưới (Cone-Beam CT) [không có thuốc cản quang]","800000"
"Chụp CLVT sọ não không tiêm thuốc cản quang (từ 1-32 dãy)","800000"
"Chụp CLVT sọ não có tiêm thuốc cản quang (từ 1-32 dãy)","1200000"
"Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ 1-32 dãy)","1200000"
"Chụp CLVT tưới máu não (CT perfusion) (từ 1-32 dãy)","1200000"
"Chụp CLVT mạch máu não (từ 1-32 dãy)","1200000"
"Chụp CLVT sọ não có dựng hình 3D (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp CLVT hàm mặt có ứng dụng phần mềm nha khoa (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp CLVT hốc mắt (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp CLVT hốc mắt (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp CLVT hàm mặt có dựng hình 3D (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 1-32 dãy)","800000"
"Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính phổi độ phân giải cao (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính nội soi ảo cây phế quản (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính động mạch phổi (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính động mạch chủ ngực (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính động mạch vành, tim (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính tính điểm vôi hóa mạch vành (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (bao gồm mạch: gan, tụy, lách và mạch khối u) (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp cắt lớp vi tính hệ tiết niệu có khảo sát mạch thận và/hoặc dựng hình đường bài xuất (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp cắt lớp vi tính gan có dựng hình đường mật (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp cắt lớp vi tính tạng khảo sát huyết động học khối u (CT perfusion) (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp cắt lớp vi tính ruột non (entero-scan) không dùng sonde (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 1-32 dãy)","800000"
"Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 1-32 dãy)","800000"
"Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 1-32 dãy)","800000"
"Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 1-32 dãy)","800000"
"Chụp cắt lớp vi tính khớp thường quy có tiêm thuốc cản quang (từ 1-32 dãy)","1200000"
"Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang (từ 1- 32 dãy)","800000"
"Chụp cắt lớp vi tính xương chi có tiêm thuốc cản quang (từ 1- 32 dãy)","1200000"
"Chụp cắt lớp vi tính mạch máu chi trên (từ 1- 32 dãy)","1200000"
"Chụp cắt lớp vi tính mạch máu chi dưới (từ 1- 32 dãy)","1200000"
"Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 1- 32 dãy) [Tầm soát]","800000"
"Chụp CLVT hàm - mặt có tiêm thuốc cản quang (từ 1-32 dãy)","1200000"
"Chụp CLVT tai - xương đá không tiêm thuốc (từ 1-32 dãy)","800000"
"Chụp cắt lớp vi tính bụng - tiểu khung thường quy (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp cắt lớp vi tính gan - mật, tụy, lách, dạ dày - tá tràng.v.v.) (từ 1-32 dãy) [có thuốc cản quang]","1200000"
"Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp cắt lớp vi tính gan - mật, tụy, lách, dạ dày - tá tràng.v.v.) (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp cắt lớp vi tính bụng - tiểu khung thường quy (từ 1-32 dãy) [không có thuốc cản quang]","800000"
"Chụp CLVT hàm - mặt không tiêm thuốc cản quang (từ 1-32 dãy)","800000"
"Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính tử cung - buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 1-32 dãy) [có thuốc cản quang]","1200000"
