Ten dich vu,Gia (VND)
"Khám lâm sàng chung, khám chuyên khoa","120000"
"Hội chẩn để xác định ca bệnh khó","200000"
"Khám đặt trước qua điện thoại","150000"
"Khám ngoài giờ hành chính","170000"
"Khám kết hôn trả kết quả sau","400000"
"Khám kết hôn trả kết quả ngay","600000"
"Khám xuất cảnh ODP","2000000"
"Phó bản (sửa sai)","100000"
"Khám với Bác sĩ chuyên gia","450000"
"Ngày giường bệnh nội khoa (Tâm thần)","324000"
"Siêu âm ổ bụng","58600"
"Siêu âm doppler xuyên sọ","252300"
"Siêu âm tiền liệt tuyến qua trực tràng","195600"
"Siêu âm khớp (gối, háng, khuỷu, cổ tay….)","58600"
"Siêu âm phần mềm (da, tổ chức dưới da, cơ….)","58600"
"Chụp X-quang khớp vai thẳng [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang khớp vai thẳng [ > 24×30 cm, 1 tư thế]","64300"
"Chụp X-quang khớp vai thẳng [ > 24×30 cm, 2 tư thế]","77300"
"Chụp X-quang khớp vai thẳng [số hóa 1 phim]","73300"
"Chụp X-quang khớp vai thẳng [số hóa 2 phim]","105300"
"Chụp X-quang khớp vai nghiêng hoặc chếch [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang khớp vai nghiêng hoặc chếch [> 24×30 cm, 1 tư thế]","64300"
"Chụp X-quang khớp vai nghiêng hoặc chếch [số hóa 1 phim]","73300"
"Chụp X-quang xương bả vai thẳng nghiêng [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang xương bả vai thẳng nghiêng [> 24×30 cm, 2 tư thế]","77300"
"Chụp X-quang xương bả vai thẳng nghiêng [số hóa 1 phim]","73300"
"Chụp X-quang xương bả vai thẳng nghiêng [số hóa 2 phim]","105300"
"Chụp X-quang xương cánh tay thẳng nghiêng [≤ 24×30 cm, 2 tư thế]","64300"
"Chụp X-quang xương cánh tay thẳng nghiêng [> 24×30 cm, 2 tư thế]","77300"
"Chụp X-quang xương cánh tay thẳng nghiêng [số hóa 1 phim]","73300"
"Chụp X-quang xương cánh tay thẳng nghiêng [số hóa 2 phim]","105300"
"Chụp X-quang khớp khuỷu thẳng, nghiêng hoặc chếch [≤ 24×30 cm, 2 tư thế]","64300"
"Chụp X-quang khớp khuỷu thẳng, nghiêng hoặc chếch [> 24×30 cm, 2 tư thế]","77300"
"Chụp X-quang khớp khuỷu thẳng, nghiêng hoặc chếch [số hóa 1 phim]","73300"
"Chụp X-quang khớp khuỷu thẳng, nghiêng hoặc chếch [số hóa 2 phim]","105300"
"Chụp X-quang khớp khuỷu gập (Jones hoặc Coyle) [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang khớp khuỷu gập (Jones hoặc Coyle) [> 24×30 cm, 1 tư thế]","64300"
"Chụp X-quang khớp khuỷu gập (Jones hoặc Coyle) [số hóa 1 phim]","73300"
"Chụp X-quang Blondeau [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang Hirtz [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang răng cánh cắn (Bite wing) [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang răng toàn cảnh","72300"
"Chụp X-quang phim cắn (Occlusal)","73300"
"Chụp X-quang mỏm trâm [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang cột sống cổ thẳng nghiêng [> 24×30 cm, 2 tư thế]","77300"
"Chụp X-quang cột sống cổ chếch hai bên [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang cột sống cổ C1-C2 [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang cột sống ngực thẳng nghiêng hoặc chếch [≤ 24×30 cm, 2 tư thế]","64300"
"Chụp X-quang cột sống ngực thẳng nghiêng hoặc chếch [số hóa 2 phim]","64300"
"Chụp X-quang cột sống thắt lưng thẳng nghiêng [ > 24×30 cm, 2 tư thế]","105300"
"Chụp X-quang cột sống thắt lưng thẳng nghiêng [số hóa 2 phim]","64300"
"Chụp X-quang cột sống thắt lưng chếch hai bên [≤ 24×30 cm, 2 tư thế]","105300"
"Chụp X-quang cột sống thắt lưng chếch hai bên [số hóa 2 phim]","64300"
"Chụp X-quang cột sống thắt lưng L5-S1 thẳng nghiêng [≤ 24×30 cm, 2 tư thế]","105300"
"Chụp X-quang cột sống thắt lưng động, gập ưỡn [≤ 24×30 cm, 2 tư thế]","64300"
"Chụp X-quang cột sống thắt lưng động, gập ưỡn [số hóa 2 phim]","105300"
"Chụp X-quang cột sống thắt lưng De Sèze [≤ 24×30 cm, 1 tư thế]","58300"
"Chụp X-quang cột sống cùng cụt thẳng nghiêng [≤ 24×30 cm, 2 tư thế]","64300"
