Ten dich vu,Gia (VND)
"Gói kiểm tra sức khỏe cho phụ nữ mãn kinh","3330000"
"Gói kiểm tra sức khỏe toàn diện cho nữ","8880000"
"Tam cá nguyệt thứ nhất (8-13 tuần)","8500000"
"Tam cá nguyệt thứ hai (14-27 tuần)","6500000"
"Tam cá nguyệt thứ ba (28 – 36 tuần)","7000000"
"Hạnh Phúc Cát Tường (Sinh thường)","39900000"
"Hạnh Phúc Cát Tường (Sinh mổ)","49900000"
"Hạnh Phúc An Nhiên (Sinh thường)","29900000"
"Hạnh Phúc An Nhiên (Sinh mổ)","39900000"
"Hạnh Phúc Như Ý (Sinh mổ)","69900000"
"Hạnh Phúc Như ý (Sinh thường)","59900000"
