Ten dich vu,Gia (VND)
"Khám bệnh hạng I","150000"
"Công khám chuyên gia","250000300000"
"Công khám chuyên khoa Dinh dưỡng","200000"
"Khám tiêm ngừa","60000"
"Khám tiêm ngừa ngoài giờ","80000"
"Tư vấn hiến muộn vô sinh","200000"
"Khám hội chẩn liên viện","330000"
"Giường thường khoa ngoại (Loại 2) CTCH","350000"
"Giường thường Sau các loại phẫu thuật loại 1; bỏng độ 3 -4 từ 25-70% diện tích cơ thể ( Khoa CTCH)","400000"
"Giường thường Sau các loại phẫu thuật loại 2; bỏng độ 2 trên 30% diện tích cơ thể, bỏng độ 3-4 dưới 25% diện tích cơ thể ( Khoa CTCH)","350000"
"Giường thường Sau các loại phẫu thuật loại 3; bỏng độ 1, độ 2 dưới 30% diện tích cơ thể ( Khoa CTCH)","350000"
"Giường thường Sau các loại phẫu thuật loại đặc biệt; Bỏng độ 3-4 trên 70% diện tích cơ thể ( Khoa CTCH)","450000"
"Giường Nội khoa loại 2 Hạng I - Khoa Chấn thương chỉnh hình [DV 4 Giường CTCH - Thường]","350000"
"Giường Ngoại khoa loại 1 Hạng I - Khoa Chấn thương chỉnh hình [DV 4 Giường CTCH - Đặc biệt]","1200000"
"Giường Ngoại khoa loại 2 Hạng I - Khoa Chấn thương chỉnh hình [DV 4 Giường CTCH - Loại 1]","1200000"
"Giường Ngoại khoa loại 3 Hạng I - Khoa Chấn thương chỉnh hình [DV 4 Giường CTCH - Loại 2]","1200000"
"Giường Ngoại khoa loại 4 Hạng I - Khoa Chấn thương chỉnh hình [DV 4 Giường CTCH - Loại 3]","1200000"
"Ngày giường bệnh Hồi sức cấp cứu, Hồi sức chống độc.","586000"
"Giường dịch vụ hạng I.3","200000"
"Giường dịch vụ hạng I.4","300000"
"Giường dịch vụ hạng I.5","500000"
"Giường theo yêu cầu hạng I","1500000"
"Giường Nội khoa loại 1 Hạng I-Khoa Hồi sức tích cực","536500"
"Giường Hồi sức cấp cứu khoa Hồi sức tim mạch","3470000"
"Giường Hồi sức cấp cứu khoa Hồi sức tim mạch [P302] [P304] [P305]","1427000"
"Giường Hồi sức cấp cứu khoa Hồi sức tim mạch [P306]","2427000"
"Giường Hồi sức cấp cứu khoa Hồi sức tim mạch [P307]","970000"
"Giường Hồi sức tích cực khoa Hồi sức tim mạch","3780000"
"Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ ≥ 256 dãy)","3500000"
"Chụp CLVT tưới máu não (CT perfusion) (từ ≥ 256 dãy) [có tiêm thuốc]","3500000"
"Chụp CLVT mạch máu não (từ ≥ 256 dãy) [có tiêm thuốc]","3500000"
"Chụp cắt lớp vi tính phổi độ phân giải cao (từ ≥ 256 dãy)","3200000"
"Chụp cắt lớp vi tính phổi liều thấp tầm soát u (từ ≥ 256 dãy)","3200000"
"Chụp cắt lớp vi tính tầm soát toàn thân (từ ≥256 dãy) [có tiêm thuốc]","7000000"
"Chụp cộng hưởng từ sọ não (0.2-1.5T)","2000000"
"Đo mật độ xương bằng kỹ thuật DEXA [2 vị trí]","300000"
"Siêu âm ổ bụng [tổng quát]","109900"
"Siêu âm trong lòng mạch vành (iVUS)","6000000"
"Siêu âm tim gắng sức","1152000"
"Chụp Xquang tuyến vú [Mammography 1 bên trái]","273000"
"Chụp và can thiệp mạch chủ bụng số hóa xóa nền [Chụp và can thiệp mạch chủ bụng/ ngực và mạch chi dưới DSA]","9368100"
"Thời gian thromboplastin một phần hoạt hóa (APTT: Activated Partial Thromboplastin Time)","86000"
"Xét nghiệm HLA-B27 bằng kỹ thuật Flow-cytometry","1081000"
"Định lượng proBNP (NT-proBNP) [Máu]","557000"
"HCV genotype Real-time PCR","1782500"
"Xét nghiệm sàng lọc trước sinh không xâm lấn NIPT [TriSure]","5280000"
"Holter điện tâm đồ","295000"
"Kỹ thuật chạy máy hỗ trợ tim phổi (ECMO) ở người lớn [Phẫu thuật đặt hệ thống tim phổi nhân tạo (ECMO)]","8000000"
"Phẫu thuật bắc cầu động mạch chủ - động mạch vành có dùng máy tim phổi nhân tạo","59268000"
