Ten dich vu,Gia (VND)
"Giá khám bệnh tại Bệnh viện hạng II","45000"
"Giá hội chẩn","45000"
"Hội chẩn để xác định ca bệnh khó (chuyên gia/ca; Chỉ áp dụng đối với trường hợp mời chuyên gia đơn vị khác đến hội chẩn tại cơ sở khám, chữa bệnh).","200000"
"Ngày điều trị Hồi sức tích cực (ICU)/ghép tạng/ghép tủy /ghép tế bào gốc","799600"
"Ngày giường bệnh Hồi sức cấp cứu","418500"
"Ngày giường bệnh Nội khoa: Loại 1: Các khoa: Truyền nhiễm, Hồi hấp, Huyết học, Ung thư, Tim mạch, Tâm thần, Thần kinh, Nhi, Tiêu hoá, Thận học; Nội tiết; Dị ứng (đối với bệnh nhân dị ứng thuốc nặng: Stevens Jonhson/ Lyell)","257100"
"Ngày giường bệnh Nội khoa: Loại 2: Các Khoa: Cơ-Xương-Khớp, Da liễu, Dị ứng, Tai-Mũi-Họng, Mắt, Răng Hàm Mặt, Ngoại, Phụ -Sản không mổ; YHDT/ PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não.","222300"
"Ngày giường bệnh Nội khoa: Loại 3: Các khoa: YHDT, Phục hồi chức năng","177300"
"Ngày giường bệnh ngoại khoa, bỏng: Loại 1 : Sau các phẫu thuật loại đặc biệt; Bỏng độ 3-4 trên 70% diện tích cơ thể","341800"
"Ngày giường bệnh ngoại khoa, bỏng: Loại 2 : Sau các phẫu thuật loại 1; Bỏng độ 3-4 từ 25 -70% diện tích cơ thể","301600"
"Ngày giường bệnh ngoại khoa, bỏng: Loại 3 : Sau các phẫu thuật loại 2; Bỏng độ 2 trên 30% diện tích cơ thể, Bỏng độ 3-4 dưới 25% diện tích cơ thể","269200"
"Ngày giường bệnh ngoại khoa, bỏng: Loại 4 : Sau các phẫu thuật loại 3; Bỏng độ 1, độ 2 dưới 30% diện tích cơ thể","229200"
"Ghi điện tim cấp cứu tại giường","39900"
"Đặt catheter tĩnh mạch trung tâm 1 nòng","685500"
"Đặt catheter tĩnh mạch trung tâm nhiều nòng","1158500"
"Siêu âm dẫn đường đặt catheter tĩnh mạch cấp cứu","58600"
"Sốc điện ngoài lồng ngực cấp cứu","532400"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh không thở máy (một lần hút)","14100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh có thở máy (một lần hút)","14100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông kín (có thở máy) (một lần hút)","373600"
"Bóp bóng ambu qua mặt nạ","248500"
"Đặt nội khí quản","600500"
"Mở khí quản cấp cứu","759800"
"Mở khí quản thường quy","759800"
"Chăm sóc lỗ mở khí quản (một lần)","64300"
"Vận động trị liệu hô hấp","32900"
"Khí dung thuốc cấp cứu (một lần)","27500"
"Khí dung thuốc qua thở máy (một lần)","27500"
"Đặt canuyn mở khí quản 2 nòng","263700"
"Thông khí nhân tạo không xâm nhập phương thức CPAP [theo giờ thực tế]","625000"
"Thông khí nhân tạo không xâm nhập phương thức BiPAP [theo giờ thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức A/C (VCV) [theo giờ thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức SIMV [theo giờ thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức PSV [theo giờ thực tế]","625000"
"Thông khí nhân tạo xâm nhập phương thức CPAP [theo giờ thực tế]","625000"
"Cố định lồng ngực do chấn thương gãy xương sườn","58400"
"Cấp cứu ngừng tuần hoàn hô hấp cơ bản","532500"
"Thông bàng quang","101800"
"Rửa bàng quang lấy máu cục","230500"
"Đặt catheter lọc máu cấp cứu","1158500"
"Thận nhân tạo thường quy","588500"
"Rửa dạ dày loại bỏ chất độc bằng hệ thống kín","622500"
"Siêu âm ổ bụng tại giường cấp cứu","58600"
"Xét nghiệm đông máu nhanh tại giường","13600"
"Đo các chất khí trong máu","224400"
"Đo lactat trong máu","100900"
"Chọc dò dịch màng phổi","153700"
"Chọc tháo dịch màng phổi dưới hướng dẫn của siêu âm","195900"
"Chọc hút khí màng phổi","162900"
"Đo chức năng hô hấp","144300"
"Khí dung thuốc giãn phế quản","27500"
"Khí dung thuốc giãn phế quản","27500"
